# File Name: \\wsl.localhost\Ubuntu\home\john\projects\CAN_paper\fig_2\data\JG047A TMCC1 Gen3 - Probe.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 6 System
# Block Type: 384-Well Block
# Instrument Name: 278860576
# Instrument Serial Number: 278860576
# Heated Cover Serial Number: 278154452
# Block Serial Number: 278033142
# Run Start Date/Time: 2020-12-17 10:03:32 AM EST
# Run End Date/Time: 2020-12-17 12:00:16 PM EST
# Run Duration: 116 minutes 43 seconds
# Sample Volume: 10.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2023-08-07 06:05:44 PM EDT
# Software Name and Version: Design & Analysis Software v2.6.0
# Plugin Name and Version: Primary Analysis v1.7.0, Standard Curve v1.6.0
# Exported On: 2023-08-07 06:05:53 PM EDT
"Well","Well Position","Cycle Number","HEX","ROX"
"2","A2","53","139922.84","194291.03"
"2","A2","54","140800.27","194693.84"
"2","A2","55","141894.81","194793.83"
"2","A2","56","142909.88","195024.78"
"2","A2","57","143936.47","195635.61"
"2","A2","58","145135.83","195783.66"
"2","A2","59","146255.75","196123.25"
"2","A2","60","147273.66","196594.88"
"2","A2","61","148341.28","196779.83"
"2","A2","62","149566.0","197105.0"
"2","A2","63","150697.16","197437.75"
"2","A2","64","151406.92","197941.66"
"2","A2","65","152299.55","198160.6"
"2","A2","66","153506.95","198423.42"
"2","A2","67","154467.42","198917.73"
"2","A2","68","155580.92","199138.19"
"2","A2","69","156585.42","199448.58"
"2","A2","70","157232.95","199668.27"
"2","A2","71","158385.47","199779.77"
"2","A2","72","159435.95","200165.45"
"2","A2","73","160770.97","200325.33"
"2","A2","74","162094.72","200475.25"
"2","A2","75","163412.6","200866.22"
"2","A2","76","164974.02","201388.05"
"2","A2","77","166769.38","201542.28"
"2","A2","78","168400.4","201581.92"
"2","A2","79","170649.78","201775.69"
"2","A2","80","172676.61","202147.92"
"2","A2","81","175063.25","202394.9"
"2","A2","82","177699.16","202550.1"
"2","A2","83","180344.52","203102.66"
"2","A2","84","182901.44","203377.02"
"2","A2","85","185492.23","203501.73"
"2","A2","86","188027.58","203787.22"
"2","A2","87","190579.94","204167.33"
"2","A2","88","193062.53","204678.56"
"2","A2","89","195256.23","204790.8"
"2","A2","90","197298.31","205100.0"
"4","A4","1","25288.92","192157.92"
