# File Name: \\wsl.localhost\Ubuntu\home\john\projects\CAN_paper\fig_2\data\JG045A TMCC1 Gen3 EvaGreen.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 6 System
# Block Type: 384-Well Block
# Instrument Name: 278860576
# Instrument Serial Number: 278860576
# Heated Cover Serial Number: 278154452
# Block Serial Number: 278033142
# Run Start Date/Time: 2020-11-05 10:11:48 AM EST
# Run End Date/Time: 2020-11-05 12:23:07 PM EST
# Run Duration: 131 minutes 18 seconds
# Sample Volume: 10.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Melt Stage Number: 3
# Quantification Cycle Method: CT
# Analysis Date/Time: 2023-08-07 06:02:02 PM EDT
# Software Name and Version: Design & Analysis Software v2.6.0
# Plugin Name and Version: Primary Analysis v1.7.0, Standard Curve v1.6.0
# Exported On: 2023-08-07 06:05:19 PM EDT
"Well","Well Position","Sample","Target","Tm","Melt Peak Height"
"28","B4","1.0E7","BP160_GC20","0.0","0.0"
"28","B4","1.0E7","BP160_GC20","0.0","0.0"
"29","B5","1.0E7","BP160_GC20","69.85884857177734","0.4268229901790619"
"29","B5","1.0E7","BP160_GC20","88.75387573242188","0.003766201436519623"
"29","B5","1.0E7","BP160_GC20","0.0","0.0"
"29","B5","1.0E7","BP160_GC20","0.0","0.0"
"29","B5","1.0E7","BP160_GC20","0.0","0.0"
"31","B7","1.0E7","BP160_GC60","83.46855163574219","0.9019762277603149"
"31","B7","1.0E7","BP160_GC60","60.74166488647461","0.18540073931217194"
"31","B7","1.0E7","BP160_GC60","73.03004455566406","0.16719414293766022"
"31","B7","1.0E7","BP160_GC60","63.91286087036133","0.1791418492794037"
"31","B7","1.0E7","BP160_GC60","0.0","0.0"
"32","B8","1.0E7","BP160_GC60","83.46855163574219","0.7829557657241821"
"32","B8","1.0E7","BP160_GC60","70.38738250732422","0.17606566846370697"
"32","B8","1.0E7","BP160_GC60","61.4023323059082","0.16335849463939667"
"32","B8","1.0E7","BP160_GC60","66.95191955566406","0.1739242523908615"
"32","B8","1.0E7","BP160_GC60","0.0","0.0"
"34","B10","1.0E7","BP160_GC80","83.86495971679688","0.3657139837741852"
"34","B10","1.0E7","BP160_GC80","68.14112091064453","0.12587140500545502"
"34","B10","1.0E7","BP160_GC80","60.87379837036133","0.12348652631044388"
"34","B10","1.0E7","BP160_GC80","74.48350524902344","0.12414590269327164"
"34","B10","1.0E7","BP160_GC80","71.44444274902344","0.12209504842758179"
"35","B11","1.0E7","BP160_GC80","83.60069274902344","0.33192819356918335"
"35","B11","1.0E7","BP160_GC80","69.19818115234375","0.12186216562986374"
"35","B11","1.0E7","BP160_GC80","60.87379837036133","0.11877426505088806"
"35","B11","1.0E7","BP160_GC80","63.38432693481445","0.11513692885637283"
"35","B11","1.0E7","BP160_GC80","0.0","0.0"
"37","B13","1.0E7","BP280_GC70","86.90531158447266","0.6877627372741699"
"37","B13","1.0E7","BP280_GC70","71.04633331298828","0.15275707840919495"
"37","B13","1.0E7","BP280_GC70","76.86128997802734","0.14938470721244812"
"37","B13","1.0E7","BP280_GC70","74.21812438964844","0.14269037544727325"
"37","B13","1.0E7","BP280_GC70","0.0","0.0"
"38","B14","1.0E7","BP280_GC70","86.6409912109375","0.6509687900543213"
"38","B14","1.0E7","BP280_GC70","75.67186737060547","0.1430557817220688"
"38","B14","1.0E7","BP280_GC70","72.89654541015625","0.14003556966781616"
"38","B14","1.0E7","BP280_GC70","69.8569107055664","0.15268750488758087"
"38","B14","1.0E7","BP280_GC70","0.0","0.0"
"40","B16","1.0E7","BP280_GC30","75.14323425292969","1.08181631565094"
"40","B16","1.0E7","BP280_GC30","63.77762985229492","0.17614786326885223"
"40","B16","1.0E7","BP280_GC30","0.0","0.0"
"40","B16","1.0E7","BP280_GC30","0.0","0.0"
"40","B16","1.0E7","BP280_GC30","0.0","0.0"
"41","B17","1.0E7","BP280_GC30","69.46043395996094","0.005719361826777458"
"41","B17","1.0E7","BP280_GC30","73.29302215576172","0.005479967687278986"
"41","B17","1.0E7","BP280_GC30","89.41632080078125","0.002563333371654153"
"41","B17","1.0E7","BP280_GC30","84.26214599609375","0.00308060715906322"
"41","B17","1.0E7","BP280_GC30","92.5881118774414","0.0023320061154663563"
"43","B19","1.0E7","BP500_GC40","78.44718933105469","0.8636085391044617"
"43","B19","1.0E7","BP500_GC40","65.89216613769531","0.19401927292346954"
"43","B19","1.0E7","BP500_GC40","0.0","0.0"
"43","B19","1.0E7","BP500_GC40","0.0","0.0"
"43","B19","1.0E7","BP500_GC40","0.0","0.0"
"44","B20","1.0E7","BP500_GC40","71.70712280273438","0.0993272215127945"
"44","B20","1.0E7","BP500_GC40","87.69825744628906","0.0037324652075767517"
"44","B20","1.0E7","BP500_GC40","92.4559555053711","0.003028307808563113"
"44","B20","1.0E7","BP500_GC40","84.79077911376953","0.003350391983985901"
"44","B20","1.0E7","BP500_GC40","60.73799133300781","0.0398043654859066"
"49","C1","1000000.0","BP160_GC10","65.89485931396484","0.2932184040546417"
"49","C1","1000000.0","BP160_GC10","71.97297668457031","0.1904720664024353"
"49","C1","1000000.0","BP160_GC10","88.88601684570312","0.00560991745442152"
"49","C1","1000000.0","BP160_GC10","86.6397476196289","0.005568894557654858"
"49","C1","1000000.0","BP160_GC10","0.0","0.0"
"50","C2","1000000.0","BP160_GC10","65.89485931396484","0.2911628186702728"
"50","C2","1000000.0","BP160_GC10","71.57657623291016","0.16876286268234253"
"50","C2","1000000.0","BP160_GC10","82.94002532958984","0.005935573950409889"
"50","C2","1000000.0","BP160_GC10","90.73587036132812","0.004868535324931145"
"50","C2","1000000.0","BP160_GC10","87.82894897460938","0.005001014098525047"
"52","C4","1000000.0","BP160_GC20","69.72671508789062","0.4243181645870209"
"52","C4","1000000.0","BP160_GC20","0.0","0.0"
"52","C4","1000000.0","BP160_GC20","0.0","0.0"
"52","C4","1000000.0","BP160_GC20","0.0","0.0"
"52","C4","1000000.0","BP160_GC20","0.0","0.0"
"53","C5","1000000.0","BP160_GC20","69.5945816040039","0.44148555397987366"
"53","C5","1000000.0","BP160_GC20","82.01509094238281","0.005548615008592606"
"53","C5","1000000.0","BP160_GC20","0.0","0.0"
"53","C5","1000000.0","BP160_GC20","0.0","0.0"
"53","C5","1000000.0","BP160_GC20","0.0","0.0"
"55","C7","1000000.0","BP160_GC60","83.33642578125","0.8979169130325317"
"55","C7","1000000.0","BP160_GC60","61.138065338134766","0.17651106417179108"
"55","C7","1000000.0","BP160_GC60","68.80178833007812","0.17186743021011353"
"55","C7","1000000.0","BP160_GC60","71.04804992675781","0.17129486799240112"
"55","C7","1000000.0","BP160_GC60","65.89485931396484","0.1666153520345688"
"56","C8","1000000.0","BP160_GC60","83.20429229736328","0.8264926671981812"
"56","C8","1000000.0","BP160_GC60","65.49845886230469","0.15180639922618866"
"56","C8","1000000.0","BP160_GC60","70.2552490234375","0.1514478474855423"
"56","C8","1000000.0","BP160_GC60","87.9610824584961","0.09775255620479584"
"56","C8","1000000.0","BP160_GC60","61.93086242675781","0.15944460034370422"
"58","C10","1000000.0","BP160_GC80","83.46855163574219","0.18978142738342285"
"58","C10","1000000.0","BP160_GC80","61.00593185424805","0.09187109023332596"
"58","C10","1000000.0","BP160_GC80","65.23419189453125","0.08984576910734177"
"58","C10","1000000.0","BP160_GC80","91.79293823242188","0.0044691115617752075"
"58","C10","1000000.0","BP160_GC80","0.0","0.0"
"59","C11","1000000.0","BP160_GC80","83.60069274902344","0.24122056365013123"
"59","C11","1000000.0","BP160_GC80","64.70565795898438","0.10590436309576035"
"59","C11","1000000.0","BP160_GC80","61.270198822021484","0.10502947121858597"
"59","C11","1000000.0","BP160_GC80","68.80178833007812","0.10215037316083908"
"59","C11","1000000.0","BP160_GC80","0.0","0.0"
"61","C13","1000000.0","BP280_GC70","86.90531158447266","0.6958970427513123"
"61","C13","1000000.0","BP280_GC70","61.266624450683594","0.16584256291389465"
"61","C13","1000000.0","BP280_GC70","64.17410278320312","0.1644149124622345"
"61","C13","1000000.0","BP280_GC70","73.95381164550781","0.17507576942443848"
"61","C13","1000000.0","BP280_GC70","71.04633331298828","0.16742753982543945"
"62","C14","1000000.0","BP280_GC70","86.77315521240234","0.6385542154312134"
"62","C14","1000000.0","BP280_GC70","74.21812438964844","0.14422330260276794"
"62","C14","1000000.0","BP280_GC70","68.40316772460938","0.1542913168668747"
"62","C14","1000000.0","BP280_GC70","0.0","0.0"
"62","C14","1000000.0","BP280_GC70","0.0","0.0"
"64","C16","1000000.0","BP280_GC30","74.6146011352539","0.638811469078064"
"64","C16","1000000.0","BP280_GC30","80.95819091796875","0.18821969628334045"
"64","C16","1000000.0","BP280_GC30","64.43842315673828","0.15689358115196228"
"64","C16","1000000.0","BP280_GC30","67.61021423339844","0.16524721682071686"
"64","C16","1000000.0","BP280_GC30","0.0","0.0"
"65","C17","1000000.0","BP280_GC30","85.31941223144531","0.0032346064690500498"
"65","C17","1000000.0","BP280_GC30","88.4912109375","0.0022462918423116207"
"65","C17","1000000.0","BP280_GC30","73.02870178222656","0.005635482724756002"
"65","C17","1000000.0","BP280_GC30","69.98906707763672","0.005553207825869322"
"65","C17","1000000.0","BP280_GC30","78.84366607666016","0.004295248072594404"
"67","C19","1000000.0","BP500_GC40","78.44718933105469","1.3023526668548584"
"67","C19","1000000.0","BP500_GC40","69.46043395996094","0.1879998743534088"
"67","C19","1000000.0","BP500_GC40","64.96705627441406","0.1843920350074768"
"67","C19","1000000.0","BP500_GC40","60.6058349609375","0.19396530091762543"
"67","C19","1000000.0","BP500_GC40","0.0","0.0"
"68","C20","1000000.0","BP500_GC40","69.98906707763672","0.005462973844259977"
"68","C20","1000000.0","BP500_GC40","86.24452209472656","0.002416600240394473"
"68","C20","1000000.0","BP500_GC40","90.60574340820312","0.0021349582821130753"
"68","C20","1000000.0","BP500_GC40","74.4824447631836","0.004462797660380602"
"68","C20","1000000.0","BP500_GC40","77.38992309570312","0.004226697608828545"
"73","D1","100000.0","BP160_GC10","66.02699279785156","0.26435527205467224"
"73","D1","100000.0","BP160_GC10","71.18017578125","0.164094015955925"
"73","D1","100000.0","BP160_GC10","92.98213958740234","0.0017889547161757946"
"73","D1","100000.0","BP160_GC10","87.03614807128906","0.0026152865029871464"
"73","D1","100000.0","BP160_GC10","89.81094360351562","0.001890932209789753"
"74","D2","100000.0","BP160_GC10","66.02699279785156","0.2564257085323334"
"74","D2","100000.0","BP160_GC10","71.04804992675781","0.13989193737506866"
"74","D2","100000.0","BP160_GC10","93.11427307128906","0.002039993181824684"
"74","D2","100000.0","BP160_GC10","88.75387573242188","0.002038363367319107"
"74","D2","100000.0","BP160_GC10","81.75082397460938","0.0034216614440083504"
"76","D4","100000.0","BP160_GC20","69.72671508789062","0.46153488755226135"
"76","D4","100000.0","BP160_GC20","91.79293823242188","0.0031287209130823612"
"76","D4","100000.0","BP160_GC20","89.15028381347656","0.002564529422670603"
"76","D4","100000.0","BP160_GC20","0.0","0.0"
"76","D4","100000.0","BP160_GC20","0.0","0.0"
"77","D5","100000.0","BP160_GC20","69.5945816040039","0.47087767720222473"
"77","D5","100000.0","BP160_GC20","87.56468200683594","0.0033578977454453707"
"77","D5","100000.0","BP160_GC20","80.56163024902344","0.004589616321027279"
"77","D5","100000.0","BP160_GC20","92.18933868408203","0.0020395885221660137"
"77","D5","100000.0","BP160_GC20","0.0","0.0"
"79","D7","100000.0","BP160_GC60","83.46855163574219","0.7471997737884521"
"79","D7","100000.0","BP160_GC60","61.4023323059082","0.15970125794410706"
"79","D7","100000.0","BP160_GC60","74.21923828125","0.15025289356708527"
"79","D7","100000.0","BP160_GC60","71.70870971679688","0.1515003740787506"
"79","D7","100000.0","BP160_GC60","65.89485931396484","0.15427115559577942"
"80","D8","100000.0","BP160_GC60","83.20429229736328","0.7257989645004272"
"80","D8","100000.0","BP160_GC60","74.61563873291016","0.15847010910511017"
"80","D8","100000.0","BP160_GC60","64.44139099121094","0.15856587886810303"
"80","D8","100000.0","BP160_GC60","60.60953140258789","0.17188681662082672"
"80","D8","100000.0","BP160_GC60","69.19818115234375","0.1547968089580536"
"82","D10","100000.0","BP160_GC80","75.93696594238281","0.25470438599586487"
"82","D10","100000.0","BP160_GC80","65.23419189453125","0.07660035789012909"
"82","D10","100000.0","BP160_GC80","60.87379837036133","0.0745488628745079"
"82","D10","100000.0","BP160_GC80","89.41454315185547","0.0035510659217834473"
"82","D10","100000.0","BP160_GC80","92.58573913574219","0.003178112208843231"
"83","D11","100000.0","BP160_GC80","75.01203918457031","0.15539054572582245"
"83","D11","100000.0","BP160_GC80","63.51646041870117","0.05453620105981827"
"83","D11","100000.0","BP160_GC80","71.70870971679688","0.10360604524612427"
"83","D11","100000.0","BP160_GC80","61.00593185424805","0.05325649678707123"
"83","D11","100000.0","BP160_GC80","81.2222900390625","0.00787461269646883"
"85","D13","100000.0","BP280_GC70","87.03746795654297","0.6455504894256592"
"85","D13","100000.0","BP280_GC70","70.91416931152344","0.16306547820568085"
"85","D13","100000.0","BP280_GC70","65.23136901855469","0.16225005686283112"
"85","D13","100000.0","BP280_GC70","61.266624450683594","0.1603185385465622"
"85","D13","100000.0","BP280_GC70","75.80402374267578","0.156846821308136"
"86","D14","100000.0","BP280_GC70","86.77315521240234","0.713119387626648"
"86","D14","100000.0","BP280_GC70","77.9185562133789","0.1563248336315155"
"86","D14","100000.0","BP280_GC70","68.93180084228516","0.1637296974658966"
"86","D14","100000.0","BP280_GC70","60.87015151977539","0.16900554299354553"
"86","D14","100000.0","BP280_GC70","0.0","0.0"
"88","D16","100000.0","BP280_GC30","74.21812438964844","0.5666731595993042"
"88","D16","100000.0","BP280_GC30","64.30626678466797","0.09129209071397781"
"88","D16","100000.0","BP280_GC30","60.73799133300781","0.09450007975101471"
"88","D16","100000.0","BP280_GC30","81.75114440917969","0.007479256484657526"
"88","D16","100000.0","BP280_GC30","0.0","0.0"
"89","D17","100000.0","BP280_GC30","89.01984405517578","0.002755302470177412"
"89","D17","100000.0","BP280_GC30","80.69387817382812","0.004198741167783737"
"89","D17","100000.0","BP280_GC30","84.12998962402344","0.0032408053521066904"
"89","D17","100000.0","BP280_GC30","74.21812438964844","0.005804059561342001"
"89","D17","100000.0","BP280_GC30","67.47805786132812","0.005986478179693222"
"91","D19","100000.0","BP500_GC40","78.05071258544922","0.6422687768936157"
"91","D19","100000.0","BP500_GC40","61.13446807861328","0.16047115623950958"
"91","D19","100000.0","BP500_GC40","70.38554382324219","0.1363372951745987"
"91","D19","100000.0","BP500_GC40","68.0066909790039","0.14046452939510345"
"91","D19","100000.0","BP500_GC40","90.73789978027344","0.004529297351837158"
"92","D20","100000.0","BP500_GC40","78.18287658691406","0.00519277760758996"
"92","D20","100000.0","BP500_GC40","87.03746795654297","0.001999352825805545"
"92","D20","100000.0","BP500_GC40","75.14323425292969","0.005010789260268211"
"92","D20","100000.0","BP500_GC40","90.73789978027344","0.0015063562896102667"
"92","D20","100000.0","BP500_GC40","92.98458862304688","0.0016116283368319273"
"97","E1","10000.0","BP160_GC10","66.291259765625","0.2893921434879303"
"97","E1","10000.0","BP160_GC10","90.47161102294922","0.0027786267455667257"
"97","E1","10000.0","BP160_GC10","93.51066589355469","0.0025005016941577196"
"97","E1","10000.0","BP160_GC10","0.0","0.0"
"97","E1","10000.0","BP160_GC10","0.0","0.0"
"98","E2","10000.0","BP160_GC10","65.89485931396484","0.27075204253196716"
"98","E2","10000.0","BP160_GC10","74.21923828125","0.1308072954416275"
"98","E2","10000.0","BP160_GC10","89.81094360351562","0.007859660312533379"
"98","E2","10000.0","BP160_GC10","87.16828155517578","0.007886512205004692"
"98","E2","10000.0","BP160_GC10","83.07215881347656","0.008438421413302422"
"100","E4","10000.0","BP160_GC20","69.72671508789062","0.4913947284221649"
"100","E4","10000.0","BP160_GC20","89.6788101196289","0.0027509040664881468"
"100","E4","10000.0","BP160_GC20","0.0","0.0"
"100","E4","10000.0","BP160_GC20","0.0","0.0"
"100","E4","10000.0","BP160_GC20","0.0","0.0"
"101","E5","10000.0","BP160_GC20","69.5945816040039","0.47837063670158386"
"101","E5","10000.0","BP160_GC20","88.88601684570312","0.003051081672310829"
"101","E5","10000.0","BP160_GC20","80.95802307128906","0.00517597422003746"
"101","E5","10000.0","BP160_GC20","0.0","0.0"
"101","E5","10000.0","BP160_GC20","0.0","0.0"
"103","E7","10000.0","BP160_GC60","83.20429229736328","0.4819350242614746"
"103","E7","10000.0","BP160_GC60","65.49845886230469","0.13476254045963287"
"103","E7","10000.0","BP160_GC60","68.27325439453125","0.1328684687614441"
"103","E7","10000.0","BP160_GC60","90.20734405517578","0.005486346781253815"
"103","E7","10000.0","BP160_GC60","93.24639892578125","0.004318349063396454"
"104","E8","10000.0","BP160_GC60","83.20429229736328","0.6474112868309021"
"104","E8","10000.0","BP160_GC60","65.6305923461914","0.14785446226596832"
"104","E8","10000.0","BP160_GC60","69.06604766845703","0.14673541486263275"
"104","E8","10000.0","BP160_GC60","60.60953140258789","0.1532038301229477"
"104","E8","10000.0","BP160_GC60","0.0","0.0"
"106","E10","10000.0","BP160_GC80","75.40843963623047","0.2247427999973297"
"106","E10","10000.0","BP160_GC80","61.138065338134766","0.060713350772857666"
"106","E10","10000.0","BP160_GC80","65.10205841064453","0.06489115953445435"
"106","E10","10000.0","BP160_GC80","0.0","0.0"
"106","E10","10000.0","BP160_GC80","0.0","0.0"
"107","E11","10000.0","BP160_GC80","75.14417266845703","0.16475695371627808"
"107","E11","10000.0","BP160_GC80","87.03614807128906","0.007305772975087166"
"107","E11","10000.0","BP160_GC80","90.86801147460938","0.006864981725811958"
"107","E11","10000.0","BP160_GC80","60.47740173339844","0.05835745483636856"
"107","E11","10000.0","BP160_GC80","80.95802307128906","0.014485133811831474"
"109","E13","10000.0","BP280_GC70","87.03746795654297","0.4795069992542267"
"109","E13","10000.0","BP280_GC70","66.02432250976562","0.15455368161201477"
"109","E13","10000.0","BP280_GC70","62.323890686035156","0.15575893223285675"
"109","E13","10000.0","BP280_GC70","69.32827758789062","0.14588850736618042"
"109","E13","10000.0","BP280_GC70","80.16524505615234","0.11825644224882126"
"110","E14","10000.0","BP280_GC70","86.6409912109375","0.4854013919830322"
"110","E14","10000.0","BP280_GC70","60.6058349609375","0.1616223305463791"
"110","E14","10000.0","BP280_GC70","65.62784576416016","0.14790135622024536"
"110","E14","10000.0","BP280_GC70","80.29740142822266","0.10501421988010406"
"110","E14","10000.0","BP280_GC70","0.0","0.0"
"112","E16","10000.0","BP280_GC30","74.4824447631836","0.7095072269439697"
"112","E16","10000.0","BP280_GC30","66.68511199951172","0.10986636579036713"
"112","E16","10000.0","BP280_GC30","0.0","0.0"
"112","E16","10000.0","BP280_GC30","0.0","0.0"
"112","E16","10000.0","BP280_GC30","0.0","0.0"
"113","E17","10000.0","BP280_GC30","87.69825744628906","0.0030547771602869034"
"113","E17","10000.0","BP280_GC30","90.34142303466797","0.0018840869888663292"
"113","E17","10000.0","BP280_GC30","83.99783325195312","0.0025634788908064365"
"113","E17","10000.0","BP280_GC30","71.57496643066406","0.005841958336532116"
"113","E17","10000.0","BP280_GC30","66.68511199951172","0.005470958072692156"
"115","E19","10000.0","BP500_GC40","78.05071258544922","0.6551846265792847"
"115","E19","10000.0","BP500_GC40","61.13446807861328","0.15843801200389862"
"115","E19","10000.0","BP500_GC40","63.9097900390625","0.15563593804836273"
"115","E19","10000.0","BP500_GC40","69.72474670410156","0.14148546755313873"
"115","E19","10000.0","BP500_GC40","91.39868927001953","0.003913983702659607"
"116","E20","10000.0","BP500_GC40","71.70712280273438","0.1042403057217598"
"116","E20","10000.0","BP500_GC40","91.53085327148438","0.003088246798142791"
"116","E20","10000.0","BP500_GC40","83.07272338867188","0.003514752956107259"
