,Experiment,Well,Target,lg10_Copies,Outlier,WellPosition,Copies,Reporter,Sample,Task,Comments,CT,Reaction,Primer nM,Probe nM,SYN_Copies,WT_Copies,Cycle,Fluorescence,Corr_Fluorescence,FAM-HEX
8,JG063I,5,S056.1.1,5.0,False,A5,100000,HEX,10+200 primer+probe,STANDARD,,inf,8,10,200,5.0,8.0,40,-0.00975922275090945,0.0006360388942994177,0.11347889169284453
56,JG063I,29,S056.1.1,5.0,False,B5,100000,HEX,10+200 primer+probe,STANDARD,,inf,56,10,200,5.0,8.0,40,-0.01195774757736758,0.0013825135538354516,0.10764747402036558
104,JG063I,53,S056.1.1,5.0,False,C5,100000,HEX,10+200 primer+probe,STANDARD,,inf,104,10,200,5.0,7.0,40,-0.010723142765424878,0.0014632272068411112,0.09380643706275807
152,JG063I,77,S056.1.1,5.0,False,D5,100000,HEX,10+200 primer+probe,STANDARD,,inf,152,10,200,5.0,7.0,40,-0.010926588710292576,0.0011121417628601193,0.08770197849638395
200,JG063I,101,S056.1.1,5.0,False,E5,100000,HEX,10+200 primer+probe,STANDARD,,inf,200,10,200,5.0,6.0,40,-0.01890808154354226,-5.1859042287105694e-05,0.047466165115073164
248,JG063I,125,S056.1.1,5.0,False,F5,100000,HEX,10+200 primer+probe,STANDARD,,inf,248,10,200,5.0,6.0,40,-0.018876550269568186,-0.0009922633180394769,0.04611018487233153
296,JG063I,149,S056.1.1,5.0,False,G5,100000,HEX,10+200 primer+probe,STANDARD,,inf,296,10,200,5.0,5.0,40,-0.038459611807122304,-0.0067720478400588036,-0.018174232789447305
344,JG063I,173,S056.1.1,5.0,False,H5,100000,HEX,10+200 primer+probe,STANDARD,,inf,344,10,200,5.0,5.0,40,-0.0357490229227973,-0.006489133462309837,-0.016327471710129673
392,JG063I,197,S056.1.1,5.0,False,I5,100000,HEX,10+200 primer+probe,STANDARD,,inf,392,10,200,5.0,4.0,40,-0.044123055299534364,-0.007325882092118263,-0.03568681553467349
440,JG063I,221,S056.1.1,5.0,False,J5,100000,HEX,10+200 primer+probe,STANDARD,,inf,440,10,200,5.0,4.0,40,-0.04298108851715416,-0.0086118308827281,-0.032521434952086634
488,JG063I,245,S056.1.1,5.0,False,K5,100000,HEX,10+200 primer+probe,STANDARD,,inf,488,10,200,5.0,3.0,40,-0.04288446575658627,-0.00862874835729599,-0.03517869334840953
536,JG063I,269,S056.1.1,5.0,False,L5,100000,HEX,10+200 primer+probe,STANDARD,,inf,536,10,200,5.0,3.0,40,-0.044466976944968144,-0.006961011327803135,-0.037533243525812686
582,JG063I,293,S056.1.1,5.0,False,M5,100000,HEX,10+200 primer+probe,STANDARD,,inf,582,10,200,5.0,2.0,40,-0.04261159353689379,-0.007988553494215012,-0.03490128991202485
630,JG063I,317,S056.1.1,5.0,False,N5,100000,HEX,10+200 primer+probe,STANDARD,,inf,630,10,200,5.0,2.0,40,-0.045731202519559346,-0.007038146257400513,-0.03800515874543131
