,Experiment,Well,Target,lg10_Copies,Outlier,WellPosition,Copies,Reporter,Sample,Task,Comments,CT,Reaction,SYN_Copies,WT_Copies,Cycle,Fluorescence,Corr_Fluorescence,FAM-HEX
20,JG063A,55,S056.4.2_vs_S056.4.12,2.0,False,C7,100.0,FAM,S056.4.2_vs_S056.4.12,STANDARD,,26.137737,90,2.0,2.0,40,0.6537704574683061,0.6418691873550415,0.3116651079183303
30,JG063A,79,S056.4.2_vs_S056.4.12,2.0,False,D7,100.0,FAM,S056.4.2_vs_S056.4.12,STANDARD,,26.059729,130,2.0,2.0,40,0.654011907440726,0.6392905116081238,0.32476631774265735
40,JG063A,103,S056.4.2_vs_S056.4.12,3.0,False,E7,1000.0,FAM,S056.4.2_vs_S056.4.12,STANDARD,,24.033163,170,2.0,3.0,40,0.7792741961444676,0.7651318311691284,0.6354256607575177
50,JG063A,127,S056.4.2_vs_S056.4.12,3.0,False,F7,1000.0,FAM,S056.4.2_vs_S056.4.12,STANDARD,,23.712502,210,2.0,3.0,40,0.7948104434950803,0.783176839351654,0.6271680459453375
60,JG063A,151,S056.4.2_vs_S056.4.12,4.0,False,G7,10000.0,FAM,S056.4.2_vs_S056.4.12,STANDARD,,21.248257,250,2.0,4.0,40,0.8678652029461121,0.8578230142593384,0.8609013897997831
70,JG063A,175,S056.4.2_vs_S056.4.12,4.0,False,H7,10000.0,FAM,S056.4.2_vs_S056.4.12,STANDARD,,21.090603,290,2.0,4.0,40,0.8906068059598993,0.8762944340705872,0.871283514397126
80,JG063A,199,S056.4.2_vs_S056.4.12,5.0,False,I7,100000.0,FAM,S056.4.2_vs_S056.4.12,STANDARD,,18.184986,330,2.0,5.0,40,0.9193185383998415,0.8976885080337524,0.9816935203853985
90,JG063A,223,S056.4.2_vs_S056.4.12,5.0,False,J7,100000.0,FAM,S056.4.2_vs_S056.4.12,STANDARD,,17.976032,370,2.0,5.0,40,0.9320789316113504,0.9148269295692444,0.9862817461317237
100,JG063A,247,S056.4.2_vs_S056.4.12,6.0,False,K7,1000000.0,FAM,S056.4.2_vs_S056.4.12,STANDARD,,15.398211,410,2.0,6.0,40,0.9551143490535334,0.9277886152267456,1.0
110,JG063A,271,S056.4.2_vs_S056.4.12,6.0,False,L7,1000000.0,FAM,S056.4.2_vs_S056.4.12,STANDARD,,15.315757,450,2.0,6.0,40,0.9688100353171438,0.9455276131629944,0.9969083361078153
120,JG063A,295,S056.4.2_vs_S056.4.12,7.0,False,M7,10000000.0,FAM,S056.4.2_vs_S056.4.12,STANDARD,,12.766905,488,2.0,7.0,40,0.9674868080297706,0.9075871109962463,0.9889099807719067
130,JG063A,319,S056.4.2_vs_S056.4.12,7.0,False,N7,10000000.0,FAM,S056.4.2_vs_S056.4.12,STANDARD,,12.729666,528,2.0,7.0,40,0.9734419484949377,0.9275346398353577,0.9977287042341472
140,JG063A,343,S056.4.2_vs_S056.4.12,8.0,False,O7,100000000.0,FAM,S056.4.2_vs_S056.4.12,STANDARD,,10.17628,568,2.0,8.0,40,0.959070453000056,0.9043070673942566,0.9816186189898342
150,JG063A,367,S056.4.2_vs_S056.4.12,8.0,False,P7,100000000.0,FAM,S056.4.2_vs_S056.4.12,STANDARD,,9.94278,608,2.0,8.0,40,1.0,0.942798912525177,0.9817160820492542
