,Experiment,Well,Target,lg10_Copies,Outlier,WellPosition,Copies,Reporter,Sample,Task,Comments,CT,Reaction,Cycle,Fluorescence,Corr_Fluorescence
13477,JG034,227,GC55 - HEX,8.0,False,J11,100000000.0,HEX,,STANDARD,,36.380207,225,19,0.03361333522681263,0.029831508174538612
13478,JG034,227,GC55 - FAM,8.0,False,J11,100000000.0,FAM,,STANDARD,,10.242953,224,20,0.6537314561304325,1.1778043508529663
13479,JG034,227,GC55 - HEX,8.0,False,J11,100000000.0,HEX,,STANDARD,,36.380207,225,20,0.035694081021552124,0.03155152499675751
13480,JG034,227,GC55 - FAM,8.0,False,J11,100000000.0,FAM,,STANDARD,,10.242953,224,21,0.67681370760314,1.21776282787323
13481,JG034,227,GC55 - HEX,8.0,False,J11,100000000.0,HEX,,STANDARD,,36.380207,225,21,0.03814267251853659,0.03368191793560982
13482,JG034,227,GC55 - FAM,8.0,False,J11,100000000.0,FAM,,STANDARD,,10.242953,224,22,0.6954145603684028,1.2494839429855347
13483,JG034,227,GC55 - HEX,8.0,False,J11,100000000.0,HEX,,STANDARD,,36.380207,225,22,0.03921965634799979,0.03428211063146591
13484,JG034,227,GC55 - FAM,8.0,False,J11,100000000.0,FAM,,STANDARD,,10.242953,224,23,0.7096442010601418,1.2731702327728271
13485,JG034,227,GC55 - HEX,8.0,False,J11,100000000.0,HEX,,STANDARD,,36.380207,225,23,0.0413558862040002,0.0360640250146389
13486,JG034,227,GC55 - FAM,8.0,False,J11,100000000.0,FAM,,STANDARD,,10.242953,224,24,0.7212316324213454,1.2919998168945312
13487,JG034,227,GC55 - HEX,8.0,False,J11,100000000.0,HEX,,STANDARD,,36.380207,225,24,0.042846850051451064,0.03712606430053711
13488,JG034,227,GC55 - FAM,8.0,False,J11,100000000.0,FAM,,STANDARD,,10.242953,224,25,0.7313973384212665,1.3082160949707031
13489,JG034,227,GC55 - HEX,8.0,False,J11,100000000.0,HEX,,STANDARD,,36.380207,225,25,0.04336661576158762,0.03710461035370827
