,Experiment,Well,Target,lg10_Copies,Outlier,WellPosition,Copies,Reporter,Sample,Task,Comments,CT,Reaction,Cycle,Fluorescence,Corr_Fluorescence
13357,JG034,226,GC55 - HEX,8.0,False,J10,100000000.0,HEX,,STANDARD,,inf,223,19,0.03331340039938072,0.01000871229916811
13358,JG034,226,GC55 - FAM,8.0,False,J10,100000000.0,FAM,,STANDARD,,10.251704,222,20,0.6661537912027087,1.1996535062789917
13359,JG034,226,GC55 - HEX,8.0,False,J10,100000000.0,HEX,,STANDARD,,inf,223,20,0.03541116273096336,0.01088364701718092
13360,JG034,226,GC55 - FAM,8.0,False,J10,100000000.0,FAM,,STANDARD,,10.251704,222,21,0.6901928958813445,1.2413482666015625
13361,JG034,226,GC55 - HEX,8.0,False,J10,100000000.0,HEX,,STANDARD,,inf,223,21,0.03664132210557344,0.010790662840008736
13362,JG034,226,GC55 - FAM,8.0,False,J10,100000000.0,FAM,,STANDARD,,10.251704,222,22,0.7077649077045681,1.2711557149887085
13363,JG034,226,GC55 - HEX,8.0,False,J10,100000000.0,HEX,,STANDARD,,inf,223,22,0.03939260493532027,0.012394682504236698
13364,JG034,226,GC55 - FAM,8.0,False,J10,100000000.0,FAM,,STANDARD,,10.251704,222,23,0.7216477750404648,1.2941820621490479
13365,JG034,226,GC55 - HEX,8.0,False,J10,100000000.0,HEX,,STANDARD,,inf,223,23,0.03994648385981898,0.01154722273349762
13366,JG034,226,GC55 - FAM,8.0,False,J10,100000000.0,FAM,,STANDARD,,10.251704,222,24,0.7334536340550211,1.3133906126022339
13367,JG034,226,GC55 - HEX,8.0,False,J10,100000000.0,HEX,,STANDARD,,inf,223,24,0.04145815071520302,0.011768294498324394
13368,JG034,226,GC55 - FAM,8.0,False,J10,100000000.0,FAM,,STANDARD,,10.251704,222,25,0.742734280023676,1.3279575109481812
13369,JG034,226,GC55 - HEX,8.0,False,J10,100000000.0,HEX,,STANDARD,,inf,223,25,0.043486805070626786,0.01256613153964281
13370,JG034,226,GC55 - FAM,8.0,False,J10,100000000.0,FAM,,STANDARD,,10.251704,222,26,0.7510724703336249,1.340791940689087
13371,JG034,226,GC55 - HEX,8.0,False,J10,100000000.0,HEX,,STANDARD,,inf,223,26,0.042826445901454985,0.01036403700709343
13372,JG034,226,GC55 - FAM,8.0,False,J10,100000000.0,FAM,,STANDARD,,10.251704,222,27,0.7623447121475321,1.3590196371078491
13373,JG034,226,GC55 - HEX,8.0,False,J10,100000000.0,HEX,,STANDARD,,inf,223,27,0.042686440140709464,0.00874246098101139
13374,JG034,226,GC55 - FAM,8.0,False,J10,100000000.0,FAM,,STANDARD,,10.251704,222,28,0.7721597535626319,1.3745688199996948
13375,JG034,226,GC55 - HEX,8.0,False,J10,100000000.0,HEX,,STANDARD,,inf,223,28,0.04462253201550295,0.009437032975256443
13376,JG034,226,GC55 - FAM,8.0,False,J10,100000000.0,FAM,,STANDARD,,10.251704,222,29,0.7805954840123203,1.3875826597213745
13377,JG034,226,GC55 - HEX,8.0,False,J10,100000000.0,HEX,,STANDARD,,inf,223,29,0.04447376420752894,0.007805682718753815
13378,JG034,226,GC55 - FAM,8.0,False,J10,100000000.0,FAM,,STANDARD,,10.251704,222,30,0.7882944751086574,1.3992422819137573
13379,JG034,226,GC55 - HEX,8.0,False,J10,100000000.0,HEX,,STANDARD,,inf,223,30,0.045190008141341,0.007139360997825861
13380,JG034,226,GC55 - FAM,8.0,False,J10,100000000.0,FAM,,STANDARD,,10.251704,222,31,0.7965956987433062,1.4120088815689087
13381,JG034,226,GC55 - HEX,8.0,False,J10,100000000.0,HEX,,STANDARD,,inf,223,31,0.04652622034368619,0.007164692040532827
13382,JG034,226,GC55 - FAM,8.0,False,J10,100000000.0,FAM,,STANDARD,,10.251704,222,32,0.8056258144195318,1.4261152744293213
13383,JG034,226,GC55 - HEX,8.0,False,J10,100000000.0,HEX,,STANDARD,,inf,223,32,0.04644164521708433,0.005604956299066544
13384,JG034,226,GC55 - FAM,8.0,False,J10,100000000.0,FAM,,STANDARD,,10.251704,222,33,0.8137316335056201,1.4385226964950562
13385,JG034,226,GC55 - HEX,8.0,False,J10,100000000.0,HEX,,STANDARD,,inf,223,33,0.04766648859352835,0.005506041459739208
13386,JG034,226,GC55 - FAM,8.0,False,J10,100000000.0,FAM,,STANDARD,,10.251704,222,34,0.8228378875622009,1.4527690410614014
13387,JG034,226,GC55 - HEX,8.0,False,J10,100000000.0,HEX,,STANDARD,,inf,223,34,0.04811554351398862,0.004541636910289526
13388,JG034,226,GC55 - FAM,8.0,False,J10,100000000.0,FAM,,STANDARD,,10.251704,222,35,0.8315928284957973,1.46636962890625
13389,JG034,226,GC55 - HEX,8.0,False,J10,100000000.0,HEX,,STANDARD,,inf,223,35,0.04938411698589923,0.0044915080070495605
13390,JG034,226,GC55 - FAM,8.0,False,J10,100000000.0,FAM,,STANDARD,,10.251704,222,36,0.8409912489948824,1.4811530113220215
13391,JG034,226,GC55 - HEX,8.0,False,J10,100000000.0,HEX,,STANDARD,,inf,223,36,0.05029983106195263,0.004047720693051815
13392,JG034,226,GC55 - FAM,8.0,False,J10,100000000.0,FAM,,STANDARD,,10.251704,222,37,0.8503680083193178,1.495896577835083
13393,JG034,226,GC55 - HEX,8.0,False,J10,100000000.0,HEX,,STANDARD,,inf,223,37,0.04996503003172487,0.002208826830610633
