,Experiment,Well,Target,lg10_Copies,Outlier,WellPosition,Copies,Reporter,Sample,Task,Comments,CT,Reaction,Cycle,Fluorescence,Corr_Fluorescence,S036.5,S057.3.2,S057.4.2,log$_{1}$$_{0}$ S036.5,log$_{1}$$_{0}$ S057.3.2,log$_{1}$$_{0}$ S057.4.2
31,JG071B,1,HEX,#NAME?,FALSE,A1,0,HEX,JG071B.000,UNKNOWN,,35.691376,1,16,-0.00149409,8.148489723680541e-05,100000000,100,100,8,2,2
32,JG071B,1,FAM,#NAME?,FALSE,A1,0,FAM,JG071B.000,UNKNOWN,,inf,0,17,0.004653943,0.003218395,100000000,100,100,8,2,2
33,JG071B,1,HEX,#NAME?,FALSE,A1,0,HEX,JG071B.000,UNKNOWN,,35.691376,1,17,-0.002095194,0.000463384,100000000,100,100,8,2,2
34,JG071B,1,FAM,#NAME?,FALSE,A1,0,FAM,JG071B.000,UNKNOWN,,inf,0,18,0.004630286,-0.003291903,100000000,100,100,8,2,2
35,JG071B,1,HEX,#NAME?,FALSE,A1,0,HEX,JG071B.000,UNKNOWN,,35.691376,1,18,-0.001925383,0.000153303,100000000,100,100,8,2,2
36,JG071B,1,FAM,#NAME?,FALSE,A1,0,FAM,JG071B.000,UNKNOWN,,inf,0,19,0.005700638,-0.008122126,100000000,100,100,8,2,2
37,JG071B,1,HEX,#NAME?,FALSE,A1,0,HEX,JG071B.000,UNKNOWN,,35.691376,1,19,-0.00219895,0.000241202,100000000,100,100,8,2,2
38,JG071B,1,FAM,#NAME?,FALSE,A1,0,FAM,JG071B.000,UNKNOWN,,inf,0,20,0.005871626,-0.014333506,100000000,100,100,8,2,2
39,JG071B,1,HEX,#NAME?,FALSE,A1,0,HEX,JG071B.000,UNKNOWN,,35.691376,1,20,-0.001783046,-0.000289774,100000000,100,100,8,2,2
40,JG071B,1,FAM,#NAME?,FALSE,A1,0,FAM,JG071B.000,UNKNOWN,,inf,0,21,0.006246147,-0.02023232,100000000,100,100,8,2,2
41,JG071B,1,HEX,#NAME?,FALSE,A1,0,HEX,JG071B.000,UNKNOWN,,35.691376,1,21,-0.001352152,-0.000834206,100000000,100,100,8,2,2
42,JG071B,1,FAM,#NAME?,FALSE,A1,0,FAM,JG071B.000,UNKNOWN,,inf,0,22,0.007881609,-0.024194699,100000000,100,100,8,2,2
