# File Name: \\wsl.localhost\Ubuntu\home\john\projects\CAN_paper\fig_3\data\JG034 TMCC1 Gen2 Competitors - 59C v3.eds
# Comment: NA
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 6 System
# Block Type: 384-Well Block
# Instrument Name: 278860576
# Instrument Serial Number: 278860576
# Heated Cover Serial Number: 278154452
# Block Serial Number: 278033142
# Run Start Date/Time: 2019-12-17 12:44:16 PM EST
# Run End Date/Time: 2019-12-17 02:02:51 PM EST
# Run Duration: 78 minutes 34 seconds
# Sample Volume: 10.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2023-10-26 02:03:12 PM EDT
# Software Name and Version: Design & Analysis Software v2.6.0
# Plugin Name and Version: Primary Analysis v1.7.0, Standard Curve v1.6.0
# Exported On: 2023-10-26 02:03:55 PM EDT
"Well","Well Position","Omit","Sample","Target","Task","Reporter","Quencher","Amp Status","Amp Score","Curve Quality","Result Quality Issues","Cq","Cq Confidence","Cq Mean","Cq SD","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End"
"19","A19","false","1.0E8","BP200 - HEX","STANDARD","HEX","NFQ-MGB","Inconclusive","0.6254147238536881","","","19.1157637955069","0.4667685298568895","18.975291037096632","0.19865848008825113","true","0.03999999910593033","true","3","14"
"19","A19","false","1.0E8","BP200 - FAM","STANDARD","FAM","NFQ-MGB","Amp","1.239101517807743","","","12.341241280830658","0.9599800137103489","11.820961508371827","0.7357867104396724","true","0.04943090865904318","true","3","9"
"20","A20","false","1.0E8","BP200 - HEX","STANDARD","HEX","NFQ-MGB","Inconclusive","0.5779597740098611","","","18.834818278686367","0.21505172006824705","18.975291037096632","0.19865848008825113","true","0.03999999910593033","true","3","12"
"20","A20","false","1.0E8","BP200 - FAM","STANDARD","FAM","NFQ-MGB","Amp","1.2398563888629572","","","11.300681735912995","0.9556320291669544","11.820961508371827","0.7357867104396724","true","0.04943090865904318","true","3","8"
"22","A22","false","1.0E8","BP240 - HEX","STANDARD","HEX","NFQ-MGB","Inconclusive","0.5694134909533123","","","18.95759104694661","0.13297780146036714","18.454261867784993","0.7118149515085268","true","0.03999999910593033","true","3","11"
"22","A22","false","1.0E8","BP240 - FAM","STANDARD","FAM","NFQ-MGB","Amp","1.2391136966397722","","","10.015462552208135","0.9166773036448341","9.941734271683456","0.10426753424839551","true","0.03999999910593033","true","3","7"
"23","A23","false","1.0E8","BP240 - HEX","STANDARD","HEX","NFQ-MGB","Inconclusive","0.5767666458957577","","","17.95093268862338","0.2537672649572355","18.454261867784993","0.7118149515085268","true","0.03999999910593033","true","3","11"
"23","A23","false","1.0E8","BP240 - FAM","STANDARD","FAM","NFQ-MGB","Amp","1.2330813342643765","","","9.868005991158778","0.8670965188483837","9.941734271683456","0.10426753424839551","true","0.03999999910593033","true","3","7"
"25","B1","false","1.0E7","ISO - FAM","STANDARD","FAM","NFQ-MGB","Amp","1.2538928803624771","","","13.208959363078158","0.9775454053736232","13.180925608800623","0.03964571550324946","true","0.03999999910593033","true","3","10"
"25","B1","false","1.0E7","ISO - HEX","STANDARD","HEX","NFQ-MGB","Amp","0.6997050077168762","","","19.12934059702178","0.8150039166210343","19.08479495598861","0.06299704969419047","true","0.03999999910593033","true","3","15"
"26","B2","false","1.0E7","ISO - FAM","STANDARD","FAM","NFQ-MGB","Amp","1.2473642427931115","","","13.152891854523087","0.9826671243129588","13.180925608800623","0.03964571550324946","true","0.03999999910593033","true","3","10"
"26","B2","false","1.0E7","ISO - HEX","STANDARD","HEX","NFQ-MGB","Amp","0.7086634115217472","","","19.04024931495544","0.80638292157528","19.08479495598861","0.06299704969419047","true","0.03999999910593033","true","3","15"
"28","B4","false","1.0E7","BP15 - FAM","STANDARD","FAM","NFQ-MGB","Amp","1.2380541692989178","","","13.401812062757202","0.9827468698769348","13.394276191587544","0.01065733121010133","true","0.0504887809435339","true","3","10"
"29","B5","false","1.0E7","BP15 - FAM","STANDARD","FAM","NFQ-MGB","Amp","1.246544128716448","","","13.386740320417886","0.9720121683773153","13.394276191587544","0.01065733121010133","true","0.0504887809435339","true","3","10"
"31","B7","false","1.0E7","BP30 - HEX","STANDARD","HEX","NFQ-MGB","Inconclusive","0.6234914948639234","","","19.918667579502426","0.4110059755382574","19.988905679836193","0.09933167408651941","true","0.03999999910593033","true","3","15"
"31","B7","false","1.0E7","BP30 - FAM","STANDARD","FAM","NFQ-MGB","Amp","1.2509775402693608","","","12.938287546102853","0.9163267364879208","13.009995034263369","0.10140970228047223","true","0.042447657773235045","true","3","10"
"32","B8","false","1.0E7","BP30 - HEX","STANDARD","HEX","NFQ-MGB","Inconclusive","0.639467567000734","","","20.059143780169958","0.44188047920777257","19.988905679836193","0.09933167408651941","true","0.03999999910593033","true","3","15"
"32","B8","false","1.0E7","BP30 - FAM","STANDARD","FAM","NFQ-MGB","Amp","1.2510211742842259","","","13.081702522423885","0.9218928694933805","13.009995034263369","0.10140970228047223","true","0.042447657773235045","true","3","10"
"34","B10","false","1.0E7","BP40 - HEX","STANDARD","HEX","NFQ-MGB","Amp","0.761122332650858","","","18.883071789546435","0.8193251496627286","18.87135858762843","0.016564969008651544","true","0.04648022015490727","true","3","15"
"34","B10","false","1.0E7","BP40 - FAM","STANDARD","FAM","NFQ-MGB","Amp","1.2412914256335932","","","13.300368967414933","0.9792416467830971","13.323900377794368","0.03327843969966274","true","0.04606695265657264","true","3","10"
"35","B11","false","1.0E7","BP40 - HEX","STANDARD","HEX","NFQ-MGB","Amp","0.7696586835473629","","","18.859645385710422","0.7998271673925454","18.87135858762843","0.016564969008651544","true","0.04648022015490727","true","3","15"
"35","B11","false","1.0E7","BP40 - FAM","STANDARD","FAM","NFQ-MGB","Amp","1.2408704939804873","","","13.347431788173804","0.9733641622721037","13.323900377794368","0.03327843969966274","true","0.04606695265657264","true","3","10"
"37","B13","false","1.0E7","BP55 - HEX","STANDARD","HEX","NFQ-MGB","Amp","0.6813469314263765","","","19.483792870351838","0.7542417284229678","19.904069871990288","0.5943614356705286","true","0.03999999910593033","true","3","15"
"37","B13","false","1.0E7","BP55 - FAM","STANDARD","FAM","NFQ-MGB","Amp","1.2443158631551388","","","14.03570900742093","0.9662712504090453","14.013533925213148","0.031360302005032294","true","0.0704896478208053","true","3","10"
"38","B14","false","1.0E7","BP55 - HEX","STANDARD","HEX","NFQ-MGB","Inconclusive","0.642274672653263","","","20.324346873628738","0.5587856798125385","19.904069871990288","0.5943614356705286","true","0.03999999910593033","true","3","15"
"38","B14","false","1.0E7","BP55 - FAM","STANDARD","FAM","NFQ-MGB","Amp","1.2464048440472748","","","13.991358843005365","0.9803094462321572","14.013533925213148","0.031360302005032294","true","0.0704896478208053","true","3","10"
"40","B16","false","1.0E7","BP160 - HEX","STANDARD","HEX","NFQ-MGB","Inconclusive","0.6689469057236574","","","19.60681294581531","0.6372061023852151","19.767925266935485","0.22784722959363102","true","0.03999999910593033","true","3","15"
"40","B16","false","1.0E7","BP160 - FAM","STANDARD","FAM","NFQ-MGB","Amp","1.2466222026133214","","","13.16302570058421","0.9696639477799017","13.213250406019087","0.07102845959210095","true","0.04501536472400672","true","3","10"
"41","B17","false","1.0E7","BP160 - HEX","STANDARD","HEX","NFQ-MGB","Inconclusive","0.6489905118200384","","","19.92903758805566","0.5428434481000997","19.767925266935485","0.22784722959363102","true","0.03999999910593033","true","3","15"
"41","B17","false","1.0E7","BP160 - FAM","STANDARD","FAM","NFQ-MGB","Amp","1.245623056736382","","","13.263475111453964","0.9760481374176423","13.213250406019087","0.07102845959210095","true","0.04501536472400672","true","3","10"
"43","B19","false","1.0E7","BP200 - HEX","STANDARD","HEX","NFQ-MGB","Inconclusive","0.6320708123460708","","","19.073739280726986","0.5149928202765465","18.89545674145655","0.2521295849705369","true","0.03999999910593033","true","3","14"
"43","B19","false","1.0E7","BP200 - FAM","STANDARD","FAM","NFQ-MGB","Amp","1.240421370403221","","","12.708514041831425","0.97106687644612","12.472416305003275","0.3338926214679571","true","0.04943090865904318","true","3","9"
"44","B20","false","1.0E7","BP200 - HEX","STANDARD","HEX","NFQ-MGB","Inconclusive","0.6099075786089133","","","18.71717420218611","0.5015694224394098","18.89545674145655","0.2521295849705369","true","0.03999999910593033","true","3","13"
"44","B20","false","1.0E7","BP200 - FAM","STANDARD","FAM","NFQ-MGB","Amp","1.2408448803998047","","","12.236318568175125","0.9644124492446682","12.472416305003275","0.3338926214679571","true","0.04943090865904318","true","3","9"
"46","B22","false","1.0E7","BP240 - HEX","STANDARD","HEX","NFQ-MGB","Inconclusive","0.6287762727034453","","","19.163658765817498","0.7024657329400525","19.65427960211848","0.6938426406795942","true","0.03999999910593033","true","3","14"
"46","B22","false","1.0E7","BP240 - FAM","STANDARD","FAM","NFQ-MGB","Amp","1.2447394634620235","","","12.81862082548625","0.9765161724835487","13.022910120302289","0.28890869137654296","true","0.03999999910593033","true","3","10"
"47","B23","false","1.0E7","BP240 - HEX","STANDARD","HEX","NFQ-MGB","Inconclusive","0.6203552734104997","","","20.144900438419455","0.4163726030415421","19.65427960211848","0.6938426406795942","true","0.03999999910593033","true","3","15"
"47","B23","false","1.0E7","BP240 - FAM","STANDARD","FAM","NFQ-MGB","Amp","1.2295983985846115","","","13.227199415118328","0.9809508876707472","13.022910120302289","0.28890869137654296","true","0.03999999910593033","true","3","10"
"49","C1","false","1000000.0","ISO - FAM","STANDARD","FAM","NFQ-MGB","Amp","1.221484783145028","","","16.50204947011516","0.9778010433571925","16.519864359275168","0.025194057863275054","true","0.03999999910593033","true","3","13"
"49","C1","false","1000000.0","ISO - HEX","STANDARD","HEX","NFQ-MGB","Amp","0.9120593402020909","","","20.00703931810557","0.9564372767290807","19.979607727523728","0.0387941274379751","true","0.03999999910593033","true","3","17"
"50","C2","false","1000000.0","ISO - FAM","STANDARD","FAM","NFQ-MGB","Amp","1.2216286280637834","","","16.537679248435175","0.9802138072803879","16.519864359275168","0.025194057863275054","true","0.03999999910593033","true","3","13"
"50","C2","false","1000000.0","ISO - HEX","STANDARD","HEX","NFQ-MGB","Amp","0.9109619792810097","","","19.952176136941887","0.9594635145892842","19.979607727523728","0.0387941274379751","true","0.03999999910593033","true","3","17"
"52","C4","false","1000000.0","BP15 - FAM","STANDARD","FAM","NFQ-MGB","Amp","1.1881712036593073","","","16.801086625934524","0.966907125857408","16.778851442363543","0.03144529816731831","true","0.0504887809435339","true","3","13"
"53","C5","false","1000000.0","BP15 - FAM","STANDARD","FAM","NFQ-MGB","Amp","1.2150446531660952","","","16.756616258792562","0.970958603180638","16.778851442363543","0.03144529816731831","true","0.0504887809435339","true","3","13"
"55","C7","false","1000000.0","BP30 - HEX","STANDARD","HEX","NFQ-MGB","Amp","0.9205861786287162","","","19.96302894942523","0.9487168870986009","20.19688429923662","0.33072140733668465","true","0.03999999910593033","true","3","17"
"55","C7","false","1000000.0","BP30 - FAM","STANDARD","FAM","NFQ-MGB","Amp","1.2363730538530802","","","16.2150522565597","0.9035163443882657","16.662404808663318","0.6326520463471226","true","0.042447657773235045","true","3","13"
"56","C8","false","1000000.0","BP30 - HEX","STANDARD","HEX","NFQ-MGB","Amp","0.9579984975189625","","","20.430739649048007","0.9659844266682196","20.19688429923662","0.33072140733668465","true","0.03999999910593033","true","3","17"
"56","C8","false","1000000.0","BP30 - FAM","STANDARD","FAM","NFQ-MGB","Amp","1.2295283602655585","","","17.109757360766935","0.9125912628453693","16.662404808663318","0.6326520463471226","true","0.042447657773235045","true","3","14"
"58","C10","false","1000000.0","BP40 - HEX","STANDARD","HEX","NFQ-MGB","Amp","1.0052796641336657","","","18.780403575086588","0.968489984171114","18.802434455231495","0.031156369493218063","true","0.04648022015490727","true","3","15"
"58","C10","false","1000000.0","BP40 - FAM","STANDARD","FAM","NFQ-MGB","Amp","1.1982525037379586","","","16.502368034340144","0.9719528305207032","16.725737727031948","0.3158924488279136","true","0.04606695265657264","true","3","13"
"59","C11","false","1000000.0","BP40 - HEX","STANDARD","HEX","NFQ-MGB","Amp","1.0324084701858773","","","18.824465335376402","0.9656789280877188","18.802434455231495","0.031156369493218063","true","0.04648022015490727","true","3","15"
"59","C11","false","1000000.0","BP40 - FAM","STANDARD","FAM","NFQ-MGB","Amp","1.1909533156116854","","","16.949107419723752","0.9754475641390251","16.725737727031948","0.3158924488279136","true","0.04606695265657264","true","3","13"
"61","C13","false","1000000.0","BP55 - HEX","STANDARD","HEX","NFQ-MGB","Amp","0.9555926038523866","","","19.716198988821752","0.9628088120802425","20.022888838706557","0.4337249451494369","true","0.03999999910593033","true","3","16"
"61","C13","false","1000000.0","BP55 - FAM","STANDARD","FAM","NFQ-MGB","Amp","1.2179255978256103","","","17.558385704861365","0.9739723416030323","17.53357354545375","0.03508969234502967","true","0.0704896478208053","true","3","13"
"62","C14","false","1000000.0","BP55 - HEX","STANDARD","HEX","NFQ-MGB","Amp","0.9092605582130322","","","20.329578688591365","0.9527037448372864","20.022888838706557","0.4337249451494369","true","0.03999999910593033","true","3","17"
"62","C14","false","1000000.0","BP55 - FAM","STANDARD","FAM","NFQ-MGB","Amp","1.2262787122338328","","","17.50876138604613","0.9815673710916114","17.53357354545375","0.03508969234502967","true","0.0704896478208053","true","3","13"
"64","C16","false","1000000.0","BP160 - HEX","STANDARD","HEX","NFQ-MGB","Amp","0.8850012705450331","","","19.816517266929356","0.9340592732824472","20.000120153722975","0.2596536925941235","true","0.03999999910593033","true","3","16"
"64","C16","false","1000000.0","BP160 - FAM","STANDARD","FAM","NFQ-MGB","Amp","1.2211141408234394","","","16.730955763026834","0.9619291876714935","16.680938027163425","0.07073576041744677","true","0.04501536472400672","true","3","13"
"65","C17","false","1000000.0","BP160 - HEX","STANDARD","HEX","NFQ-MGB","Amp","0.8706829515575374","","","20.18372304051659","0.9448783924966858","20.000120153722975","0.2596536925941235","true","0.03999999910593033","true","3","17"
"65","C17","false","1000000.0","BP160 - FAM","STANDARD","FAM","NFQ-MGB","Amp","1.2268761826597647","","","16.630920291300015","0.9787665929908241","16.680938027163425","0.07073576041744677","true","0.04501536472400672","true","3","13"
"67","C19","false","1000000.0","BP200 - HEX","STANDARD","HEX","NFQ-MGB","Amp","0.8745634179277303","","","19.981346340304626","0.9210404718708717","20.130316075664098","0.21067502012850473","true","0.03999999910593033","true","3","17"
"67","C19","false","1000000.0","BP200 - FAM","STANDARD","FAM","NFQ-MGB","Amp","1.2146514050415345","","","16.804898541121275","0.9787762702795128","16.913880088291773","0.15412318205689754","true","0.04943090865904318","true","3","13"
"68","C20","false","1000000.0","BP200 - HEX","STANDARD","HEX","NFQ-MGB","Amp","0.8622506809212733","","","20.27928581102357","0.9445755064126288","20.130316075664098","0.21067502012850473","true","0.03999999910593033","true","3","17"
"68","C20","false","1000000.0","BP200 - FAM","STANDARD","FAM","NFQ-MGB","Amp","1.2217341998841176","","","17.02286163546227","0.9779067766968489","16.913880088291773","0.15412318205689754","true","0.04943090865904318","true","3","13"
"70","C22","false","1000000.0","BP240 - HEX","STANDARD","HEX","NFQ-MGB","Amp","0.749243885794828","","","21.420436836714178","0.9288375589329384","21.047793881014897","0.5269967218728967","true","0.03999999910593033","true","3","18"
"70","C22","false","1000000.0","BP240 - FAM","STANDARD","FAM","NFQ-MGB","Amp","1.1633768687526806","","","16.884742223474902","0.9757303824798715","16.828904837232585","0.07896598891135861","true","0.03999999910593033","true","3","14"
"71","C23","false","1000000.0","BP240 - HEX","STANDARD","HEX","NFQ-MGB","Amp","0.8008900806215431","","","20.67515092531562","0.9357142411438382","21.047793881014897","0.5269967218728967","true","0.03999999910593033","true","3","17"
"71","C23","false","1000000.0","BP240 - FAM","STANDARD","FAM","NFQ-MGB","Amp","1.216979733103141","","","16.77306745099027","0.977824314996732","16.828904837232585","0.07896598891135861","true","0.03999999910593033","true","3","14"
"73","D1","false","100000.0","ISO - FAM","STANDARD","FAM","NFQ-MGB","Amp","1.142415196651111","","","20.050133643868655","0.9814462883885666","20.080897439152704","0.043506576521285784","true","0.03999999910593033","true","3","17"
"73","D1","false","100000.0","ISO - HEX","STANDARD","HEX","NFQ-MGB","Amp","1.0525610345248642","","","20.374442055477452","0.9826996629655846","20.336729837018368","0.0533331308113908","true","0.03999999910593033","true","3","17"
"74","D2","false","100000.0","ISO - FAM","STANDARD","FAM","NFQ-MGB","Amp","1.1358026998564636","","","20.111661234436752","0.9795111331958545","20.080897439152704","0.043506576521285784","true","0.03999999910593033","true","3","17"
"74","D2","false","100000.0","ISO - HEX","STANDARD","HEX","NFQ-MGB","Amp","1.0572625659557637","","","20.299017618559283","0.9773604366826408","20.336729837018368","0.0533331308113908","true","0.03999999910593033","true","3","17"
"76","D4","false","100000.0","BP15 - FAM","STANDARD","FAM","NFQ-MGB","Amp","1.0338525482067642","","","20.244247487588204","0.8065509102699273","20.21087696036173","0.047193052186434103","true","0.0504887809435339","true","3","17"
