,Target,Well,Copies,lg10_Copies,BP,GC,F0_lg,K,m,r,ρ,τ
127,S067_0d89c8_b_Avg_0,89.0,15873014.285714285,5.0,45.0,0.4666666666666667,-6.632823273451039,0.35014805938484767,0.001147374660842103,0.7343987236209061,0.19991712305213769,29.928567325428222
128,S067_0d89c8_b_Avg_1,93.0,13888888.75,4.5,51.0,0.27450980392156865,-6.481435587389393,0.34886343820400695,0.0009480052611916206,0.8494613041180945,0.1682856003181717,25.14345511122128
129,S067_0d89c8_b_Avg_2,86.0,13888888.75,4.5,60.0,0.23333333333333334,-5.9575569299000914,0.397111038924704,0.0006011539259003303,0.8916296442279874,0.15764975523994448,22.181300784763824
130,S067_0d89c8_b_Avg_3,50.0,22222000.0,6.0,65.0,0.24615384615384617,-5.552937342265618,0.46059475126723104,0.001091671717077358,0.9110568351007757,0.1552666696329771,20.250510053702122
131,S067_0d89c8_b_LVM_0,266.6,22202200.0,5.6,45.0,0.22222222222222224,-6.908701442414795,0.3294907391802281,0.0011118858355153743,0.9026969087623176,0.14604454908648404,25.40752252509474
132,S067_0d89c8_b_LVM_2,278.0,13888888.75,4.5,28.0,0.39285714285714285,-6.340241689419055,0.31277820068164636,0.0002055616986122787,0.8682547125704949,0.1615399560467892,24.237333396248765
133,S067_0d89c8_b_LVM_3,242.0,22222000.0,6.0,40.0,0.45,-5.109295787378864,0.40038593977388715,0.0006976490529223129,0.7667796869849921,0.20713992233656192,22.17695967043968
134,S067_0d89c8_c_Avg_1,104.0,13888888.75,4.5,194.0,0.5412371134020618,-4.6967849859505275,0.6321975597085249,0.016439210848636844,0.5516844816449155,0.297765125728777,29.164970637577177
135,S067_0d89c8_c_Avg_3,51.0,22222000.0,6.0,235.0,0.5957446808510638,-4.136033207736213,0.45656217207820565,0.05420866913170321,0.6152364184777932,0.27707958357163553,22.430105266991244
136,S067_0d89c8_c_LVM_0,282.0,15873014.285714285,5.0,375.0,0.3466666666666667,-5.21509946519131,0.6282543119252734,0.019450349023514835,0.6944610245386217,0.2297564825933335,24.96536120962018
137,S067_0d89c8_c_LVM_1,285.8,22200022.0,4.8,575.0,0.3443478260869565,-5.704137305920433,0.6726696092994322,0.016362192044168992,0.5582490416682167,0.2786918557011543,35.347219971340905
138,S067_0d89c8_c_LVM_2,279.0,13888888.75,4.5,70.0,0.37142857142857144,-5.815062900907315,0.6905860902779392,0.02274419989446605,0.8954457652492581,0.1574792578716744,21.596413352473395
139,S067_0d89c8_c_LVM_3,243.0,22222000.0,6.0,70.0,0.5428571428571428,-4.98342649310169,0.6286943348843703,0.045243068565784694,0.8086017716625857,0.19491770118014368,20.478418211329785
140,S067_0d89c8_d_Avg_0,91.0,15873014.285714285,5.0,45.0,0.4666666666666667,-6.965738560217619,0.21829578501976235,0.0017198856887126988,0.7537158804962686,0.19100246324438733,30.662199177975832
141,S067_0d89c8_d_Avg_2,88.0,13888888.75,4.5,58.0,0.2413793103448276,-5.8705976477824855,0.3284601269886286,0.0010912328830833878,0.868615461871047,0.16468925683184904,22.46845064681469
142,S067_0d89c8_d_Avg_3,52.0,22222000.0,6.0,65.0,0.24615384615384617,-4.94222121061603,0.378068667523016,0.001389190406079161,0.7680653421881123,0.20964348635793634,21.301702276050808
143,S067_0d89c8_d_LVM_0,283.0,15873014.285714285,5.0,43.0,0.23255813953488372,-5.551404194917387,0.1811983063126477,0.001384199653775441,0.7819866524012399,0.19985356559105488,24.670103394481146
144,S067_0d89c8_d_LVM_2,280.0,13888888.75,4.5,28.0,0.42857142857142855,-6.170358586753205,0.2645460811560172,0.0008024787815480429,0.8204327378912533,0.17695870067695396,25.05268085857116
145,S067_0d89c8_d_LVM_3,244.0,22222000.0,6.0,43.0,0.4883720930232558,-4.870788066013991,0.3435961779186847,0.0007363787210077564,0.7281593936420311,0.22369290501394054,22.212841255359084
146,S067_0d89c8_e_Avg_0,92.0,15873014.285714285,5.0,94.0,0.40425531914893614,-5.423752283682999,0.4389424916577306,0.014664496405604702,0.7569875742940539,0.2064668720897219,23.849715615606215
147,S067_0d89c8_e_Avg_1,93.42857142857143,15873001.42857143,4.857142857142857,78.0,0.32051282051282054,-9.07327155567631,0.5156574365670467,0.016041612828669904,0.8395648035862725,0.1667451268524356,39.750347174846425
148,S067_0d89c8_e_Avg_2,89.0,13888888.75,4.5,66.0,0.36363636363636365,-5.856286769059608,0.7314567788863702,0.010065594168472271,0.8949596529860804,0.15762462393745527,21.773729938093613
149,S067_0d89c8_e_Avg_3,53.0,22222000.0,6.0,59.0,0.4915254237288136,-4.989765263569682,0.6777616457852998,0.008619730784163495,0.8135868057028036,0.19344308091669266,20.358316822738296
150,S067_0d89c8_e_LVM_0,284.0,15873014.285714285,5.0,162.0,0.25925925925925924,-7.434909805319212,0.4637918600566091,0.021331533994878086,0.7602050172354927,0.18598478974590962,32.494854165668364
