,GC
0,0.48148148148148145
1,0.48148148148148145
2,0.4318181818181818
3,0.43333333333333335
4,0.25
5,0.527027027027027
6,0.527027027027027
7,0.4318181818181818
8,0.5333333333333333
9,0.577639751552795
10,0.49693251533742333
11,0.5432098765432098
12,0.5714285714285714
13,0.4842105263157895
14,0.5543478260869565
15,0.4427083333333333
16,0.6752136752136753
17,0.48
18,0.4326923076923077
19,0.4854368932038835
20,0.44339622641509435
21,0.47959183673469385
22,0.43564356435643564
23,0.4056603773584906
24,0.2807017543859649
25,0.4375
26,0.26666666666666666
27,0.25
28,0.3522727272727273
29,0.4318181818181818
30,0.4318181818181818
31,0.5454545454545454
32,0.6477272727272727
33,0.75
34,0.7954545454545454
35,0.8522727272727273
36,0.13125
37,0.4666666666666666
38,0.21875
39,0.43125
40,0.5875
41,0.78125
42,0.425
43,0.42083333333333334
44,0.325
45,0.6821428571428572
46,0.41800000000000004
47,0.57
48,0.6666666666666666
49,0.45
50,0.26
51,0.62
52,0.74
53,0.45454545454545453
54,0.14772727272727273
55,0.3375000000000001
56,0.418
57,0.4318181818181818
58,0.25
59,0.41379310344827586
60,0.6727941176470589
61,0.20394736842105263
62,0.7551020408163266
63,0.5921052631578947
64,0.7976190476190478
65,0.4444444444444444
66,0.425
67,0.3375000000000001
68,0.418
69,0.4318181818181818
70,0.25
71,0.41379310344827586
72,0.6727941176470589
73,0.20394736842105263
74,0.7551020408163265
75,0.5921052631578947
76,0.7976190476190477
77,0.4444444444444444
78,0.425
79,0.3375
80,0.418
81,0.4318181818181818
82,0.25
83,0.41379310344827586
84,0.672794117647059
85,0.20394736842105263
86,0.7551020408163265
87,0.5921052631578947
88,0.7976190476190478
89,0.4444444444444444
90,0.425
91,0.45652173913043476
92,0.48
93,0.44660194174757284
94,0.4946236559139785
95,0.48672566371681414
96,0.4594594594594595
97,0.6938775510204082
98,0.5054229934924078
99,0.5166163141993958
100,0.4868421052631579
101,0.45555555555555555
102,0.5714285714285714
103,0.5217391304347826
104,0.5294117647058824
105,0.5517241379310345
106,0.5508982035928144
107,0.502262443438914
108,0.29411764705882354
109,0.3939393939393939
110,0.3064516129032258
111,0.29411764705882354
112,0.39393939393939387
113,0.3064516129032258
114,0.29411764705882354
115,0.3939393939393939
116,0.3064516129032258
117,0.418
118,0.25
119,0.40425531914893614
120,0.32051282051282054
121,0.36363636363636365
122,0.47457627118644063
123,0.4915254237288136
124,0.22184300341296928
125,0.3464566929133858
126,0.325
127,0.4666666666666667
128,0.27450980392156865
129,0.23333333333333334
130,0.24615384615384617
131,0.22222222222222224
132,0.39285714285714285
133,0.45
134,0.5412371134020618
135,0.5957446808510638
136,0.3466666666666667
137,0.3443478260869565
138,0.37142857142857144
139,0.5428571428571428
140,0.4666666666666667
141,0.2413793103448276
142,0.24615384615384617
143,0.23255813953488372
144,0.42857142857142855
145,0.4883720930232558
146,0.40425531914893614
147,0.32051282051282054
148,0.36363636363636365
149,0.4915254237288136
150,0.25925925925925924
151,0.5441176470588235
152,0.3543307086614173
153,0.4605263157894736
154,0.4666666666666667
155,0.5106382978723404
156,0.25675675675675674
157,0.23469387755102042
158,0.21978021978021978
159,0.2222222222222222
160,0.21897810218978103
161,0.4666666666666667
162,0.5319148936170213
163,0.4634146341463415
164,0.39215686274509803
165,0.4696969696969697
166,0.24528301886792453
167,0.24137931034482757
168,0.39285714285714285
169,0.3333333333333333
170,0.3333333333333333
171,0.3023255813953488
172,0.5783132530120482
173,0.543859649122807
174,0.5903614457831325
175,0.3522388059701492
176,0.3339130434782609
177,0.30952380952380953
178,0.44444444444444436
179,0.2830188679245283
180,0.5319148936170213
181,0.2535211267605634
182,0.25
183,0.2
184,0.5
185,0.22413793103448273
186,0.4444444444444444
187,0.2830188679245283
188,0.5106382978723404
189,0.2535211267605634
190,0.2156862745098039
191,0.375
192,0.4222222222222222
193,0.4666666666666667
194,0.27586206896551724
195,0.3048780487804878
196,0.2926829268292683
197,0.48214285714285715
198,0.3595505617977528
199,0.34782608695652173
200,0.49056603773584906
201,0.41304347826086957
202,0.4647887323943662
203,0.38571428571428573
204,0.37142857142857144
205,0.4142857142857143
206,0.3953488372093023
207,0.3858267716535433
208,0.48571428571428565
209,0.4666666666666667
210,0.27586206896551724
211,0.3048780487804878
212,0.2926829268292683
213,0.3389830508474576
214,0.22330097087378642
215,0.3416666666666667
216,0.325
217,0.45637583892617456
218,0.4878048780487805
219,0.6595744680851063
220,0.6470588235294118
221,0.6511627906976745
222,0.3956043956043956
223,0.42857142857142855
224,0.45038167938931295
225,0.45098039215686275
226,0.42696629213483145
227,0.44329896907216493
228,0.5396825396825397
229,0.2571428571428571
230,0.25477707006369427
231,0.3422818791946309
232,0.4639175257731959
233,0.4666666666666666
234,0.5106382978723404
235,0.25675675675675674
236,0.23469387755102042
237,0.21978021978021978
238,0.22613065326633167
239,0.21897810218978103
240,0.44444444444444436
241,0.25675675675675674
242,0.4634146341463415
243,0.4166666666666667
244,0.42105263157894735
245,0.2597402597402597
246,0.22641509433962265
247,0.2363636363636364
248,0.2241379310344828
249,0.22727272727272727
250,0.39285714285714285
251,0.425
252,0.2597402597402597
253,0.22222222222222218
254,0.4545454545454545
255,0.3333333333333333
256,0.4583333333333333
257,0.49707602339181284
258,0.6938775510204082
259,0.3597122302158273
260,0.33984375
261,0.328125
262,0.3592233009708738
263,0.6310679611650486
264,0.5405405405405406
265,0.6347826086956522
266,0.6205357142857143
267,0.3474576271186441
268,0.3185011709601874
269,0.2653061224489796
270,0.34873949579831925
271,0.44444444444444436
272,0.25
273,0.24615384615384617
274,0.2413793103448276
275,0.22105263157894736
276,0.22330097087378642
277,0.5102040816326531
278,0.44444444444444436
279,0.25
280,0.4096385542168674
281,0.3253012048192771
282,0.4085106382978723
283,0.6654545454545454
284,0.20000000000000004
285,0.5806451612903226
286,0.40963855421686746
287,0.43037974683544306
288,0.34177215189873417
289,0.41558441558441556
290,0.6752767527675276
291,0.20529801324503313
292,0.5960264900662252
293,0.45714285714285713
294,0.43037974683544306
295,0.43037974683544306
296,0.34177215189873417
297,0.41558441558441556
298,0.6752767527675276
299,0.20529801324503313
300,0.5960264900662252
301,0.45714285714285713
302,0.43037974683544306
303,0.5257731958762887
304,0.5060240963855421
