,BP
0,0.24214432961320623
1,0.24214432961320623
2,-0.045574894109595435
3,-1.557461855413167
4,0.24214432961320623
5,-0.28900734177237125
6,-0.28900734177237125
7,-0.045574894109595435
8,-1.557461855413167
9,0.8030900887979737
10,1.7942494685522188
11,-0.16202520555797
12,-0.23317546451656487
13,0.061957588289650374
14,0.016876158410559953
15,1.0504833999555587
16,0.35459771844812554
17,0.13402042756681673
18,0.18912228799609482
19,0.17554810171197577
20,0.2158834276164509
21,0.10563729351841408
22,0.147999820031039
23,0.2158834276164509
24,-0.6557101938959493
25,-2.440605068050797
26,-1.557461855413167
27,-0.045574894109595435
28,-0.045574894109595435
29,-0.045574894109595435
30,-0.045574894109595435
31,-0.045574894109595435
32,-0.045574894109595435
33,-0.045574894109595435
34,-0.045574894109595435
35,-0.045574894109595435
36,0.7943366813467752
37,-1.557461855413167
38,0.7943366813467752
39,0.7943366813467752
40,0.7943366813467752
41,0.7943366813467752
42,1.1078349283611988
43,1.3639816469699821
44,1.580550611734189
45,1.580550611734189
46,2.3951476761700055
47,2.3951476761700055
48,-1.557461855413167
49,-1.1532923202419907
50,-0.8397940732275672
51,-0.8397940732275672
52,-0.8397940732275672
53,-0.7058911478895552
54,-0.045574894109595435
55,-0.17947781944760802
56,2.3951476761700055
57,-0.045574894109595435
58,-0.045574894109595435
59,1.3163527687935768
60,1.5398255182169935
61,0.7222738420696101
62,-0.8681772072759698
63,0.7222738420696101
64,-0.11093167124579396
65,-1.301315136804384
66,-0.17947781944760802
67,-0.17947781944760802
68,2.3951476761700055
69,-0.045574894109595435
70,-0.045574894109595435
71,1.3163527687935768
72,1.5398255182169935
73,0.7222738420696101
74,-0.8681772072759698
75,0.7222738420696101
76,-0.11093167124579396
77,-1.301315136804384
78,-0.17947781944760802
79,-0.17947781944760802
80,2.3951476761700055
81,-0.045574894109595435
82,-0.045574894109595435
83,1.3163527687935768
84,1.5398255182169935
85,0.7222738420696101
86,-0.8681772072759698
87,0.7222738420696101
88,-0.11093167124579396
89,-1.301315136804384
90,-0.17947781944760802
91,0.016876158410559953
92,0.13402042756681673
93,0.17554810171197577
94,0.032064602026030155
95,0.3057261003843705
96,0.28063762385083446
97,-0.8681772072759698
98,2.2810542602235926
99,1.8156337071374702
100,2.009586589878417
101,-0.014002388995577266
102,0.10563729351841408
103,0.3303744054249834
104,-0.0943052363573495
105,-0.06163126717198277
106,0.8544952383606337
107,1.2481093718807352
108,-0.0943052363573495
109,-1.4235589300751554
110,-0.5375803635971769
111,-0.0943052363573495
112,-1.4235589300751554
113,-0.5375803635971769
114,-0.0943052363573495
115,-1.4235589300751554
116,-0.5375803635971769
117,2.3951476761700055
118,-0.045574894109595435
119,0.04709059928055751
120,-0.21504724717508142
121,-0.4497444292807729
122,-0.6072599667624803
123,-0.6072599667624803
124,1.6443099840922213
125,0.4698194182300566
126,-1.1532923202419907
127,-0.9878168897899605
128,-0.8119730185429499
129,-0.5836473546187843
130,-0.4711939657838649
131,-0.9878168897899605
132,-1.6543911376633835
133,-1.1532923202419907
134,1.0650422592669495
135,1.3344033470893641
136,1.9909781409988292
137,2.5915016540281735
138,-0.3670783898545762
139,-0.3670783898545762
140,-0.9878168897899605
141,-0.6312762327951897
142,-0.4711939657838649
143,-1.0516877679499506
144,-1.6543911376633835
145,-1.0516877679499506
146,0.04709059928055751
147,-0.21504724717508142
148,-0.4497444292807729
149,-0.6072599667624803
150,0.811789295236412
151,-0.40780348337177297
152,0.4698194182300566
153,-0.2515406587247731
154,-0.9878168897899605
155,-0.9267239015138257
156,-0.28900734177237125
157,0.10563729351841408
158,0.9753362183835086
159,1.0937150371368174
160,0.5763034982623912
161,-0.9878168897899605
162,-0.9267239015138257
163,-1.1186012403712238
164,0.16184148225143274
165,-0.4497444292807729
166,-0.7579310731779317
167,-0.6312762327951897
168,-0.6805766368689997
169,-0.21504724717508142
170,0.35459771844812554
171,-1.0516877679499506
172,0.8460572709476676
173,0.8877492725216408
174,0.8460572709476676
175,1.832509794154699
176,2.5915016540281735
177,-1.0847461720401765
178,-0.9878168897899605
179,-0.7579310731779317
180,-0.9267239015138257
181,-0.34715015003618216
182,-0.17947781944760802
183,-2.53127635620755
184,-2.127106821036374
185,0.34253826799919346
186,-0.9878168897899605
187,-0.7579310731779317
188,-0.9267239015138257
189,-0.34715015003618216
190,-0.8119730185429499
191,-1.466790567256414
192,-0.9878168897899605
193,-0.9878168897899605
194,-0.06163126717198277
195,-0.14478673957684055
196,-0.14478673957684055
197,-0.6805766368689997
198,-0.029699952874289535
199,0.586521124033767
200,-0.7579310731779317
201,0.016876158410559953
202,-0.34715015003618216
203,-0.3670783898545762
204,-0.3670783898545762
205,-0.3670783898545762
206,-0.07787326715556789
207,0.4698194182300566
208,-0.3670783898545762
209,-0.9878168897899605
210,-0.06163126717198277
211,-0.14478673957684055
212,-0.14478673957684055
213,-0.6072599667624803
214,1.719007568129566
215,0.39016714617559894
216,-1.1532923202419907
217,0.6942679176760556
218,-1.1186012403712238
219,-0.9267239015138257
220,-0.8119730185429499
221,-1.0516877679499506
222,0.0015217175891253732
223,0.9753362183835086
224,0.5133862378895936
225,0.16184148225143274
226,-0.029699952874289535
227,0.09122775847256627
228,-0.5151012064169702
229,0.9202343579542305
230,0.7677443918379186
231,0.6942679176760556
232,0.09122775847256627
233,-0.9878168897899605
234,-0.9267239015138257
235,-0.28900734177237125
236,0.10563729351841408
237,0.9753362183835086
238,1.100792721380479
239,0.5763034982623912
240,-0.9878168897899605
241,-0.28900734177237125
242,-1.1186012403712238
243,-1.8709601024275904
244,-1.2253551595191563
245,-0.23317546451656487
246,-0.7579310731779317
247,-0.7058911478895552
248,-0.6312762327951897
249,-1.993203895698362
250,-1.6543911376633835
251,-1.1532923202419907
252,-0.23317546451656487
253,-0.9878168897899605
254,-2.9670183964927452
255,-0.32750063601000073
256,-0.8971456016332071
257,0.8877492725216408
258,-0.8681772072759698
259,1.5704794764849257
260,1.454652935126735
261,1.454652935126735
262,1.719007568129566
263,1.149362602506359
264,0.9983054060364343
265,1.3041889062193666
266,1.2670523647197656
267,1.9100140004494919
268,2.1734178804692617
269,-0.8681772072759698
270,2.326039448604407
271,-0.9878168897899605
272,-0.5836473546187843
273,-0.4711939657838649
274,-0.06163126717198277
275,1.0357720890840336
276,1.149362602506359
277,-0.8681772072759698
278,-0.9878168897899605
279,-0.5836473546187843
280,-0.12775722984671567
281,-0.12775722984671567
282,1.3344033470893641
283,1.5552361007136348
284,0.7497323842116299
285,0.7497323842116299
286,-0.12775722984671567
287,-0.1971499688250013
288,-0.1971499688250013
289,1.310284001901024
290,1.534650862823493
291,0.7130004265452188
292,0.7130004265452188
293,-1.3408928906489601
294,-0.1971499688250013
295,-0.1971499688250013
296,-0.1971499688250013
297,1.310284001901024
298,1.534650862823493
299,0.7130004265452188
300,0.7130004265452188
301,-1.3408928906489601
302,-0.1971499688250013
303,0.09122775847256627
304,-0.12775722984671567
