,Experiment,Well,Target,lg10_Copies,Outlier,WellPosition,Copies,Reporter,Sample,Task,Comments,CT,Reaction,SYN_Copies,WT_Copies,Cycle,Fluorescence,Corr_Fluorescence,FAM-HEX
116,JG063B,70,S056.4.3,2.0,False,C22,100.0,FAM,S056.4.3_vs_S056.4.12,STANDARD,,27.9285,116,6.0,2.0,40,0.17060003259237763,0.16870154440402985,-0.9742579656091247
156,JG063B,94,S056.4.3,2.0,False,D22,100.0,FAM,S056.4.3_vs_S056.4.12,STANDARD,,27.65193,156,6.0,2.0,40,0.1693573753475063,0.17540712654590607,-1.0
196,JG063B,118,S056.4.3,3.0,False,E22,1000.0,FAM,S056.4.3_vs_S056.4.12,STANDARD,,24.141785,196,6.0,3.0,40,0.31025819667490967,0.2949836552143097,-0.6861275812879317
236,JG063B,142,S056.4.3,3.0,False,F22,1000.0,FAM,S056.4.3_vs_S056.4.12,STANDARD,,23.581814,236,6.0,3.0,40,0.3258187607013952,0.32360368967056274,-0.6548481703847346
276,JG063B,166,S056.4.3,4.0,False,G22,10000.0,FAM,S056.4.3_vs_S056.4.12,STANDARD,,20.811953,276,6.0,4.0,40,0.4510364786233723,0.44480717182159424,-0.34703165893176313
316,JG063B,190,S056.4.3,4.0,False,H22,10000.0,FAM,S056.4.3_vs_S056.4.12,STANDARD,,20.422594,316,6.0,4.0,40,0.4883215912575047,0.47678425908088684,-0.27461188146055693
356,JG063B,214,S056.4.3,5.0,False,I22,100000.0,FAM,S056.4.3_vs_S056.4.12,STANDARD,,17.469234,356,6.0,5.0,40,0.6415547086069281,0.6195099949836731,0.11454100802943645
396,JG063B,238,S056.4.3,5.0,False,J22,100000.0,FAM,S056.4.3_vs_S056.4.12,STANDARD,,17.048687,396,6.0,5.0,40,0.6575058958823847,0.6321650147438049,0.13010193847291673
436,JG063B,262,S056.4.3,6.0,False,K22,1000000.0,FAM,S056.4.3_vs_S056.4.12,STANDARD,,14.757838,436,6.0,6.0,40,0.7503247316449911,0.721217155456543,0.41045721795667767
474,JG063B,286,S056.4.3,6.0,False,L22,1000000.0,FAM,S056.4.3_vs_S056.4.12,STANDARD,,14.966731,476,6.0,6.0,40,0.7408005089222688,0.6797730922698975,0.41513060768440724
514,JG063B,310,S056.4.3,7.0,False,M22,10000000.0,FAM,S056.4.3_vs_S056.4.12,STANDARD,,11.675475,516,6.0,7.0,40,0.9211321841049809,0.8790901303291321,0.8567250655641243
554,JG063B,334,S056.4.3,7.0,False,N22,10000000.0,FAM,S056.4.3_vs_S056.4.12,STANDARD,,11.277122,556,6.0,7.0,40,0.9119235307506474,0.8929021954536438,0.8377442259546544
594,JG063B,358,S056.4.3,8.0,False,O22,100000000.0,FAM,S056.4.3_vs_S056.4.12,STANDARD,,10.02225,596,6.0,8.0,40,0.9787763683292445,0.9243614077568054,1.0
634,JG063B,382,S056.4.3,8.0,False,P22,100000000.0,FAM,S056.4.3_vs_S056.4.12,STANDARD,,10.13768,636,6.0,8.0,40,0.9444942924175646,0.8968743085861206,0.9380346361483314
