,Experiment,Well,Target,lg10_Copies,Outlier,WellPosition,Copies,Reporter,Sample,Task,Comments,CT,Reaction,SYN_Copies,WT_Copies,Cycle,Fluorescence,Corr_Fluorescence,FAM-HEX
92,JG063B,56,S056.4.1,4.0,False,C8,10000.0,HEX,S056.4.1_vs_S056.4.12,STANDARD,,18.521223,92,4.0,2.0,40,-0.9385244435196238,0.6537986397743225,-0.992988050464782
132,JG063B,80,S056.4.1,4.0,False,D8,10000.0,HEX,S056.4.1_vs_S056.4.12,STANDARD,,18.496502,132,4.0,2.0,40,-0.9512340271843267,0.6639946699142456,-1.0
172,JG063B,104,S056.4.1,4.0,False,E8,10000.0,HEX,S056.4.1_vs_S056.4.12,STANDARD,,18.485968,172,4.0,3.0,40,-0.9054004696139631,0.6297774910926819,-0.856479372374025
212,JG063B,128,S056.4.1,4.0,False,F8,10000.0,HEX,S056.4.1_vs_S056.4.12,STANDARD,,18.511223,212,4.0,3.0,40,-0.8962521267818799,0.6237728595733643,-0.8223313583072993
252,JG063B,152,S056.4.1,4.0,False,G8,10000.0,HEX,S056.4.1_vs_S056.4.12,STANDARD,,18.547943,252,4.0,4.0,40,-0.751740542662265,0.5171812176704407,-0.42490797060812313
292,JG063B,176,S056.4.1,4.0,False,H8,10000.0,HEX,S056.4.1_vs_S056.4.12,STANDARD,,18.502474,292,4.0,4.0,40,-0.7458721939079979,0.5165736079216003,-0.39591179499199713
332,JG063B,200,S056.4.1,4.0,False,I8,10000.0,HEX,S056.4.1_vs_S056.4.12,STANDARD,,18.40145,332,4.0,5.0,40,-0.46769102036731974,0.31801503896713257,0.24011729311312546
372,JG063B,224,S056.4.1,4.0,False,J8,10000.0,HEX,S056.4.1_vs_S056.4.12,STANDARD,,18.381948,372,4.0,5.0,40,-0.4307614352958864,0.29463645815849304,0.3260254318447813
412,JG063B,248,S056.4.1,4.0,False,K8,10000.0,HEX,S056.4.1_vs_S056.4.12,STANDARD,,18.49094,412,4.0,6.0,40,-0.2543606022264686,0.1623203605413437,0.6811098463387859
452,JG063B,272,S056.4.1,4.0,False,L8,10000.0,HEX,S056.4.1_vs_S056.4.12,STANDARD,,18.60759,452,4.0,6.0,40,-0.22738490644141038,0.1387578547000885,0.732425810767652
490,JG063B,296,S056.4.1,4.0,False,M8,10000.0,HEX,S056.4.1_vs_S056.4.12,STANDARD,,18.818464,492,4.0,7.0,40,-0.12241869720730714,0.06815382838249207,0.9121929548303283
530,JG063B,320,S056.4.1,4.0,False,N8,10000.0,HEX,S056.4.1_vs_S056.4.12,STANDARD,,18.263824,532,4.0,7.0,40,-0.1348251246923215,0.0743422657251358,0.8713678154441695
570,JG063B,344,S056.4.1,4.0,False,O8,10000.0,HEX,S056.4.1_vs_S056.4.12,STANDARD,,18.713152,572,4.0,8.0,40,-0.08521313754880967,0.03737371414899826,0.9834680659490973
610,JG063B,368,S056.4.1,4.0,False,P8,10000.0,HEX,S056.4.1_vs_S056.4.12,STANDARD,,71.28717,612,4.0,8.0,40,-0.06909200915780503,0.038215335458517075,1.0
