,Experiment,Well,Target,lg10_Copies,Outlier,WellPosition,Copies,Reporter,Sample,Task,Comments,CT,Reaction,Primer nM,Probe nM,SYN_Copies,WT_Copies,Cycle,Fluorescence,Corr_Fluorescence,FAM-HEX
46,JG063I,24,S056.1.1,5.0,False,A24,100000,HEX,200+200 primer+probe,STANDARD,,13.6503105,46,200,200,5.0,8.0,40,-0.09712981062201907,0.060812581330537796,0.9028701893779809
94,JG063I,48,S056.1.1,5.0,False,B24,100000,HEX,200+200 primer+probe,STANDARD,,13.407047,94,200,200,5.0,8.0,40,-0.09398141857583683,0.06360656023025513,0.8778546925673464
142,JG063I,72,S056.1.1,5.0,False,C24,100000,HEX,200+200 primer+probe,STANDARD,,15.706735,142,200,200,5.0,7.0,40,-0.13448049512748816,0.12463855743408203,0.8483674634646116
190,JG063I,96,S056.1.1,5.0,False,D24,100000,HEX,200+200 primer+probe,STANDARD,,15.92125,190,200,200,5.0,7.0,40,-0.1648039584707921,0.14957711100578308,0.7934544885660917
238,JG063I,120,S056.1.1,5.0,False,E24,100000,HEX,200+200 primer+probe,STANDARD,,17.420921,238,200,200,5.0,6.0,40,-0.3152338654040034,0.3181076943874359,0.5191571995394724
286,JG063I,144,S056.1.1,5.0,False,F24,100000,HEX,200+200 primer+probe,STANDARD,,17.660282,286,200,200,5.0,6.0,40,-0.28469423562839147,0.29253414273262024,0.6022616165651853
334,JG063I,168,S056.1.1,5.0,False,G24,100000,HEX,200+200 primer+probe,STANDARD,,17.991354,334,200,200,5.0,5.0,40,-0.6191219755645672,0.6457341313362122,-0.13587578688800872
382,JG063I,192,S056.1.1,5.0,False,H24,100000,HEX,200+200 primer+probe,STANDARD,,17.95984,382,200,200,5.0,5.0,40,-0.6524137883375294,0.6782041192054749,-0.15907495817542772
430,JG063I,216,S056.1.1,5.0,False,I24,100000,HEX,200+200 primer+probe,STANDARD,,17.967237,430,200,200,5.0,4.0,40,-0.8196919652112153,0.8604605793952942,-0.6240526626905543
478,JG063I,240,S056.1.1,5.0,False,J24,100000,HEX,200+200 primer+probe,STANDARD,,17.965498,478,200,200,5.0,4.0,40,-0.8175889764005055,0.8583682775497437,-0.6136901883124235
526,JG063I,264,S056.1.1,5.0,False,K24,100000,HEX,200+200 primer+probe,STANDARD,,18.034878,526,200,200,5.0,3.0,40,-0.9023293335487061,0.9449458122253418,-0.8820311705698434
572,JG063I,288,S056.1.1,5.0,False,L24,100000,HEX,200+200 primer+probe,STANDARD,,17.934,572,200,200,5.0,3.0,40,-1.0,1.0515072345733643,-1.0637511242384503
620,JG063I,312,S056.1.1,5.0,False,M24,100000,HEX,200+200 primer+probe,STANDARD,,17.965185,620,200,200,5.0,2.0,40,-0.9338686152995144,0.9766348004341125,-0.9961814105400866
666,JG063I,336,S056.1.1,5.0,False,N24,100000,HEX,200+200 primer+probe,STANDARD,,18.003359,666,200,200,5.0,2.0,40,-0.9184149315477986,0.9664803743362427,-0.9811784536031309
