,Experiment,Well,Target,lg10_Copies,Outlier,WellPosition,Copies,Reporter,Sample,Task,Comments,CT,Reaction,Primer nM,Probe nM,SYN_Copies,WT_Copies,Cycle,Fluorescence,Corr_Fluorescence,FAM-HEX
28,JG063I,15,S056.1.1,5.0,False,A15,100000,HEX,50+200 primer+probe,STANDARD,,inf,28,50,200,5.0,8.0,40,-0.026152689984359285,-0.0011785344686359167,0.35742548482148595
76,JG063I,39,S056.1.1,5.0,False,B15,100000,HEX,50+200 primer+probe,STANDARD,,inf,76,50,200,5.0,8.0,40,-0.02849817963189316,-0.0013685977319255471,0.3551221243385444
124,JG063I,63,S056.1.1,5.0,False,C15,100000,HEX,50+200 primer+probe,STANDARD,,inf,124,50,200,5.0,7.0,40,-0.03996516613638425,0.00019535292813088745,0.3338980357322287
172,JG063I,87,S056.1.1,5.0,False,D15,100000,HEX,50+200 primer+probe,STANDARD,,inf,172,50,200,5.0,7.0,40,-0.042298022375389654,0.00035422304063104093,0.3377579411411593
220,JG063I,111,S056.1.1,5.0,False,E15,100000,HEX,50+200 primer+probe,STANDARD,,20.989895,220,50,200,5.0,6.0,40,-0.10412935810600427,0.0933580994606018,0.21995766812754064
268,JG063I,135,S056.1.1,5.0,False,F15,100000,HEX,50+200 primer+probe,STANDARD,,21.10954,268,50,200,5.0,6.0,40,-0.09980143169329962,0.08670222014188766,0.23731851542101529
316,JG063I,159,S056.1.1,5.0,False,G15,100000,HEX,50+200 primer+probe,STANDARD,,19.969622,316,50,200,5.0,5.0,40,-0.25856463548829334,0.2540709376335144,-0.09847580828364683
364,JG063I,183,S056.1.1,5.0,False,H15,100000,HEX,50+200 primer+probe,STANDARD,,19.97964,364,50,200,5.0,5.0,40,-0.25562649199157106,0.2583628296852112,-0.0952777698590479
412,JG063I,207,S056.1.1,5.0,False,I15,100000,HEX,50+200 primer+probe,STANDARD,,19.847244,412,50,200,5.0,4.0,40,-0.3136759522666356,0.32258710265159607,-0.28247942879651955
460,JG063I,231,S056.1.1,5.0,False,J15,100000,HEX,50+200 primer+probe,STANDARD,,19.991121,460,50,200,5.0,4.0,40,-0.3125660218159181,0.31624072790145874,-0.27519482228395326
508,JG063I,255,S056.1.1,5.0,False,K15,100000,HEX,50+200 primer+probe,STANDARD,,19.725512,508,50,200,5.0,3.0,40,-0.3305417999562526,0.3447977900505066,-0.3253736140665648
556,JG063I,279,S056.1.1,5.0,False,L15,100000,HEX,50+200 primer+probe,STANDARD,,19.805447,556,50,200,5.0,3.0,40,-0.32638275264357514,0.33350276947021484,-0.3226878837517959
602,JG063I,303,S056.1.1,5.0,False,M15,100000,HEX,50+200 primer+probe,STANDARD,,19.78684,602,50,200,5.0,2.0,40,-0.33441554366378456,0.3424866199493408,-0.33100701826979706
648,JG063I,327,S056.1.1,5.0,False,N15,100000,HEX,50+200 primer+probe,STANDARD,,19.876356,648,50,200,5.0,2.0,40,-0.3239533903297437,0.3324642777442932,-0.3254184469804441
