# File Name: \\wsl.localhost\Ubuntu\home\john\projects\CAN_paper\fig_s3\data\JG076E_FP004-RP004x_Set_I.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 6 System
# Block Type: 384-Well Block
# Instrument Name: 278860576
# Instrument Serial Number: 278860576
# Heated Cover Serial Number: 278154452
# Block Serial Number: 278033142
# Run Start Date/Time: 2022-07-20 10:55:32 AM EDT
# Run End Date/Time: 2022-07-20 12:51:31 PM EDT
# Run Duration: 115 minutes 59 seconds
# Sample Volume: 10.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2023-10-26 01:32:35 PM EDT
# Software Name and Version: Design & Analysis Software v2.6.0
# Plugin Name and Version: Primary Analysis v1.7.0, Standard Curve v1.6.0
# Exported On: 2023-10-26 01:32:41 PM EDT
"Well","Well Position","Cycle Number","TET","ROX","HEX","SUN"
"2","A2","46","274507.6","154616.23",,
"2","A2","47","275268.5","154750.42",,
"2","A2","48","275984.78","154879.12",,
"2","A2","49","276890.84","154809.58",,
"2","A2","50","277526.38","154715.8",,
"2","A2","51","278300.84","154747.66",,
"2","A2","52","278516.34","154865.89",,
"2","A2","53","279456.2","154900.34",,
"2","A2","54","280434.2","154800.33",,
"2","A2","55","281726.84","154712.47",,
"2","A2","56","282869.03","154592.3",,
"2","A2","57","283978.0","154689.02",,
"2","A2","58","285626.34","154810.75",,
"2","A2","59","287119.25","154687.62",,
"2","A2","60","289354.66","154635.61",,
"2","A2","61","292085.28","154810.05",,
"2","A2","62","295404.25","154863.23",,
"2","A2","63","300594.75","154719.19",,
"2","A2","64","307308.53","154625.39",,
"2","A2","65","316202.72","154584.84",,
"2","A2","66","326703.78","154507.4",,
"2","A2","67","338774.34","154329.31",,
"2","A2","68","351434.56","154187.7",,
"2","A2","69","364280.75","154236.6",,
"2","A2","70","377222.9","154265.86",,
"2","A2","71","389763.06","154213.58",,
"2","A2","72","402036.94","154055.75",,
"2","A2","73","414041.25","153884.28",,
"2","A2","74","426054.62","153708.42",,
"2","A2","75","437246.25","153603.45",,
"2","A2","76","447811.78","153684.9",,
"2","A2","77","458099.84","153593.62",,
"2","A2","78","467953.22","153470.5",,
"2","A2","79","478291.12","153290.73",,
"2","A2","80","488202.84","153135.61",,
"2","A2","81","497183.56","153029.67",,
"2","A2","82","506440.5","153011.56",,
"2","A2","83","515360.47","152898.84",,
"2","A2","84","524651.25","152837.88",,
"2","A2","85","533875.0","152939.17",,
"2","A2","86","541975.06","152753.55",,
"2","A2","87","550046.0","152611.95",,
"2","A2","88","558707.0","152422.53",,
"2","A2","89","566889.8","152006.86",,
"2","A2","90","573650.1","151906.0",,
"3","A3","1","95501.336","172091.98",,
"3","A3","2","95288.99","171202.42",,
"3","A3","3","94517.94","169426.06",,
"3","A3","4","93663.4","167167.75",,
"3","A3","5","92914.01","164843.08",,
"3","A3","6","92819.266","163201.86",,
"3","A3","7","93263.04","162234.28",,
"3","A3","8","94674.52","161732.3",,
"3","A3","9","97617.77","161327.94",,
"3","A3","10","101992.0","160953.16",,
"3","A3","11","108778.234","160713.0",,
"3","A3","12","117444.36","160572.75",,
"3","A3","13","127639.27","160293.17",,
"3","A3","14","139413.64","159978.05",,
"3","A3","15","151566.39","159879.39",,
"3","A3","16","163743.86","159855.31",,
"3","A3","17","176197.81","159759.6",,
"3","A3","18","188051.69","159793.03",,
"3","A3","19","199031.17","159570.06",,
"3","A3","20","209600.97","159458.31",,
"3","A3","21","219145.52","159385.67",,
"3","A3","22","227594.73","159553.89",,
"3","A3","23","235277.31","159641.08",,
"3","A3","24","242308.34","159435.6",,
"3","A3","25","248438.36","159381.3",,
"3","A3","26","253872.48","159408.73",,
"3","A3","27","258348.77","159451.97",,
"3","A3","28","262387.44","159386.2",,
"3","A3","29","266110.5","159534.1",,
"3","A3","30","269356.22","159449.12",,
"3","A3","31","272481.44","159592.47",,
"3","A3","32","274895.66","159579.6",,
"3","A3","33","277006.97","159361.48",,
"3","A3","34","279323.94","159436.88",,
"3","A3","35","281121.88","159600.5",,
"3","A3","36","283372.75","159691.03",,
"3","A3","37","285617.88","159489.17",,
"3","A3","38","286908.34","159373.45",,
"3","A3","39","288703.0","159541.28",,
"3","A3","40","290568.06","159721.88",,
"3","A3","41","292202.3","159677.48",,
"3","A3","42","293669.7","159653.4",,
"3","A3","43","295111.7","159748.9",,
"3","A3","44","296896.8","159631.33",,
"3","A3","45","298560.25","159604.25",,
"3","A3","46","299950.06","159486.06",,
"3","A3","47","301573.25","159584.86",,
"3","A3","48","303186.72","159481.62",,
"3","A3","49","304718.8","159547.03",,
"3","A3","50","306461.53","159594.1",,
"3","A3","51","307876.06","159629.47",,
"3","A3","52","309460.97","159618.5",,
"3","A3","53","311071.06","159611.28",,
"3","A3","54","312785.16","159749.05",,
"3","A3","55","314743.25","159675.52",,
"3","A3","56","316743.38","159812.27",,
"3","A3","57","318603.88","159654.89",,
"3","A3","58","321021.72","159722.98",,
"3","A3","59","323798.22","159770.19",,
"3","A3","60","326784.75","159759.78",,
"3","A3","61","331246.5","159558.6",,
"3","A3","62","336833.66","159648.8",,
"3","A3","63","343862.16","159788.56",,
"3","A3","64","352461.1","159970.17",,
"3","A3","65","361904.62","159732.19",,
"3","A3","66","372393.72","159444.53",,
"3","A3","67","383104.9","159465.81",,
"3","A3","68","393996.5","159516.27",,
"3","A3","69","404319.94","159394.06",,
"3","A3","70","414286.6","159189.36",,
"3","A3","71","424152.72","158962.16",,
"3","A3","72","434632.06","159028.66",,
"3","A3","73","444221.9","159125.08",,
"3","A3","74","453427.7","159222.05",,
"3","A3","75","462356.2","158994.58",,
"3","A3","76","471687.4","158731.28",,
"3","A3","77","479987.5","158769.34",,
"3","A3","78","487991.47","158768.3",,
"3","A3","79","496896.7","158609.47",,
"3","A3","80","506349.28","158534.08",,
"3","A3","81","515257.16","158398.58",,
"3","A3","82","524006.16","157443.7",,
"3","A3","83","535350.6","156035.7",,
"3","A3","84","550431.7","154659.53",,
"3","A3","85","568248.8","153549.45",,
"3","A3","86","585810.94","152628.61",,
"3","A3","87","602330.94","151717.61",,
"3","A3","88","617290.9","151222.75",,
"3","A3","89","629747.3","150932.14",,
"3","A3","90","639266.0","150873.84",,
"4","A4","1","94311.78","169103.3",,
"4","A4","2","93862.3","168368.05",,
"4","A4","3","92999.734","166786.33",,
"4","A4","4","92098.336","164423.8",,
"4","A4","5","91906.195","162177.72",,
"4","A4","6","92095.26","160662.16",,
"4","A4","7","93304.09","159635.22",,
"4","A4","8","96619.11","158884.83",,
"4","A4","9","103421.95","158504.67",,
"4","A4","10","115184.625","158179.56",,
"4","A4","11","132786.14","157753.9",,
"4","A4","12","156008.55","157257.97",,
"4","A4","13","182656.17","156964.97",,
"4","A4","14","208481.22","156753.52",,
"4","A4","15","230134.77","156535.97",,
"4","A4","16","246347.42","156356.77",,
"4","A4","17","257852.73","156348.64",,
"4","A4","18","265692.75","156331.08",,
"4","A4","19","270932.22","156206.45",,
"4","A4","20","274786.5","156148.44",,
"4","A4","21","277366.28","156081.9",,
"4","A4","22","279201.4","156078.28",,
"4","A4","23","281036.66","156212.52",,
"4","A4","24","282590.62","156310.77",,
"4","A4","25","284023.44","156191.03",,
"4","A4","26","285253.94","156118.8",,
"4","A4","27","286846.9","156001.31",,
"4","A4","28","287975.56","156070.45",,
"4","A4","29","289027.53","156098.02",,
"4","A4","30","290442.0","155980.27",,
"4","A4","31","291627.7","156052.53",,
"4","A4","32","292724.03","156284.02",,
"4","A4","33","293846.38","156303.67",,
"4","A4","34","294745.78","156203.25",,
"4","A4","35","295967.16","156045.89",,
"4","A4","36","296922.16","156021.52",,
"4","A4","37","298066.97","156137.19",,
"4","A4","38","299204.16","156081.19",,
"4","A4","39","300368.56","156199.42",,
"4","A4","40","301250.84","156108.0",,
"4","A4","41","302328.12","156129.58",,
"4","A4","42","303595.56","156268.95",,
"4","A4","43","304620.22","156233.92",,
"4","A4","44","305630.06","156078.44",,
"4","A4","45","306855.34","156032.48",,
"4","A4","46","308210.84","156052.72",,
"4","A4","47","309048.22","156040.27",,
"4","A4","48","309707.34","155918.36",,
"4","A4","49","310985.8","155982.25",,
"4","A4","50","312099.6","156190.17",,
"4","A4","51","313407.72","156208.5",,
"4","A4","52","314200.88","156082.69",,
"4","A4","53","315408.47","156110.64",,
"4","A4","54","316335.16","156094.75",,
"4","A4","55","317760.3","155999.17",,
"4","A4","56","319012.12","156167.23",,
"4","A4","57","319993.12","156284.56",,
"4","A4","58","321763.12","156197.11",,
"4","A4","59","323404.72","156271.4",,
"4","A4","60","325046.66","156222.92",,
"4","A4","61","327237.84","156092.95",,
"4","A4","62","329798.78","156013.95",,
