# File Name: \\wsl.localhost\Ubuntu\home\john\projects\CAN_paper\fig_2\data\JG045A TMCC1 Gen3 EvaGreen.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 6 System
# Block Type: 384-Well Block
# Instrument Name: 278860576
# Instrument Serial Number: 278860576
# Heated Cover Serial Number: 278154452
# Block Serial Number: 278033142
# Run Start Date/Time: 2020-11-05 10:11:48 AM EST
# Run End Date/Time: 2020-11-05 12:23:07 PM EST
# Run Duration: 131 minutes 18 seconds
# Sample Volume: 10.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Melt Stage Number: 3
# Quantification Cycle Method: CT
# Analysis Date/Time: 2023-08-07 06:02:02 PM EDT
# Software Name and Version: Design & Analysis Software v2.6.0
# Plugin Name and Version: Primary Analysis v1.7.0, Standard Curve v1.6.0
# Exported On: 2023-08-07 06:05:19 PM EDT
"Well","Well Position","Omit","Sample","Target","Task","Reporter","Quencher","Amp Status","Amp Score","Curve Quality","Result Quality Issues","Cq","Cq Confidence","Cq Mean","Cq SD","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End","Tm1","Tm2","Tm3","Tm4"
"32","B8","false","1.0E7","BP160_GC60","STANDARD","SYBR","None","Inconclusive","1.3821489521489474","","","67.31674353962613","0.3753105338224859","66.4221869505543","1.2650940605748717","true","0.2638810773869539","true","3","55","83.46855163574219","","",""
"34","B10","false","1.0E7","BP160_GC80","STANDARD","SYBR","None","Inconclusive","1.3357102880782377","","","83.05743703015426","0.6743752365501745","83.38148191995413","0.4582686779700503","true","0.10380432188788172","true","3","73","83.86495971679688","","",""
"35","B11","false","1.0E7","BP160_GC80","STANDARD","SYBR","None","Inconclusive","1.3365703859839198","","","83.70552680975398","0.6579586396110663","83.38148191995413","0.4582686779700503","true","0.10380432188788172","true","3","74","83.60069274902344","","",""
"37","B13","false","1.0E7","BP280_GC70","STANDARD","SYBR","None","Amp","1.3653126788799672","","","16.57768327495591","0.34589355006534367","47.63106361067811","43.916111628308336","true","0.1405856919812463","true","3","11","86.90531158447266","","",""
"38","B14","false","1.0E7","BP280_GC70","STANDARD","SYBR","None","Amp","0.0","","","78.68444394640032","0.1377620576548063","47.63106361067811","43.916111628308336","true","0.1405856919812463","true","3","60","86.6409912109375","","",""
"40","B16","false","1.0E7","BP280_GC30","STANDARD","SYBR","None","Amp","1.3975324090207415","","","15.069690621579838","0.6958201483053884","15.069690621579838","","true","0.30112860742619285","true","3","9","75.14323425292969","","",""
"41","B17","false","1.0E7","BP280_GC30","STANDARD","SYBR","None","No Amp","0.0","","","Undetermined","0.0","","","true","0.30112860742619285","true","3","89","69.46043395996094","73.29302215576172","89.41632080078125","84.26214599609375"
"43","B19","false","1.0E7","BP500_GC40","STANDARD","SYBR","None","Amp","1.414136282051295","","","17.031054110196507","0.6789455219585063","35.988562065243855","26.80996485882379","true","0.4036370650066456","true","3","10","78.44718933105469","","",""
"44","B20","false","1.0E7","BP500_GC40","STANDARD","SYBR","None","Amp","0.0","","","54.9460700202912","0.7083011349038855","35.988562065243855","26.80996485882379","true","0.4036370650066456","true","3","47","71.70712280273438","","",""
"49","C1","false","1000000.0","BP160_GC10","STANDARD","SYBR","None","Amp","1.2965913157718623","","","16.715404719100974","0.9124924812055092","16.903357313529128","0.26580510812348035","true","0.17000934761381004","true","3","11","65.89485931396484","71.97297668457031","",""
