Variation,Probe,lg10_Copies,Well,WellName,Sample,MasterMix,Target,PrimerPair,Fluorophore,Quencher,Intermediate
1,SUN_Z_IBFQ,7,41,B17,JG076E_041,TaqMan Fast Advanced,S056.4.1,FP004-RP004x,SUN,IBFQ,Z
2,SUN_Z_IBFQ,7,42,B18,JG076E_042,TaqMan Fast Advanced,S056.4.2,FP004-RP004x,SUN,IBFQ,Z
3,SUN_Z_IBFQ,7,43,B19,JG076E_043,TaqMan Fast Advanced,S056.4.3,FP004-RP004x,SUN,IBFQ,Z
4,SUN_Z_IBFQ,7,44,B20,JG076E_044,TaqMan Fast Advanced,S056.4.4,FP004-RP004x,SUN,IBFQ,Z
5,SUN_Z_IBFQ,7,45,B21,JG076E_045,TaqMan Fast Advanced,S056.4.5,FP004-RP004x,SUN,IBFQ,Z
6,SUN_Z_IBFQ,7,46,B22,JG076E_046,TaqMan Fast Advanced,S056.4.6,FP004-RP004x,SUN,IBFQ,Z
7,SUN_Z_IBFQ,7,47,B23,JG076E_047,TaqMan Fast Advanced,S056.4.7,FP004-RP004x,SUN,IBFQ,Z
9,SUN_Z_IBFQ,7,48,B24,JG076E_048,TaqMan Fast Advanced,S056.4.9,FP004-RP004x,SUN,IBFQ,Z
1,TET_Z_IBFQ,6,49,C1,JG076E_049,TaqMan Fast Advanced,S056.4.1,FP004-RP004x,TET,IBFQ,Z
2,TET_Z_IBFQ,6,50,C2,JG076E_050,TaqMan Fast Advanced,S056.4.2,FP004-RP004x,TET,IBFQ,Z
3,TET_Z_IBFQ,6,51,C3,JG076E_051,TaqMan Fast Advanced,S056.4.3,FP004-RP004x,TET,IBFQ,Z
4,TET_Z_IBFQ,6,52,C4,JG076E_052,TaqMan Fast Advanced,S056.4.4,FP004-RP004x,TET,IBFQ,Z
5,TET_Z_IBFQ,6,53,C5,JG076E_053,TaqMan Fast Advanced,S056.4.5,FP004-RP004x,TET,IBFQ,Z
6,TET_Z_IBFQ,6,54,C6,JG076E_054,TaqMan Fast Advanced,S056.4.6,FP004-RP004x,TET,IBFQ,Z
7,TET_Z_IBFQ,6,55,C7,JG076E_055,TaqMan Fast Advanced,S056.4.7,FP004-RP004x,TET,IBFQ,Z
9,TET_Z_IBFQ,6,56,C8,JG076E_056,TaqMan Fast Advanced,S056.4.9,FP004-RP004x,TET,IBFQ,Z
1,TET_BHQ1,6,57,C9,JG076E_057,TaqMan Fast Advanced,S056.4.1,FP004-RP004x,TET,BHQ1,None
2,TET_BHQ1,6,58,C10,JG076E_058,TaqMan Fast Advanced,S056.4.2,FP004-RP004x,TET,BHQ1,None
3,TET_BHQ1,6,59,C11,JG076E_059,TaqMan Fast Advanced,S056.4.3,FP004-RP004x,TET,BHQ1,None
4,TET_BHQ1,6,60,C12,JG076E_060,TaqMan Fast Advanced,S056.4.4,FP004-RP004x,TET,BHQ1,None
5,TET_BHQ1,6,61,C13,JG076E_061,TaqMan Fast Advanced,S056.4.5,FP004-RP004x,TET,BHQ1,None
6,TET_BHQ1,6,62,C14,JG076E_062,TaqMan Fast Advanced,S056.4.6,FP004-RP004x,TET,BHQ1,None
7,TET_BHQ1,6,63,C15,JG076E_063,TaqMan Fast Advanced,S056.4.7,FP004-RP004x,TET,BHQ1,None
9,TET_BHQ1,6,64,C16,JG076E_064,TaqMan Fast Advanced,S056.4.9,FP004-RP004x,TET,BHQ1,None
1,SUN_Z_IBFQ,6,65,C17,JG076E_065,TaqMan Fast Advanced,S056.4.1,FP004-RP004x,SUN,IBFQ,Z
2,SUN_Z_IBFQ,6,66,C18,JG076E_066,TaqMan Fast Advanced,S056.4.2,FP004-RP004x,SUN,IBFQ,Z
3,SUN_Z_IBFQ,6,67,C19,JG076E_067,TaqMan Fast Advanced,S056.4.3,FP004-RP004x,SUN,IBFQ,Z
4,SUN_Z_IBFQ,6,68,C20,JG076E_068,TaqMan Fast Advanced,S056.4.4,FP004-RP004x,SUN,IBFQ,Z
5,SUN_Z_IBFQ,6,69,C21,JG076E_069,TaqMan Fast Advanced,S056.4.5,FP004-RP004x,SUN,IBFQ,Z
6,SUN_Z_IBFQ,6,70,C22,JG076E_070,TaqMan Fast Advanced,S056.4.6,FP004-RP004x,SUN,IBFQ,Z
7,SUN_Z_IBFQ,6,71,C23,JG076E_071,TaqMan Fast Advanced,S056.4.7,FP004-RP004x,SUN,IBFQ,Z
9,SUN_Z_IBFQ,6,72,C24,JG076E_072,TaqMan Fast Advanced,S056.4.9,FP004-RP004x,SUN,IBFQ,Z
1,TET_Z_IBFQ,5,73,D1,JG076E_073,TaqMan Fast Advanced,S056.4.1,FP004-RP004x,TET,IBFQ,Z
2,TET_Z_IBFQ,5,74,D2,JG076E_074,TaqMan Fast Advanced,S056.4.2,FP004-RP004x,TET,IBFQ,Z
3,TET_Z_IBFQ,5,75,D3,JG076E_075,TaqMan Fast Advanced,S056.4.3,FP004-RP004x,TET,IBFQ,Z
4,TET_Z_IBFQ,5,76,D4,JG076E_076,TaqMan Fast Advanced,S056.4.4,FP004-RP004x,TET,IBFQ,Z
5,TET_Z_IBFQ,5,77,D5,JG076E_077,TaqMan Fast Advanced,S056.4.5,FP004-RP004x,TET,IBFQ,Z
6,TET_Z_IBFQ,5,78,D6,JG076E_078,TaqMan Fast Advanced,S056.4.6,FP004-RP004x,TET,IBFQ,Z
7,TET_Z_IBFQ,5,79,D7,JG076E_079,TaqMan Fast Advanced,S056.4.7,FP004-RP004x,TET,IBFQ,Z
9,TET_Z_IBFQ,5,80,D8,JG076E_080,TaqMan Fast Advanced,S056.4.9,FP004-RP004x,TET,IBFQ,Z
1,TET_BHQ1,5,81,D9,JG076E_081,TaqMan Fast Advanced,S056.4.1,FP004-RP004x,TET,BHQ1,None
2,TET_BHQ1,5,82,D10,JG076E_082,TaqMan Fast Advanced,S056.4.2,FP004-RP004x,TET,BHQ1,None
3,TET_BHQ1,5,83,D11,JG076E_083,TaqMan Fast Advanced,S056.4.3,FP004-RP004x,TET,BHQ1,None
4,TET_BHQ1,5,84,D12,JG076E_084,TaqMan Fast Advanced,S056.4.4,FP004-RP004x,TET,BHQ1,None
