# File Name: \\wsl.localhost\Ubuntu\home\john\projects\CAN_paper\fig_2\data\JG045A TMCC1 Gen3 EvaGreen.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 6 System
# Block Type: 384-Well Block
# Instrument Name: 278860576
# Instrument Serial Number: 278860576
# Heated Cover Serial Number: 278154452
# Block Serial Number: 278033142
# Run Start Date/Time: 2020-11-05 10:11:48 AM EST
# Run End Date/Time: 2020-11-05 12:23:07 PM EST
# Run Duration: 131 minutes 18 seconds
# Sample Volume: 10.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Melt Stage Number: 3
# Quantification Cycle Method: CT
# Analysis Date/Time: 2023-08-07 06:02:02 PM EDT
# Software Name and Version: Design & Analysis Software v2.6.0
# Plugin Name and Version: Primary Analysis v1.7.0, Standard Curve v1.6.0
# Exported On: 2023-08-07 06:05:19 PM EDT
"Well","Well Position","Cycle Number","SYBR","ROX"
"1","A1","142","156913.94","190858.83"
"1","A1","143","143447.5","190566.72"
"1","A1","144","130696.97","190498.92"
"1","A1","145","117210.5","190646.47"
"1","A1","146","104873.6","190772.78"
"1","A1","147","93314.73","190461.4"
"1","A1","148","82821.7","190515.72"
"1","A1","149","74478.54","190907.02"
"1","A1","150","67186.59","190533.34"
"1","A1","151","61426.492","190132.84"
"1","A1","152","56593.473","190518.78"
"1","A1","153","53114.703","189967.95"
"1","A1","154","49379.855","190235.5"
"1","A1","155","46598.055","190123.8"
"1","A1","156","44748.95","190082.4"
"1","A1","157","42670.68","189804.52"
"1","A1","158","40975.234","190073.52"
"1","A1","159","39622.25","190233.17"
"1","A1","160","38686.69","189666.6"
"1","A1","161","37972.42","189863.27"
"1","A1","162","36484.1","189780.89"
"1","A1","163","35971.504","189522.42"
"1","A1","164","34945.742","189412.39"
"1","A1","165","34482.953","189636.48"
"1","A1","166","33907.688","189097.58"
"1","A1","167","33590.25","189168.72"
"1","A1","168","33217.34","189169.7"
"1","A1","169","32758.738","189435.47"
"1","A1","170","32219.12","189028.17"
"1","A1","171","32145.797","188975.17"
"1","A1","172","31228.797","188894.1"
"1","A1","173","30759.408","188647.7"
"1","A1","174","30533.783","188489.03"
"1","A1","175","30046.973","188713.44"
"1","A1","176","29933.555","188616.4"
"1","A1","177","29817.967","188249.44"
"1","A1","178","29192.336","188356.5"
"1","A1","179","28692.236","188422.52"
"1","A1","180","28671.797","188024.22"
"1","A1","181","27920.889","188023.66"
"1","A1","182","27716.932","187469.58"
"1","A1","183","27438.04","187900.53"
"1","A1","184","27113.342","187837.33"
"1","A1","185","26628.94","187651.11"
"1","A1","186","26500.383","187685.1"
"1","A1","187","25810.656","187704.11"
"1","A1","188","25666.172","187211.48"
"1","A1","189","25187.242","187203.47"
"1","A1","190","25155.924","186728.36"
"1","A1","191","24364.918","187016.97"
"1","A1","192","24008.64","187239.48"
"1","A1","193","24435.182","186990.33"
"1","A1","194","24179.68","186511.23"
"1","A1","195","23680.576","186568.33"
"1","A1","196","23437.084","186074.94"
"1","A1","197","22861.389","186445.89"
"1","A1","198","22474.533","185977.38"
"1","A1","199","22400.266","186084.14"
"1","A1","200","21980.318","185813.27"
"1","A1","201","21297.68","185484.28"
"1","A1","202","21868.215","185397.47"
"1","A1","203","21531.104","185651.9"
"1","A1","204","20884.227","184984.38"
"1","A1","205","20780.305","185105.34"
"1","A1","206","20452.477","185091.39"
"1","A1","207","20076.096","184689.5"
"1","A1","208","19649.938","184921.3"
"1","A1","209","19985.012","184582.62"
"1","A1","210","19832.516","184481.28"
"1","A1","211","19632.252","184912.7"
"1","A1","212","18834.13","184316.75"
"1","A1","213","18858.049","184254.67"
"1","A1","214","18680.926","183872.39"
"1","A1","215","18247.428","183480.77"
"1","A1","216","18092.672","183952.48"
"1","A1","217","17949.596","183738.9"
"1","A1","218","17477.49","183265.8"
"1","A1","219","17856.676","183202.16"
"1","A1","220","17587.2","182978.0"
"1","A1","221","16736.21","182923.8"
"1","A1","222","16436.074","182975.48"
"2","A2","1","36850.51","163657.25"
"2","A2","2","37150.656","163141.23"
"2","A2","3","37848.42","161969.28"
"2","A2","4","38804.5","161254.44"
"2","A2","5","39795.96","160701.48"
"2","A2","6","41527.832","160361.72"
"2","A2","7","44446.0","159950.34"
"2","A2","8","49255.59","159712.44"
"2","A2","9","58140.61","159506.61"
"2","A2","10","72795.12","159277.19"
"2","A2","11","95028.45","159103.08"
"2","A2","12","124932.89","159055.36"
"2","A2","13","158577.94","159055.83"
"2","A2","14","191165.42","159003.36"
"2","A2","15","217892.27","159025.98"
"2","A2","16","237049.05","159230.3"
"2","A2","17","249658.14","159441.83"
"2","A2","18","258272.73","159382.42"
"2","A2","19","263798.78","159161.23"
"2","A2","20","267341.12","159091.6"
"2","A2","21","269901.38","159104.83"
"2","A2","22","271483.72","159134.66"
"2","A2","23","272792.28","159298.05"
"2","A2","24","273791.66","159332.9"
"2","A2","25","274836.34","159365.42"
"2","A2","26","276065.34","159465.11"
"2","A2","27","276903.66","159478.98"
"2","A2","28","277343.28","159507.94"
"2","A2","29","278098.56","159534.84"
"2","A2","30","278847.03","159542.78"
"2","A2","31","279680.12","159527.25"
"2","A2","32","279815.16","159675.81"
"2","A2","33","280839.53","159748.34"
"2","A2","34","281459.5","159780.17"
"2","A2","35","281951.28","159771.1"
"2","A2","36","282379.4","159904.69"
"2","A2","37","282470.97","159852.33"
"2","A2","38","282923.1","159809.39"
"2","A2","39","283384.78","159995.8"
"2","A2","40","283644.5","160045.02"
"2","A2","41","283802.03","160007.48"
"2","A2","42","284074.5","160129.16"
"2","A2","43","284597.5","160109.77"
"2","A2","44","285117.0","160172.19"
"2","A2","45","285324.16","160170.02"
"2","A2","46","285606.44","160368.92"
"2","A2","47","285713.2","160318.36"
"2","A2","48","286247.62","160291.25"
"2","A2","49","286180.2","160532.0"
"2","A2","50","286506.56","160731.95"
"2","A2","51","286988.62","160694.8"
"2","A2","52","287223.22","160688.92"
"2","A2","53","287477.44","160691.72"
"2","A2","54","287401.56","160661.12"
"2","A2","55","287820.44","160573.05"
"2","A2","56","288251.25","160642.44"
"2","A2","57","288485.9","160768.66"
"2","A2","58","288839.94","160885.27"
"2","A2","59","289022.12","160923.47"
"2","A2","60","289620.34","160811.92"
"2","A2","61","290227.75","160730.28"
"2","A2","62","291421.12","160626.75"
"2","A2","63","293132.78","160543.7"
"2","A2","64","295074.34","160689.83"
"2","A2","65","297746.88","160829.62"
"2","A2","66","301673.7","160942.27"
"2","A2","67","307603.94","161005.1"
