,Experiment,Well,Target,lg10_Copies,Outlier,WellPosition,Copies,Reporter,Sample,Task,Comments,CT,Reaction,Cycle,Fluorescence,Corr_Fluorescence,S036.0,S057.0.1,S057.1.2,log$_{1}$$_{0}$ S036.0,log$_{1}$$_{0}$ S057.0.1,log$_{1}$$_{0}$ S057.1.2
31,JG071A,1,HEX,#NAME?,FALSE,A1,0,HEX,JG071A.000,UNKNOWN,,18.162268,1,16,-0.017291549,0.008776374,100000000,100,100,8,2,2
32,JG071A,1,FAM,#NAME?,FALSE,A1,0,FAM,JG071A.000,UNKNOWN,,inf,0,17,0.005593266,0.015912252,100000000,100,100,8,2,2
33,JG071A,1,HEX,#NAME?,FALSE,A1,0,HEX,JG071A.000,UNKNOWN,,18.162268,1,17,-0.030089895,0.018463775515556335,100000000,100,100,8,2,2
34,JG071A,1,FAM,#NAME?,FALSE,A1,0,FAM,JG071A.000,UNKNOWN,,inf,0,18,0.005360224,0.016178779304027557,100000000,100,100,8,2,2
35,JG071A,1,HEX,#NAME?,FALSE,A1,0,HEX,JG071A.000,UNKNOWN,,18.162268,1,18,-0.052715364,0.035996445,100000000,100,100,8,2,2
36,JG071A,1,FAM,#NAME?,FALSE,A1,0,FAM,JG071A.000,UNKNOWN,,inf,0,19,0.002910027,0.014546453021466732,100000000,100,100,8,2,2
37,JG071A,1,HEX,#NAME?,FALSE,A1,0,HEX,JG071A.000,UNKNOWN,,18.162268,1,19,-0.087621921,0.063333452,100000000,100,100,8,2,2
38,JG071A,1,FAM,#NAME?,FALSE,A1,0,FAM,JG071A.000,UNKNOWN,,inf,0,20,-0.000764469,0.011865590699017048,100000000,100,100,8,2,2
39,JG071A,1,HEX,#NAME?,FALSE,A1,0,HEX,JG071A.000,UNKNOWN,,18.162268,1,20,-0.137469246,0.10259809345006943,100000000,100,100,8,2,2
40,JG071A,1,FAM,#NAME?,FALSE,A1,0,FAM,JG071A.000,UNKNOWN,,inf,0,21,-0.006429758,0.007479738,100000000,100,100,8,2,2
41,JG071A,1,HEX,#NAME?,FALSE,A1,0,HEX,JG071A.000,UNKNOWN,,18.162268,1,21,-0.202968922,0.15435844659805298,100000000,100,100,8,2,2
42,JG071A,1,FAM,#NAME?,FALSE,A1,0,FAM,JG071A.000,UNKNOWN,,inf,0,22,-0.009396706,0.005404846,100000000,100,100,8,2,2
43,JG071A,1,HEX,#NAME?,FALSE,A1,0,HEX,JG071A.000,UNKNOWN,,18.162268,1,22,-0.276201772,0.21229241788387299,100000000,100,100,8,2,2
44,JG071A,1,FAM,#NAME?,FALSE,A1,0,FAM,JG071A.000,UNKNOWN,,inf,0,23,-0.012616809,0.003113142,100000000,100,100,8,2,2
45,JG071A,1,HEX,#NAME?,FALSE,A1,0,HEX,JG071A.000,UNKNOWN,,18.162268,1,23,-0.351702588,0.27203696966171265,100000000,100,100,8,2,2
46,JG071A,1,FAM,#NAME?,FALSE,A1,0,FAM,JG071A.000,UNKNOWN,,inf,0,24,-0.017986734,-0.001019749,100000000,100,100,8,2,2
47,JG071A,1,HEX,#NAME?,FALSE,A1,0,HEX,JG071A.000,UNKNOWN,,18.162268,1,24,-0.425265818,0.33023467659950256,100000000,100,100,8,2,2
48,JG071A,1,FAM,#NAME?,FALSE,A1,0,FAM,JG071A.000,UNKNOWN,,inf,0,25,-0.02099697,-0.003131715,100000000,100,100,8,2,2
49,JG071A,1,HEX,#NAME?,FALSE,A1,0,HEX,JG071A.000,UNKNOWN,,18.162268,1,25,-0.496419523,0.3865087926387787,100000000,100,100,8,2,2
50,JG071A,1,FAM,#NAME?,FALSE,A1,0,FAM,JG071A.000,UNKNOWN,,inf,0,26,-0.023785856,-0.005054108,100000000,100,100,8,2,2
51,JG071A,1,HEX,#NAME?,FALSE,A1,0,HEX,JG071A.000,UNKNOWN,,18.162268,1,26,-0.556717545,0.43411654233932495,100000000,100,100,8,2,2
52,JG071A,1,FAM,#NAME?,FALSE,A1,0,FAM,JG071A.000,UNKNOWN,,inf,0,27,-0.027007612,-0.007347227,100000000,100,100,8,2,2
53,JG071A,1,HEX,#NAME?,FALSE,A1,0,HEX,JG071A.000,UNKNOWN,,18.162268,1,27,-0.608657026,0.4750514030456543,100000000,100,100,8,2,2
54,JG071A,1,FAM,#NAME?,FALSE,A1,0,FAM,JG071A.000,UNKNOWN,,inf,0,28,-0.03041526,-0.00979955,100000000,100,100,8,2,2
55,JG071A,1,HEX,#NAME?,FALSE,A1,0,HEX,JG071A.000,UNKNOWN,,18.162268,1,28,-0.65283145,0.5097872018814087,100000000,100,100,8,2,2
56,JG071A,1,FAM,#NAME?,FALSE,A1,0,FAM,JG071A.000,UNKNOWN,,inf,0,29,-0.032387384,-0.011022438,100000000,100,100,8,2,2
57,JG071A,1,HEX,#NAME?,FALSE,A1,0,HEX,JG071A.000,UNKNOWN,,18.162268,1,29,-0.688191672,0.5374863743782043,100000000,100,100,8,2,2
58,JG071A,1,FAM,#NAME?,FALSE,A1,0,FAM,JG071A.000,UNKNOWN,,inf,0,30,-0.033904108,-0.011855303,100000000,100,100,8,2,2
59,JG071A,1,HEX,#NAME?,FALSE,A1,0,HEX,JG071A.000,UNKNOWN,,18.162268,1,30,-0.71837611,0.5610535740852356,100000000,100,100,8,2,2
60,JG071A,1,FAM,#NAME?,FALSE,A1,0,FAM,JG071A.000,UNKNOWN,,inf,0,31,-0.035295158,-0.012580537,100000000,100,100,8,2,2
61,JG071A,1,HEX,#NAME?,FALSE,A1,0,HEX,JG071A.000,UNKNOWN,,18.162268,1,31,-0.744149751,0.5810995101928711,100000000,100,100,8,2,2
62,JG071A,1,FAM,#NAME?,FALSE,A1,0,FAM,JG071A.000,UNKNOWN,,inf,0,32,-0.037277392,-0.013812083,100000000,100,100,8,2,2
