,Experiment,Well,Target,lg10_Copies,Outlier,WellPosition,Copies,Reporter,Task,Comments,CT,Reaction,WT_lg10_Copies,SNV_lg10_Copies,Blocker μM,WellName,Sample,Blocker,Cycle,Fluorescence,Corr_Fluorescence,SignalDifference
94,JG075F,48,FAM,#NAME?,FALSE,B24,0,FAM,UNKNOWN,,inf,94,2,7,0.3162277660168379,B24,JG075F_048,L-MMMMx,50,0.005445878,-0.0022051,0.8707165152329213
96,JG075F,49,FAM,#NAME?,FALSE,C1,0,FAM,UNKNOWN,,28.83817,96,3,-2,0,C1,JG075F_049,L-MMMMx,50,-0.604387075,0.4016704857349396,0.021397939
98,JG075F,50,FAM,#NAME?,FALSE,C2,0,FAM,UNKNOWN,,28.97338,98,3,1,0,C2,JG075F_050,L-MMMMx,50,-0.602691974,0.3952983617782593,0.008805692
100,JG075F,51,FAM,#NAME?,FALSE,C3,0,FAM,UNKNOWN,,29.11783,100,3,2,0,C3,JG075F_051,L-MMMMx,50,-0.558650759,0.37195900082588196,0.094369248
102,JG075F,52,FAM,#NAME?,FALSE,C4,0,FAM,UNKNOWN,,29.079823,102,3,3,0,C4,JG075F_052,L-MMMMx,50,-0.559672741,0.3481135070323944,0.10563183575322699
104,JG075F,53,FAM,#NAME?,FALSE,C5,0,FAM,UNKNOWN,,28.84229,104,3,4,0,C5,JG075F_053,L-MMMMx,50,-0.456282062,0.29552945494651794,0.2563537861241945
106,JG075F,54,FAM,#NAME?,FALSE,C6,0,FAM,UNKNOWN,,29.707119,106,3,5,0,C6,JG075F_054,L-MMMMx,50,-0.298687988,0.17267103493213654,0.5232817923052223
108,JG075F,55,FAM,#NAME?,FALSE,C7,0,FAM,UNKNOWN,,inf,108,3,6,0,C7,JG075F_055,L-MMMMx,50,-0.120279683,0.002953894,0.7744680165777087
110,JG075F,56,FAM,#NAME?,FALSE,C8,0,FAM,UNKNOWN,,inf,110,3,7,0,C8,JG075F_056,L-MMMMx,50,-0.012795145,-0.002912291,0.9040088069029671
112,JG075F,57,FAM,#NAME?,FALSE,C9,0,FAM,UNKNOWN,,28.894426,112,3,-2,0.1,C9,JG075F_057,L-MMMMx,50,-0.667342738,0.43620413541793823,0.003290415
114,JG075F,58,FAM,#NAME?,FALSE,C10,0,FAM,UNKNOWN,,28.876614,114,3,1,0.1,C10,JG075F_058,L-MMMMx,50,-0.654417153,0.42341136932373047,-0.016091067
116,JG075F,59,FAM,#NAME?,FALSE,C11,0,FAM,UNKNOWN,,29.004,116,3,2,0.1,C11,JG075F_059,L-MMMMx,50,-0.642964998,0.41589099168777466,0.006053263
118,JG075F,60,FAM,#NAME?,FALSE,C12,0,FAM,UNKNOWN,,29.17295,118,3,3,0.1,C12,JG075F_060,L-MMMMx,50,-0.567428409,0.3549628257751465,0.11908716417607512
120,JG075F,61,FAM,#NAME?,FALSE,C13,0,FAM,UNKNOWN,,28.914425,120,3,4,0.1,C13,JG075F_061,L-MMMMx,50,-0.467975994,0.2905091941356659,0.24993373285543724
122,JG075F,62,FAM,#NAME?,FALSE,C14,0,FAM,UNKNOWN,,30.241148,122,3,5,0.1,C14,JG075F_062,L-MMMMx,50,-0.27581351,0.1644689440727234,0.5355384279954426
124,JG075F,63,FAM,#NAME?,FALSE,C15,0,FAM,UNKNOWN,,inf,124,3,6,0.1,C15,JG075F_063,L-MMMMx,50,-0.128806971,0.00372277,0.749775069
126,JG075F,64,FAM,#NAME?,FALSE,C16,0,FAM,UNKNOWN,,inf,126,3,7,0.1,C16,JG075F_064,L-MMMMx,50,-0.036783857,-0.002623935,0.879491783
128,JG075F,65,FAM,#NAME?,FALSE,C17,0,FAM,UNKNOWN,,28.902046,128,3,-2,0.3162277660168379,C17,JG075F_065,L-MMMMx,50,-0.768574804,0.4898345470428467,-0.156645065
130,JG075F,66,FAM,#NAME?,FALSE,C18,0,FAM,UNKNOWN,,28.88355,130,3,1,0.3162277660168379,C18,JG075F_066,L-MMMMx,50,-0.774675278,0.49502813816070557,-0.162268772
132,JG075F,67,FAM,#NAME?,FALSE,C19,0,FAM,UNKNOWN,,29.036505,132,3,2,0.3162277660168379,C19,JG075F_067,L-MMMMx,50,-0.699585748,0.44409462809562683,-0.085300554
134,JG075F,68,FAM,#NAME?,FALSE,C20,0,FAM,UNKNOWN,,29.115742,134,3,3,0.3162277660168379,C20,JG075F_068,L-MMMMx,50,-0.599143382,0.38091763854026794,0.049104787086741375
136,JG075F,69,FAM,#NAME?,FALSE,C21,0,FAM,UNKNOWN,,29.428095,136,3,4,0.3162277660168379,C21,JG075F_069,L-MMMMx,50,-0.427163566,0.2632898986339569,0.24891398104538343
138,JG075F,70,FAM,#NAME?,FALSE,C22,0,FAM,UNKNOWN,,29.857986,138,3,5,0.3162277660168379,C22,JG075F_070,L-MMMMx,50,-0.279637582,0.1765718162059784,0.49736158548320686
140,JG075F,71,FAM,#NAME?,FALSE,C23,0,FAM,UNKNOWN,,inf,140,3,6,0.3162277660168379,C23,JG075F_071,L-MMMMx,50,-0.115618155,0.005435098,0.7246026615788106
142,JG075F,72,FAM,#NAME?,FALSE,C24,0,FAM,UNKNOWN,,inf,142,3,7,0.3162277660168379,C24,JG075F_072,L-MMMMx,50,-0.009945702,-0.000765342,0.8679013245482152
144,JG075F,73,FAM,#NAME?,FALSE,D1,0,FAM,UNKNOWN,,28.98435,144,4,-2,0,D1,JG075F_073,L-MMMMx,50,-0.399964921,0.2526389956474304,0.2988073774860674
146,JG075F,74,FAM,#NAME?,FALSE,D2,0,FAM,UNKNOWN,,29.167665,146,4,1,0,D2,JG075F_074,L-MMMMx,50,-0.411280689,0.26520177721977234,0.27586014491012384
148,JG075F,75,FAM,#NAME?,FALSE,D3,0,FAM,UNKNOWN,,29.209345,148,4,2,0,D3,JG075F_075,L-MMMMx,50,-0.336863463,0.22074377536773682,0.4222207973787296
150,JG075F,76,FAM,#NAME?,FALSE,D4,0,FAM,UNKNOWN,,29.14565,150,4,3,0,D4,JG075F_076,L-MMMMx,50,-0.410992044,0.25725606083869934,0.3338326323490667
152,JG075F,77,FAM,#NAME?,FALSE,D5,0,FAM,UNKNOWN,,29.44077,152,4,4,0,D5,JG075F_077,L-MMMMx,50,-0.367306035,0.22613511979579926,0.3766695688267725
154,JG075F,78,FAM,#NAME?,FALSE,D6,0,FAM,UNKNOWN,,29.934456,154,4,5,0,D6,JG075F_078,L-MMMMx,50,-0.269025162,0.16131702065467834,0.5256275833187777
156,JG075F,79,FAM,#NAME?,FALSE,D7,0,FAM,UNKNOWN,,inf,156,4,6,0,D7,JG075F_079,L-MMMMx,50,-0.117650906,0.003798256,0.7184022325814632
158,JG075F,80,FAM,#NAME?,FALSE,D8,0,FAM,UNKNOWN,,inf,158,4,7,0,D8,JG075F_080,L-MMMMx,50,-0.022058047,-0.003136889,0.702032756
160,JG075F,81,FAM,#NAME?,FALSE,D9,0,FAM,UNKNOWN,,29.154995,160,4,-2,0.1,D9,JG075F_081,L-MMMMx,50,-0.455829455,0.289844811,0.28594777549979966
162,JG075F,82,FAM,#NAME?,FALSE,D10,0,FAM,UNKNOWN,,28.88681,162,4,1,0.1,D10,JG075F_082,L-MMMMx,50,-0.493745849,0.3051392138004303,0.25190879557592316
