col,row,Material,ng RNA,IFI44L Copies,EMRI Copies,Well,WellName,Sample,MasterMix
5,12,DNA,100,4.333333333333334,4.226666666666667,294,M6,JG073N_294,TaqMan Fast Virus
6,12,DNA,100,4.333333333333334,3.8900000000000006,295,M7,JG073N_295,TaqMan Fast Virus
7,12,DNA,100,4.333333333333334,,296,M8,JG073N_296,TaqMan Fast Virus
8,12,DNA,10,3.333333333333334,4.91,297,M9,JG073N_297,TaqMan Fast Virus
9,12,DNA,10,3.333333333333334,4.573333333333333,298,M10,JG073N_298,TaqMan Fast Virus
10,12,DNA,10,3.333333333333334,4.236666666666666,299,M11,JG073N_299,TaqMan Fast Virus
11,12,DNA,10,3.333333333333334,3.9000000000000004,300,M12,JG073N_300,TaqMan Fast Virus
12,12,DNA,10,3.333333333333334,3.5633333333333335,301,M13,JG073N_301,TaqMan Fast Virus
13,12,DNA,10,3.333333333333334,3.2266666666666666,302,M14,JG073N_302,TaqMan Fast Virus
14,12,DNA,10,3.333333333333334,2.8900000000000006,303,M15,JG073N_303,TaqMan Fast Virus
15,12,DNA,10,3.333333333333334,,304,M16,JG073N_304,TaqMan Fast Virus
16,12,DNA,1,2.333333333333334,3.91,305,M17,JG073N_305,TaqMan Fast Virus
17,12,DNA,1,2.333333333333334,3.5733333333333333,306,M18,JG073N_306,TaqMan Fast Virus
18,12,DNA,1,2.333333333333334,3.2366666666666664,307,M19,JG073N_307,TaqMan Fast Virus
19,12,DNA,1,2.333333333333334,2.9000000000000004,308,M20,JG073N_308,TaqMan Fast Virus
20,12,DNA,1,2.333333333333334,2.5633333333333335,309,M21,JG073N_309,TaqMan Fast Virus
21,12,DNA,1,2.333333333333334,2.2266666666666666,310,M22,JG073N_310,TaqMan Fast Virus
22,12,DNA,1,2.333333333333334,1.8900000000000001,311,M23,JG073N_311,TaqMan Fast Virus
23,12,DNA,1,2.333333333333334,,312,M24,JG073N_312,TaqMan Fast Virus
0,13,DNA,100,3.666666666666667,5.91,313,N1,JG073N_313,TaqMan Fast Virus
1,13,DNA,100,3.666666666666667,5.573333333333333,314,N2,JG073N_314,TaqMan Fast Virus
2,13,DNA,100,3.666666666666667,5.236666666666666,315,N3,JG073N_315,TaqMan Fast Virus
3,13,DNA,100,3.666666666666667,4.9,316,N4,JG073N_316,TaqMan Fast Virus
4,13,DNA,100,3.666666666666667,4.5633333333333335,317,N5,JG073N_317,TaqMan Fast Virus
5,13,DNA,100,3.666666666666667,4.226666666666667,318,N6,JG073N_318,TaqMan Fast Virus
6,13,DNA,100,3.666666666666667,3.8900000000000006,319,N7,JG073N_319,TaqMan Fast Virus
7,13,DNA,100,3.666666666666667,,320,N8,JG073N_320,TaqMan Fast Virus
8,13,DNA,10,2.666666666666667,4.91,321,N9,JG073N_321,TaqMan Fast Virus
9,13,DNA,10,2.666666666666667,4.573333333333333,322,N10,JG073N_322,TaqMan Fast Virus
10,13,DNA,10,2.666666666666667,4.236666666666666,323,N11,JG073N_323,TaqMan Fast Virus
11,13,DNA,10,2.666666666666667,3.9000000000000004,324,N12,JG073N_324,TaqMan Fast Virus
12,13,DNA,10,2.666666666666667,3.5633333333333335,325,N13,JG073N_325,TaqMan Fast Virus
13,13,DNA,10,2.666666666666667,3.2266666666666666,326,N14,JG073N_326,TaqMan Fast Virus
14,13,DNA,10,2.666666666666667,2.8900000000000006,327,N15,JG073N_327,TaqMan Fast Virus
15,13,DNA,10,2.666666666666667,,328,N16,JG073N_328,TaqMan Fast Virus
16,13,DNA,1,1.666666666666667,3.91,329,N17,JG073N_329,TaqMan Fast Virus
17,13,DNA,1,1.666666666666667,3.5733333333333333,330,N18,JG073N_330,TaqMan Fast Virus
18,13,DNA,1,1.666666666666667,3.2366666666666664,331,N19,JG073N_331,TaqMan Fast Virus
19,13,DNA,1,1.666666666666667,2.9000000000000004,332,N20,JG073N_332,TaqMan Fast Virus
20,13,DNA,1,1.666666666666667,2.5633333333333335,333,N21,JG073N_333,TaqMan Fast Virus
21,13,DNA,1,1.666666666666667,2.2266666666666666,334,N22,JG073N_334,TaqMan Fast Virus
22,13,DNA,1,1.666666666666667,1.8900000000000001,335,N23,JG073N_335,TaqMan Fast Virus
23,13,DNA,1,1.666666666666667,,336,N24,JG073N_336,TaqMan Fast Virus
0,14,DNA,100,3.0,5.91,337,O1,JG073N_337,TaqMan Fast Virus
1,14,DNA,100,3.0,5.573333333333333,338,O2,JG073N_338,TaqMan Fast Virus
2,14,DNA,100,3.0,5.236666666666666,339,O3,JG073N_339,TaqMan Fast Virus
3,14,DNA,100,3.0,4.9,340,O4,JG073N_340,TaqMan Fast Virus
4,14,DNA,100,3.0,4.5633333333333335,341,O5,JG073N_341,TaqMan Fast Virus
5,14,DNA,100,3.0,4.226666666666667,342,O6,JG073N_342,TaqMan Fast Virus
6,14,DNA,100,3.0,3.8900000000000006,343,O7,JG073N_343,TaqMan Fast Virus
7,14,DNA,100,3.0,,344,O8,JG073N_344,TaqMan Fast Virus
8,14,DNA,10,2.0,4.91,345,O9,JG073N_345,TaqMan Fast Virus
9,14,DNA,10,2.0,4.573333333333333,346,O10,JG073N_346,TaqMan Fast Virus
10,14,DNA,10,2.0,4.236666666666666,347,O11,JG073N_347,TaqMan Fast Virus
11,14,DNA,10,2.0,3.9000000000000004,348,O12,JG073N_348,TaqMan Fast Virus
12,14,DNA,10,2.0,3.5633333333333335,349,O13,JG073N_349,TaqMan Fast Virus
13,14,DNA,10,2.0,3.2266666666666666,350,O14,JG073N_350,TaqMan Fast Virus
14,14,DNA,10,2.0,2.8900000000000006,351,O15,JG073N_351,TaqMan Fast Virus
15,14,DNA,10,2.0,,352,O16,JG073N_352,TaqMan Fast Virus
16,14,DNA,1,1.0,3.91,353,O17,JG073N_353,TaqMan Fast Virus
17,14,DNA,1,1.0,3.5733333333333333,354,O18,JG073N_354,TaqMan Fast Virus
18,14,DNA,1,1.0,3.2366666666666664,355,O19,JG073N_355,TaqMan Fast Virus
19,14,DNA,1,1.0,2.9000000000000004,356,O20,JG073N_356,TaqMan Fast Virus
20,14,DNA,1,1.0,2.5633333333333335,357,O21,JG073N_357,TaqMan Fast Virus
21,14,DNA,1,1.0,2.2266666666666666,358,O22,JG073N_358,TaqMan Fast Virus
22,14,DNA,1,1.0,1.8900000000000001,359,O23,JG073N_359,TaqMan Fast Virus
23,14,DNA,1,1.0,,360,O24,JG073N_360,TaqMan Fast Virus
0,15,DNA,100,,5.91,361,P1,JG073N_361,TaqMan Fast Virus
1,15,DNA,100,,5.573333333333333,362,P2,JG073N_362,TaqMan Fast Virus
2,15,DNA,100,,5.236666666666666,363,P3,JG073N_363,TaqMan Fast Virus
3,15,DNA,100,,4.9,364,P4,JG073N_364,TaqMan Fast Virus
4,15,DNA,100,,4.5633333333333335,365,P5,JG073N_365,TaqMan Fast Virus
5,15,DNA,100,,4.226666666666667,366,P6,JG073N_366,TaqMan Fast Virus
6,15,DNA,100,,3.8900000000000006,367,P7,JG073N_367,TaqMan Fast Virus
7,15,DNA,100,,,368,P8,JG073N_368,TaqMan Fast Virus
8,15,DNA,10,,4.91,369,P9,JG073N_369,TaqMan Fast Virus
9,15,DNA,10,,4.573333333333333,370,P10,JG073N_370,TaqMan Fast Virus
10,15,DNA,10,,4.236666666666666,371,P11,JG073N_371,TaqMan Fast Virus
11,15,DNA,10,,3.9000000000000004,372,P12,JG073N_372,TaqMan Fast Virus
12,15,DNA,10,,3.5633333333333335,373,P13,JG073N_373,TaqMan Fast Virus
13,15,DNA,10,,3.2266666666666666,374,P14,JG073N_374,TaqMan Fast Virus
14,15,DNA,10,,2.8900000000000006,375,P15,JG073N_375,TaqMan Fast Virus
15,15,DNA,10,,,376,P16,JG073N_376,TaqMan Fast Virus
16,15,DNA,1,,3.91,377,P17,JG073N_377,TaqMan Fast Virus
17,15,DNA,1,,3.5733333333333333,378,P18,JG073N_378,TaqMan Fast Virus
18,15,DNA,1,,3.2366666666666664,379,P19,JG073N_379,TaqMan Fast Virus
19,15,DNA,1,,2.9000000000000004,380,P20,JG073N_380,TaqMan Fast Virus
20,15,DNA,1,,2.5633333333333335,381,P21,JG073N_381,TaqMan Fast Virus
21,15,DNA,1,,2.2266666666666666,382,P22,JG073N_382,TaqMan Fast Virus
22,15,DNA,1,,1.8900000000000001,383,P23,JG073N_383,TaqMan Fast Virus
23,15,DNA,1,,,384,P24,JG073N_384,TaqMan Fast Virus
