Variation,Probe,lg10_Copies,Well,WellName,Sample,MasterMix,Target,PrimerPair,Fluorophore,Quencher,Intermediate
1,TET_Z_IBFQ,8,1,A1,JG076C_001,TaqMan Fast Advanced,S056.2.1,FP002-RP002x,TET,IBFQ,Z
2,TET_Z_IBFQ,8,2,A2,JG076C_002,TaqMan Fast Advanced,S056.2.2,FP002-RP002x,TET,IBFQ,Z
3,TET_Z_IBFQ,8,3,A3,JG076C_003,TaqMan Fast Advanced,S056.2.3,FP002-RP002x,TET,IBFQ,Z
5,TET_Z_IBFQ,8,4,A4,JG076C_004,TaqMan Fast Advanced,S056.2.5,FP002-RP002x,TET,IBFQ,Z
6,TET_Z_IBFQ,8,5,A5,JG076C_005,TaqMan Fast Advanced,S056.2.6,FP002-RP002x,TET,IBFQ,Z
7,TET_Z_IBFQ,8,6,A6,JG076C_006,TaqMan Fast Advanced,S056.2.7,FP002-RP002x,TET,IBFQ,Z
8,TET_Z_IBFQ,8,7,A7,JG076C_007,TaqMan Fast Advanced,S056.2.8,FP002-RP002x,TET,IBFQ,Z
9,TET_Z_IBFQ,8,8,A8,JG076C_008,TaqMan Fast Advanced,S056.2.9,FP002-RP002x,TET,IBFQ,Z
1,TET_BHQ1,8,9,A9,JG076C_009,TaqMan Fast Advanced,S056.2.1,FP002-RP002x,TET,BHQ1,None
2,TET_BHQ1,8,10,A10,JG076C_010,TaqMan Fast Advanced,S056.2.2,FP002-RP002x,TET,BHQ1,None
3,TET_BHQ1,8,11,A11,JG076C_011,TaqMan Fast Advanced,S056.2.3,FP002-RP002x,TET,BHQ1,None
5,TET_BHQ1,8,12,A12,JG076C_012,TaqMan Fast Advanced,S056.2.5,FP002-RP002x,TET,BHQ1,None
6,TET_BHQ1,8,13,A13,JG076C_013,TaqMan Fast Advanced,S056.2.6,FP002-RP002x,TET,BHQ1,None
7,TET_BHQ1,8,14,A14,JG076C_014,TaqMan Fast Advanced,S056.2.7,FP002-RP002x,TET,BHQ1,None
8,TET_BHQ1,8,15,A15,JG076C_015,TaqMan Fast Advanced,S056.2.8,FP002-RP002x,TET,BHQ1,None
9,TET_BHQ1,8,16,A16,JG076C_016,TaqMan Fast Advanced,S056.2.9,FP002-RP002x,TET,BHQ1,None
1,SUN_Z_IBFQ,8,17,A17,JG076C_017,TaqMan Fast Advanced,S056.2.1,FP002-RP002x,SUN,IBFQ,Z
