Variation,Probe,lg10_Copies,Well,WellName,Sample,MasterMix,Target,PrimerPair,Fluorophore,Quencher,Intermediate
5,Cy5_IBRQ,6,284,L20,JG076D_284,TaqMan Fast Advanced,S056.2.5,FP002-RP002x,Cy5,IBRQ,None
6,Cy5_IBRQ,6,285,L21,JG076D_285,TaqMan Fast Advanced,S056.2.6,FP002-RP002x,Cy5,IBRQ,None
7,Cy5_IBRQ,6,286,L22,JG076D_286,TaqMan Fast Advanced,S056.2.7,FP002-RP002x,Cy5,IBRQ,None
8,Cy5_IBRQ,6,287,L23,JG076D_287,TaqMan Fast Advanced,S056.2.8,FP002-RP002x,Cy5,IBRQ,None
9,Cy5_IBRQ,6,288,L24,JG076D_288,TaqMan Fast Advanced,S056.2.9,FP002-RP002x,Cy5,IBRQ,None
1,Cy3_IBRQ,4,289,M1,JG076D_289,TaqMan Fast Advanced,S056.2.1,FP002-RP002x,Cy3,IBRQ,None
2,Cy3_IBRQ,4,290,M2,JG076D_290,TaqMan Fast Advanced,S056.2.2,FP002-RP002x,Cy3,IBRQ,None
3,Cy3_IBRQ,4,291,M3,JG076D_291,TaqMan Fast Advanced,S056.2.3,FP002-RP002x,Cy3,IBRQ,None
5,Cy3_IBRQ,4,292,M4,JG076D_292,TaqMan Fast Advanced,S056.2.5,FP002-RP002x,Cy3,IBRQ,None
6,Cy3_IBRQ,4,293,M5,JG076D_293,TaqMan Fast Advanced,S056.2.6,FP002-RP002x,Cy3,IBRQ,None
7,Cy3_IBRQ,4,294,M6,JG076D_294,TaqMan Fast Advanced,S056.2.7,FP002-RP002x,Cy3,IBRQ,None
8,Cy3_IBRQ,4,295,M7,JG076D_295,TaqMan Fast Advanced,S056.2.8,FP002-RP002x,Cy3,IBRQ,None
9,Cy3_IBRQ,4,296,M8,JG076D_296,TaqMan Fast Advanced,S056.2.9,FP002-RP002x,Cy3,IBRQ,None
1,Cy5_T_IBRQ,4,297,M9,JG076D_297,TaqMan Fast Advanced,S056.2.1,FP002-RP002x,Cy5,IBRQ,T
2,Cy5_T_IBRQ,4,298,M10,JG076D_298,TaqMan Fast Advanced,S056.2.2,FP002-RP002x,Cy5,IBRQ,T
3,Cy5_T_IBRQ,4,299,M11,JG076D_299,TaqMan Fast Advanced,S056.2.3,FP002-RP002x,Cy5,IBRQ,T
5,Cy5_T_IBRQ,4,300,M12,JG076D_300,TaqMan Fast Advanced,S056.2.5,FP002-RP002x,Cy5,IBRQ,T
6,Cy5_T_IBRQ,4,301,M13,JG076D_301,TaqMan Fast Advanced,S056.2.6,FP002-RP002x,Cy5,IBRQ,T
7,Cy5_T_IBRQ,4,302,M14,JG076D_302,TaqMan Fast Advanced,S056.2.7,FP002-RP002x,Cy5,IBRQ,T
8,Cy5_T_IBRQ,4,303,M15,JG076D_303,TaqMan Fast Advanced,S056.2.8,FP002-RP002x,Cy5,IBRQ,T
9,Cy5_T_IBRQ,4,304,M16,JG076D_304,TaqMan Fast Advanced,S056.2.9,FP002-RP002x,Cy5,IBRQ,T
1,Cy5_IBRQ,4,305,M17,JG076D_305,TaqMan Fast Advanced,S056.2.1,FP002-RP002x,Cy5,IBRQ,None
2,Cy5_IBRQ,4,306,M18,JG076D_306,TaqMan Fast Advanced,S056.2.2,FP002-RP002x,Cy5,IBRQ,None
3,Cy5_IBRQ,4,307,M19,JG076D_307,TaqMan Fast Advanced,S056.2.3,FP002-RP002x,Cy5,IBRQ,None
5,Cy5_IBRQ,4,308,M20,JG076D_308,TaqMan Fast Advanced,S056.2.5,FP002-RP002x,Cy5,IBRQ,None
6,Cy5_IBRQ,4,309,M21,JG076D_309,TaqMan Fast Advanced,S056.2.6,FP002-RP002x,Cy5,IBRQ,None
7,Cy5_IBRQ,4,310,M22,JG076D_310,TaqMan Fast Advanced,S056.2.7,FP002-RP002x,Cy5,IBRQ,None
