,Expected Proportion
900,0.0
901,0.0101010101010101
902,0.0202020202020202
903,0.0303030303030303
904,0.0404040404040404
905,0.0505050505050505
906,0.0606060606060606
907,0.0707070707070707
908,0.0808080808080808
909,0.0909090909090909
910,0.101010101010101
911,0.1111111111111111
912,0.1212121212121212
913,0.1313131313131313
914,0.1414141414141414
915,0.1515151515151515
916,0.1616161616161616
917,0.1717171717171717
918,0.1818181818181818
919,0.1919191919191919
920,0.202020202020202
921,0.2121212121212121
922,0.2222222222222222
923,0.2323232323232323
924,0.2424242424242424
925,0.2525252525252525
926,0.2626262626262626
927,0.2727272727272727
928,0.2828282828282829
929,0.2929292929292929
930,0.303030303030303
931,0.3131313131313131
932,0.3232323232323232
933,0.3333333333333333
934,0.3434343434343435
935,0.3535353535353536
936,0.3636363636363636
937,0.3737373737373737
938,0.3838383838383838
939,0.393939393939394
940,0.4040404040404041
941,0.4141414141414142
942,0.4242424242424242
943,0.4343434343434343
944,0.4444444444444445
945,0.4545454545454546
946,0.4646464646464647
947,0.4747474747474748
948,0.4848484848484848
949,0.494949494949495
950,0.5050505050505051
951,0.5151515151515152
952,0.5252525252525253
953,0.5353535353535354
954,0.5454545454545455
955,0.5555555555555556
956,0.5656565656565657
957,0.5757575757575758
958,0.5858585858585859
959,0.595959595959596
960,0.6060606060606061
961,0.6161616161616162
962,0.6262626262626263
963,0.6363636363636365
964,0.6464646464646465
965,0.6565656565656566
966,0.6666666666666667
967,0.6767676767676768
968,0.686868686868687
969,0.696969696969697
970,0.7070707070707072
971,0.7171717171717172
972,0.7272727272727273
973,0.7373737373737375
974,0.7474747474747475
975,0.7575757575757577
976,0.7676767676767677
977,0.7777777777777778
978,0.787878787878788
979,0.797979797979798
980,0.8080808080808082
981,0.8181818181818182
982,0.8282828282828284
983,0.8383838383838385
984,0.8484848484848485
985,0.8585858585858587
986,0.8686868686868687
987,0.8787878787878789
988,0.888888888888889
989,0.8989898989898991
990,0.9090909090909092
991,0.9191919191919192
992,0.9292929292929294
993,0.9393939393939394
994,0.9494949494949496
995,0.9595959595959596
996,0.9696969696969696
997,0.97979797979798
998,0.98989898989899
999,1.0
