* Instrument Type = QuantStudio 6
* Passive Reference = ROX
[Sample Setup]
Well	Target Name	Sample Name	Reporter	Quantity	Quencher	Task
58	HEX	JG073N_058	HEX		None	UNKNOWN
59	FAM	JG073N_059	FAM		None	UNKNOWN
59	HEX	JG073N_059	HEX		None	UNKNOWN
60	FAM	JG073N_060	FAM		None	UNKNOWN
60	HEX	JG073N_060	HEX		None	UNKNOWN
61	FAM	JG073N_061	FAM		None	UNKNOWN
61	HEX	JG073N_061	HEX		None	UNKNOWN
62	FAM	JG073N_062	FAM		None	UNKNOWN
62	HEX	JG073N_062	HEX		None	UNKNOWN
63	FAM	JG073N_063	FAM		None	UNKNOWN
63	HEX	JG073N_063	HEX		None	UNKNOWN
64	FAM	JG073N_064	FAM		None	UNKNOWN
64	HEX	JG073N_064	HEX		None	UNKNOWN
65	FAM	JG073N_065	FAM		None	UNKNOWN
65	HEX	JG073N_065	HEX		None	UNKNOWN
66	FAM	JG073N_066	FAM		None	UNKNOWN
66	HEX	JG073N_066	HEX		None	UNKNOWN
67	FAM	JG073N_067	FAM		None	UNKNOWN
67	HEX	JG073N_067	HEX		None	UNKNOWN
68	FAM	JG073N_068	FAM		None	UNKNOWN
68	HEX	JG073N_068	HEX		None	UNKNOWN
69	FAM	JG073N_069	FAM		None	UNKNOWN
69	HEX	JG073N_069	HEX		None	UNKNOWN
70	FAM	JG073N_070	FAM		None	UNKNOWN
70	HEX	JG073N_070	HEX		None	UNKNOWN
71	FAM	JG073N_071	FAM		None	UNKNOWN
71	HEX	JG073N_071	HEX		None	UNKNOWN
72	FAM	JG073N_072	FAM		None	UNKNOWN
72	HEX	JG073N_072	HEX		None	UNKNOWN
73	FAM	JG073N_073	FAM		None	UNKNOWN
73	HEX	JG073N_073	HEX		None	UNKNOWN
74	FAM	JG073N_074	FAM		None	UNKNOWN
74	HEX	JG073N_074	HEX		None	UNKNOWN
75	FAM	JG073N_075	FAM		None	UNKNOWN
75	HEX	JG073N_075	HEX		None	UNKNOWN
76	FAM	JG073N_076	FAM		None	UNKNOWN
76	HEX	JG073N_076	HEX		None	UNKNOWN
77	FAM	JG073N_077	FAM		None	UNKNOWN
77	HEX	JG073N_077	HEX		None	UNKNOWN
78	FAM	JG073N_078	FAM		None	UNKNOWN
78	HEX	JG073N_078	HEX		None	UNKNOWN
79	FAM	JG073N_079	FAM		None	UNKNOWN
79	HEX	JG073N_079	HEX		None	UNKNOWN
80	FAM	JG073N_080	FAM		None	UNKNOWN
80	HEX	JG073N_080	HEX		None	UNKNOWN
81	FAM	JG073N_081	FAM		None	UNKNOWN
81	HEX	JG073N_081	HEX		None	UNKNOWN
82	FAM	JG073N_082	FAM		None	UNKNOWN
82	HEX	JG073N_082	HEX		None	UNKNOWN
83	FAM	JG073N_083	FAM		None	UNKNOWN
83	HEX	JG073N_083	HEX		None	UNKNOWN
84	FAM	JG073N_084	FAM		None	UNKNOWN
84	HEX	JG073N_084	HEX		None	UNKNOWN
85	FAM	JG073N_085	FAM		None	UNKNOWN
85	HEX	JG073N_085	HEX		None	UNKNOWN
86	FAM	JG073N_086	FAM		None	UNKNOWN
86	HEX	JG073N_086	HEX		None	UNKNOWN
87	FAM	JG073N_087	FAM		None	UNKNOWN
87	HEX	JG073N_087	HEX		None	UNKNOWN
88	FAM	JG073N_088	FAM		None	UNKNOWN
88	HEX	JG073N_088	HEX		None	UNKNOWN
89	FAM	JG073N_089	FAM		None	UNKNOWN
89	HEX	JG073N_089	HEX		None	UNKNOWN
90	FAM	JG073N_090	FAM		None	UNKNOWN
90	HEX	JG073N_090	HEX		None	UNKNOWN
91	FAM	JG073N_091	FAM		None	UNKNOWN
91	HEX	JG073N_091	HEX		None	UNKNOWN
92	FAM	JG073N_092	FAM		None	UNKNOWN
92	HEX	JG073N_092	HEX		None	UNKNOWN
93	FAM	JG073N_093	FAM		None	UNKNOWN
93	HEX	JG073N_093	HEX		None	UNKNOWN
