,Experiment,Well,Target,lg10_Copies,Outlier,WellPosition,Copies,Reporter,Sample,Task,Comments,CT,Reaction,Cycle,Fluorescence,Corr_Fluorescence,L2_500_like,S037.01.01b,S036.0,lg10 L2_500_like,lg10 S037.01.01b,lg10 S036.0
31,JG074D,1,HEX,#NAME?,FALSE,A1,0,HEX,JG074D.001,UNKNOWN,,10.522444,1,16,-0.292452836,0.5489246845245361,100000000,100,100,8,2,2
32,JG074D,1,FAM,#NAME?,FALSE,A1,0,FAM,JG074D.001,UNKNOWN,,inf,0,17,-0.009250548,-0.00322972,100000000,100,100,8,2,2
33,JG074D,1,HEX,#NAME?,FALSE,A1,0,HEX,JG074D.001,UNKNOWN,,10.522444,1,17,-0.354984974,0.6678655743598938,100000000,100,100,8,2,2
34,JG074D,1,FAM,#NAME?,FALSE,A1,0,FAM,JG074D.001,UNKNOWN,,inf,0,18,-0.009127197,-0.006267286,100000000,100,100,8,2,2
35,JG074D,1,HEX,#NAME?,FALSE,A1,0,HEX,JG074D.001,UNKNOWN,,10.522444,1,18,-0.40853443,0.7693737149238586,100000000,100,100,8,2,2
36,JG074D,1,FAM,#NAME?,FALSE,A1,0,FAM,JG074D.001,UNKNOWN,,inf,0,19,-0.009153781,-0.009673297,100000000,100,100,8,2,2
37,JG074D,1,HEX,#NAME?,FALSE,A1,0,HEX,JG074D.001,UNKNOWN,,10.522444,1,19,-0.454922387,0.856983483,100000000,100,100,8,2,2
38,JG074D,1,FAM,#NAME?,FALSE,A1,0,FAM,JG074D.001,UNKNOWN,,inf,0,20,-0.00834432,-0.011024827,100000000,100,100,8,2,2
39,JG074D,1,HEX,#NAME?,FALSE,A1,0,HEX,JG074D.001,UNKNOWN,,10.522444,1,20,-0.491847529,0.9262286424636841,100000000,100,100,8,2,2
40,JG074D,1,FAM,#NAME?,FALSE,A1,0,FAM,JG074D.001,UNKNOWN,,inf,0,21,-0.007929008,-0.013344931,100000000,100,100,8,2,2
41,JG074D,1,HEX,#NAME?,FALSE,A1,0,HEX,JG074D.001,UNKNOWN,,10.522444,1,21,-0.520608397,0.979629397,100000000,100,100,8,2,2
42,JG074D,1,FAM,#NAME?,FALSE,A1,0,FAM,JG074D.001,UNKNOWN,,inf,0,22,-0.0079252,-0.016676258,100000000,100,100,8,2,2
43,JG074D,1,HEX,#NAME?,FALSE,A1,0,HEX,JG074D.001,UNKNOWN,,10.522444,1,22,-0.544626831,1.0238264799118042,100000000,100,100,8,2,2
44,JG074D,1,FAM,#NAME?,FALSE,A1,0,FAM,JG074D.001,UNKNOWN,,inf,0,23,-0.007776418,-0.019651329,100000000,100,100,8,2,2
45,JG074D,1,HEX,#NAME?,FALSE,A1,0,HEX,JG074D.001,UNKNOWN,,10.522444,1,23,-0.567039351,1.0649069547653198,100000000,100,100,8,2,2
46,JG074D,1,FAM,#NAME?,FALSE,A1,0,FAM,JG074D.001,UNKNOWN,,inf,0,24,-0.00652226,-0.019910065,100000000,100,100,8,2,2
47,JG074D,1,HEX,#NAME?,FALSE,A1,0,HEX,JG074D.001,UNKNOWN,,10.522444,1,24,-0.586552025,1.1003596782684326,100000000,100,100,8,2,2
48,JG074D,1,FAM,#NAME?,FALSE,A1,0,FAM,JG074D.001,UNKNOWN,,inf,0,25,-0.005761504,-0.021381281,100000000,100,100,8,2,2
49,JG074D,1,HEX,#NAME?,FALSE,A1,0,HEX,JG074D.001,UNKNOWN,,10.522444,1,25,-0.603955771,1.1317195892333984,100000000,100,100,8,2,2
