,Experiment,Well,Target,lg10_Copies,Outlier,WellPosition,Copies,Reporter,Sample,Task,Comments,CT,Reaction,L2_500,S037.01.01b,S036.1b,lg10 L2_500,lg10 S037.01.01b,lg10 S036.1b,Cycle,Fluorescence,Corr_Fluorescence
31,JG074C,1,HEX,#NAME?,FALSE,A1,0,HEX,JG074C.001,UNKNOWN,,11.094495,1,100000000,100,100,8,2,2,16,-0.176210008,0.3360132575035095
32,JG074C,1,FAM,#NAME?,FALSE,A1,0,FAM,JG074C.001,UNKNOWN,,10.509473,0,100000000,100,100,8,2,2,17,0.1986214001103395,0.4522194266319275
33,JG074C,1,HEX,#NAME?,FALSE,A1,0,HEX,JG074C.001,UNKNOWN,,11.094495,1,100000000,100,100,8,2,2,17,-0.209141742,0.3994085490703583
34,JG074C,1,FAM,#NAME?,FALSE,A1,0,FAM,JG074C.001,UNKNOWN,,10.509473,0,100000000,100,100,8,2,2,18,0.22883249226361746,0.5210861563682556
35,JG074C,1,HEX,#NAME?,FALSE,A1,0,HEX,JG074C.001,UNKNOWN,,11.094495,1,100000000,100,100,8,2,2,18,-0.234985269,0.4488443434238434
36,JG074C,1,FAM,#NAME?,FALSE,A1,0,FAM,JG074C.001,UNKNOWN,,10.509473,0,100000000,100,100,8,2,2,19,0.2573201927970102,0.5859334468841553
37,JG074C,1,HEX,#NAME?,FALSE,A1,0,HEX,JG074C.001,UNKNOWN,,11.094495,1,100000000,100,100,8,2,2,19,-0.255865702,0.4885058104991913
38,JG074C,1,FAM,#NAME?,FALSE,A1,0,FAM,JG074C.001,UNKNOWN,,10.509473,0,100000000,100,100,8,2,2,20,0.282504532,0.6430763602256775
39,JG074C,1,HEX,#NAME?,FALSE,A1,0,HEX,JG074C.001,UNKNOWN,,11.094495,1,100000000,100,100,8,2,2,20,-0.271119502,0.5170861482620239
40,JG074C,1,FAM,#NAME?,FALSE,A1,0,FAM,JG074C.001,UNKNOWN,,10.509473,0,100000000,100,100,8,2,2,21,0.3045496845549316,0.6928977966308594
41,JG074C,1,HEX,#NAME?,FALSE,A1,0,HEX,JG074C.001,UNKNOWN,,11.094495,1,100000000,100,100,8,2,2,21,-0.281473189,0.5360162258148193
42,JG074C,1,FAM,#NAME?,FALSE,A1,0,FAM,JG074C.001,UNKNOWN,,10.509473,0,100000000,100,100,8,2,2,22,0.3233492331022295,0.7351495027542114
43,JG074C,1,HEX,#NAME?,FALSE,A1,0,HEX,JG074C.001,UNKNOWN,,11.094495,1,100000000,100,100,8,2,2,22,-0.290052964,0.5514527559280396
44,JG074C,1,FAM,#NAME?,FALSE,A1,0,FAM,JG074C.001,UNKNOWN,,10.509473,0,100000000,100,100,8,2,2,23,0.3384227187534641,0.7687110304832458
45,JG074C,1,HEX,#NAME?,FALSE,A1,0,HEX,JG074C.001,UNKNOWN,,11.094495,1,100000000,100,100,8,2,2,23,-0.29675556,0.5631923675537109
46,JG074C,1,FAM,#NAME?,FALSE,A1,0,FAM,JG074C.001,UNKNOWN,,10.509473,0,100000000,100,100,8,2,2,24,0.35249000028431426,0.7999258041381836
47,JG074C,1,HEX,#NAME?,FALSE,A1,0,HEX,JG074C.001,UNKNOWN,,11.094495,1,100000000,100,100,8,2,2,24,-0.301854001,0.5717726945877075
48,JG074C,1,FAM,#NAME?,FALSE,A1,0,FAM,JG074C.001,UNKNOWN,,10.509473,0,100000000,100,100,8,2,2,25,0.3655729539196873,0.8288448452949524
49,JG074C,1,HEX,#NAME?,FALSE,A1,0,HEX,JG074C.001,UNKNOWN,,11.094495,1,100000000,100,100,8,2,2,25,-0.309256029,0.5848897695541382
50,JG074C,1,FAM,#NAME?,FALSE,A1,0,FAM,JG074C.001,UNKNOWN,,10.509473,0,100000000,100,100,8,2,2,26,0.3778813460778529,0.8559573888778687
51,JG074C,1,HEX,#NAME?,FALSE,A1,0,HEX,JG074C.001,UNKNOWN,,11.094495,1,100000000,100,100,8,2,2,26,-0.314332589,0.5934270620346069
52,JG074C,1,FAM,#NAME?,FALSE,A1,0,FAM,JG074C.001,UNKNOWN,,10.509473,0,100000000,100,100,8,2,2,27,0.3871127040873209,0.8758934140205383
53,JG074C,1,HEX,#NAME?,FALSE,A1,0,HEX,JG074C.001,UNKNOWN,,11.094495,1,100000000,100,100,8,2,2,27,-0.319292627,0.6017348766326904
54,JG074C,1,FAM,#NAME?,FALSE,A1,0,FAM,JG074C.001,UNKNOWN,,10.509473,0,100000000,100,100,8,2,2,28,0.39701184919588584,0.897386909
55,JG074C,1,HEX,#NAME?,FALSE,A1,0,HEX,JG074C.001,UNKNOWN,,11.094495,1,100000000,100,100,8,2,2,28,-0.324556196,0.6106404662132263
56,JG074C,1,FAM,#NAME?,FALSE,A1,0,FAM,JG074C.001,UNKNOWN,,10.509473,0,100000000,100,100,8,2,2,29,0.4074169586744439,0.9200604557991028
57,JG074C,1,HEX,#NAME?,FALSE,A1,0,HEX,JG074C.001,UNKNOWN,,11.094495,1,100000000,100,100,8,2,2,29,-0.33128025,0.6224222779273987
58,JG074C,1,FAM,#NAME?,FALSE,A1,0,FAM,JG074C.001,UNKNOWN,,10.509473,0,100000000,100,100,8,2,2,30,0.4144471493343053,0.9348627328872681
59,JG074C,1,HEX,#NAME?,FALSE,A1,0,HEX,JG074C.001,UNKNOWN,,11.094495,1,100000000,100,100,8,2,2,30,-0.336340557,0.630927563
60,JG074C,1,FAM,#NAME?,FALSE,A1,0,FAM,JG074C.001,UNKNOWN,,10.509473,0,100000000,100,100,8,2,2,31,0.42317514972020603,0.9536247849464417
61,JG074C,1,HEX,#NAME?,FALSE,A1,0,HEX,JG074C.001,UNKNOWN,,11.094495,1,100000000,100,100,8,2,2,31,-0.340631942,0.6379185318946838
62,JG074C,1,FAM,#NAME?,FALSE,A1,0,FAM,JG074C.001,UNKNOWN,,10.509473,0,100000000,100,100,8,2,2,32,0.43240630327897395,0.9735603332519531
63,JG074C,1,HEX,#NAME?,FALSE,A1,0,HEX,JG074C.001,UNKNOWN,,11.094495,1,100000000,100,100,8,2,2,32,-0.344742523,0.6445534229278564
64,JG074C,1,FAM,#NAME?,FALSE,A1,0,FAM,JG074C.001,UNKNOWN,,10.509473,0,100000000,100,100,8,2,2,33,0.44092315720437947,0.9918298721313477
65,JG074C,1,HEX,#NAME?,FALSE,A1,0,HEX,JG074C.001,UNKNOWN,,11.094495,1,100000000,100,100,8,2,2,33,-0.350647294,0.6547217965126038
66,JG074C,1,FAM,#NAME?,FALSE,A1,0,FAM,JG074C.001,UNKNOWN,,10.509473,0,100000000,100,100,8,2,2,34,0.44896563439295234,1.008993148803711
67,JG074C,1,HEX,#NAME?,FALSE,A1,0,HEX,JG074C.001,UNKNOWN,,11.094495,1,100000000,100,100,8,2,2,34,-0.3554817,0.6627821326255798
68,JG074C,1,FAM,#NAME?,FALSE,A1,0,FAM,JG074C.001,UNKNOWN,,10.509473,0,100000000,100,100,8,2,2,35,0.4567754977975229,1.025613784790039
