,Experiment,Well,Target,lg10_Copies,Outlier,WellPosition,Copies,Reporter,Sample,Task,Comments,CT,Reaction,Cycle,Fluorescence,Corr_Fluorescence,L2_500_like,S037.01.01b,S036.0,lg10 L2_500_like,lg10 S037.01.01b,lg10 S036.0,FAM-HEX
254,JG074D,128,FAM,#NAME?,FALSE,F8,0,FAM,JG074D.128,UNKNOWN,,16.336994,254,50,0.5140050724474957,1.1804641485214233,316227,10000,100000,5.499998947982042,4,5,-0.133562931
256,JG074D,129,FAM,#NAME?,FALSE,F9,0,FAM,JG074D.129,UNKNOWN,,16.020906,256,50,0.6996764592100331,1.6352049112319946,316227,10000,1000000,5.499998947982042,4,6,0.096517005
258,JG074D,130,FAM,#NAME?,FALSE,F10,0,FAM,JG074D.130,UNKNOWN,,12.128096,258,50,0.6750647513855399,1.5481016635894775,316227,10000,100000000,5.499998947982042,4,8,0.3550800706496721
260,JG074D,131,FAM,#NAME?,FALSE,F11,0,FAM,JG074D.131,UNKNOWN,,17.055706,260,50,0.3219896130822907,0.7095644474029541,316227,100000,100,5.499998947982042,5,2,-0.327030726
262,JG074D,132,FAM,#NAME?,FALSE,F12,0,FAM,JG074D.132,UNKNOWN,,15.797158,262,50,0.392002342,0.8785165548324585,316227,100000,10000,5.499998947982042,5,4,-0.261474058
264,JG074D,133,FAM,#NAME?,FALSE,F13,0,FAM,JG074D.133,UNKNOWN,,15.929049,264,50,0.48670475979431715,1.0904934406280518,316227,100000,100000,5.499998947982042,5,5,-0.149698258
266,JG074D,134,FAM,#NAME?,FALSE,F14,0,FAM,JG074D.134,UNKNOWN,,15.826397,266,50,0.6984024070541086,1.6093772649765015,316227,100000,1000000,5.499998947982042,5,6,0.10017676767886996
268,JG074D,135,FAM,#NAME?,FALSE,F15,0,FAM,JG074D.135,UNKNOWN,,12.180922,268,50,0.7247541028342234,1.6516073942184448,316227,100000,100000000,5.499998947982042,5,8,0.44397174963662844
270,JG074D,136,FAM,#NAME?,FALSE,F16,0,FAM,JG074D.136,UNKNOWN,,13.653907,270,50,0.46863903806973994,1.0510332584381104,316227,1000000,100,5.499998947982042,6,2,-0.112402345
272,JG074D,137,FAM,#NAME?,FALSE,F17,0,FAM,JG074D.137,UNKNOWN,,14.041407,272,50,0.4515937411236387,0.9962489008903503,316227,1000000,10000,5.499998947982042,6,4,-0.150360043
274,JG074D,138,FAM,#NAME?,FALSE,F18,0,FAM,JG074D.138,UNKNOWN,,14.133553,274,50,0.5464200944775738,1.2221362590789795,316227,1000000,100000,5.499998947982042,6,5,-0.053090064
276,JG074D,139,FAM,#NAME?,FALSE,F19,0,FAM,JG074D.139,UNKNOWN,,14.0632515,276,50,0.7772527581831387,1.807036042,316227,1000000,1000000,5.499998947982042,6,6,0.21449550240445914
278,JG074D,140,FAM,#NAME?,FALSE,F20,0,FAM,JG074D.140,UNKNOWN,,11.93494,278,50,0.8292585027731249,1.889707326889038,316227,1000000,100000000,5.499998947982042,6,8,0.575640344
280,JG074D,141,FAM,#NAME?,FALSE,F21,0,FAM,JG074D.141,UNKNOWN,,7.5610447,280,50,0.5140795287317872,1.3027617931365967,316227,100000000,100,5.499998947982042,8,2,-0.030542707
282,JG074D,142,FAM,#NAME?,FALSE,F22,0,FAM,JG074D.142,UNKNOWN,,7.7113357,282,50,0.5258794391929321,1.3299850225448608,316227,100000000,10000,5.499998947982042,8,4,-0.002202638
284,JG074D,143,FAM,#NAME?,FALSE,F23,0,FAM,JG074D.143,UNKNOWN,,7.6476507,284,50,0.6507416562205655,1.637607455253601,316227,100000000,100000,5.499998947982042,8,5,0.12011323536417085
286,JG074D,144,FAM,#NAME?,FALSE,F24,0,FAM,JG074D.144,UNKNOWN,,7.4388275,286,50,0.9365257045961602,2.343684196472168,316227,100000000,1000000,5.499998947982042,8,6,0.5426036723186675
288,JG074D,145,FAM,#NAME?,FALSE,G1,0,FAM,JG074D.145,UNKNOWN,,17.991098,288,50,0.3249579152206441,0.7237750291824341,100000,100,100,5,2,2,-0.263474589
290,JG074D,146,FAM,#NAME?,FALSE,G2,0,FAM,JG074D.146,UNKNOWN,,16.221727,290,50,0.4375036590492251,0.9937353134155273,100000,100,10000,5,2,4,-0.126069305
292,JG074D,147,FAM,#NAME?,FALSE,G3,0,FAM,JG074D.147,UNKNOWN,,16.718227,292,50,0.5989072133850057,1.3726931810379028,100000,100,100000,5,2,5,-0.001342017
294,JG074D,148,FAM,#NAME?,FALSE,G4,0,FAM,JG074D.148,UNKNOWN,,16.15989,294,50,0.7564973886506723,1.7647868394851685,100000,100,1000000,5,2,6,0.3409103598810768
296,JG074D,149,FAM,#NAME?,FALSE,G5,0,FAM,JG074D.149,UNKNOWN,,12.239762,296,50,0.6952773654552696,1.583793283,100000,100,100000000,5,2,8,0.42469506758803177
298,JG074D,150,FAM,#NAME?,FALSE,G6,0,FAM,JG074D.150,UNKNOWN,,17.955168,298,50,0.345985167,0.762446404,100000,10000,100,5,4,2,-0.229940971
300,JG074D,151,FAM,#NAME?,FALSE,G7,0,FAM,JG074D.151,UNKNOWN,,16.028105,300,50,0.4474795535107295,1.0054197311401367,100000,10000,10000,5,4,4,-0.1135061
302,JG074D,152,FAM,#NAME?,FALSE,G8,0,FAM,JG074D.152,UNKNOWN,,16.201885,302,50,0.6486497143262527,1.5096421241760254,100000,10000,100000,5,4,5,0.068900204
304,JG074D,153,FAM,#NAME?,FALSE,G9,0,FAM,JG074D.153,UNKNOWN,,16.157948,304,50,0.7622935060541661,1.7776635885238647,100000,10000,1000000,5,4,6,0.3560219563686021
306,JG074D,154,FAM,#NAME?,FALSE,G10,0,FAM,JG074D.154,UNKNOWN,,12.170925,306,50,0.7190814617375977,1.6465983390808105,100000,10000,100000000,5,4,8,0.45711744198736715
308,JG074D,155,FAM,#NAME?,FALSE,G11,0,FAM,JG074D.155,UNKNOWN,,17.061354,308,50,0.3734912075996607,0.823846698,100000,100000,100,5,5,2,-0.243627933
310,JG074D,156,FAM,#NAME?,FALSE,G12,0,FAM,JG074D.156,UNKNOWN,,15.925798,310,50,0.43477689906998834,0.9715285897254944,100000,100000,10000,5,5,4,-0.142012716
312,JG074D,157,FAM,#NAME?,FALSE,G13,0,FAM,JG074D.157,UNKNOWN,,15.739722,312,50,0.6443153853353598,1.4981272220611572,100000,100000,100000,5,5,5,0.022421664849464173
314,JG074D,158,FAM,#NAME?,FALSE,G14,0,FAM,JG074D.158,UNKNOWN,,15.6834345,314,50,0.7829020232051686,1.840575098991394,100000,100000,1000000,5,5,6,0.3565600135118734
316,JG074D,159,FAM,#NAME?,FALSE,G15,0,FAM,JG074D.159,UNKNOWN,,12.047791,316,50,0.7898712799787488,1.8396672010421753,100000,100000,100000000,5,5,8,0.5230809771852001
318,JG074D,160,FAM,#NAME?,FALSE,G16,0,FAM,JG074D.160,UNKNOWN,,13.73032,318,50,0.5566756559295833,1.2470264434814453,100000,1000000,100,5,6,2,-0.009609457
320,JG074D,161,FAM,#NAME?,FALSE,G17,0,FAM,JG074D.161,UNKNOWN,,14.024675,320,50,0.5169780270613962,1.1477136611938477,100000,1000000,10000,5,6,4,-0.063647266
322,JG074D,162,FAM,#NAME?,FALSE,G18,0,FAM,JG074D.162,UNKNOWN,,13.80316,322,50,0.8122921508633824,1.853255271911621,100000,1000000,100000,5,6,5,0.162193116
324,JG074D,163,FAM,#NAME?,FALSE,G19,0,FAM,JG074D.163,UNKNOWN,,14.070171,324,50,0.8236517603770621,1.9160032272338867,100000,1000000,1000000,5,6,6,0.4668815407759183
326,JG074D,164,FAM,#NAME?,FALSE,G20,0,FAM,JG074D.164,UNKNOWN,,11.601946,326,50,0.8483194980145944,1.9681384563446045,100000,1000000,100000000,5,6,8,0.6906181042420818
328,JG074D,165,FAM,#NAME?,FALSE,G21,0,FAM,JG074D.165,UNKNOWN,,7.547202,328,50,0.5362035355967187,1.3569774627685547,100000,100000000,100,5,8,2,0.027545352845194215
330,JG074D,166,FAM,#NAME?,FALSE,G22,0,FAM,JG074D.166,UNKNOWN,,7.529209,330,50,0.5855984303672346,1.4789279699325562,100000,100000000,10000,5,8,4,0.077224485
332,JG074D,168,FAM,#NAME?,FALSE,G24,0,FAM,JG074D.168,UNKNOWN,,7.543974,332,50,0.9465924716527083,2.3661601543426514,100000,100000000,1000000,5,8,6,0.6732589336565984
334,JG074D,169,FAM,#NAME?,FALSE,H1,0,FAM,JG074D.169,UNKNOWN,,17.956963,334,50,0.3800126033425067,0.8511457443237305,31622,100,100,4.499989334334184,2,2,-0.153123512
336,JG074D,170,FAM,#NAME?,FALSE,H2,0,FAM,JG074D.170,UNKNOWN,,16.204498,336,50,0.554074927,1.2811888456344604,31622,100,10000,4.499989334334184,2,4,0.011028897986302688
338,JG074D,171,FAM,#NAME?,FALSE,H3,0,FAM,JG074D.171,UNKNOWN,,16.532957,338,50,0.7511748262525124,1.7641061544418335,31622,100,100000,4.499989334334184,2,5,0.27914822075187534
340,JG074D,172,FAM,#NAME?,FALSE,H4,0,FAM,JG074D.172,UNKNOWN,,16.139502,340,50,0.7949725443228604,1.8603801727294922,31622,100,1000000,4.499989334334184,2,6,0.557091258
342,JG074D,173,FAM,#NAME?,FALSE,H5,0,FAM,JG074D.173,UNKNOWN,,12.239044,342,50,0.7296637803879703,1.678517460823059,31622,100,100000000,4.499989334334184,2,8,0.5171184328359756
344,JG074D,174,FAM,#NAME?,FALSE,H6,0,FAM,JG074D.174,UNKNOWN,,17.980898,344,50,0.3865930077561467,0.8638171553611755,31622,10000,100,4.499989334334184,4,2,-0.126618774
346,JG074D,175,FAM,#NAME?,FALSE,H7,0,FAM,JG074D.175,UNKNOWN,,16.08066,346,50,0.5795999295194676,1.3281950950622559,31622,10000,10000,4.499989334334184,4,4,0.066090661
348,JG074D,176,FAM,#NAME?,FALSE,H8,0,FAM,JG074D.176,UNKNOWN,,16.262722,348,50,0.7648963652582542,1.7961679697036743,31622,10000,100000,4.499989334334184,4,5,0.34306430005767674
350,JG074D,177,FAM,#NAME?,FALSE,H9,0,FAM,JG074D.177,UNKNOWN,,16.098244,350,50,0.8558688589117295,2.011547088623047,31622,10000,1000000,4.499989334334184,4,6,0.6859911317526372
352,JG074D,178,FAM,#NAME?,FALSE,H10,0,FAM,JG074D.178,UNKNOWN,,12.175872,352,50,0.7513207736069637,1.7299249172210693,31622,10000,100000000,4.499989334334184,4,8,0.5307010265018579
354,JG074D,179,FAM,#NAME?,FALSE,H11,0,FAM,JG074D.179,UNKNOWN,,17.058393,354,50,0.40834796977026044,0.9075236916542053,31622,100000,100,4.499989334334184,5,2,-0.173338802
356,JG074D,180,FAM,#NAME?,FALSE,H12,0,FAM,JG074D.180,UNKNOWN,,15.782733,356,50,0.5457174933561125,1.2514185905456543,31622,100000,10000,4.499989334334184,5,4,0.014095298622789909
358,JG074D,181,FAM,#NAME?,FALSE,H13,0,FAM,JG074D.181,UNKNOWN,,15.72478,358,50,0.7799635854422715,1.8350344896316528,31622,100000,100000,4.499989334334184,5,5,0.3481505627290626
360,JG074D,182,FAM,#NAME?,FALSE,H14,0,FAM,JG074D.182,UNKNOWN,,15.803772,360,50,0.8507857208791577,1.9864366054534912,31622,100000,1000000,4.499989334334184,5,6,0.6043229773084506
362,JG074D,183,FAM,#NAME?,FALSE,H15,0,FAM,JG074D.183,UNKNOWN,,12.090645,362,50,0.8000574363190059,1.8365079164505005,31622,100000,100000000,4.499989334334184,5,8,0.6363324054776864
364,JG074D,184,FAM,#NAME?,FALSE,H16,0,FAM,JG074D.184,UNKNOWN,,13.738961,364,50,0.6437506363518556,1.4657621383666992,31622,1000000,100,4.499989334334184,6,2,0.13834933095154756
366,JG074D,185,FAM,#NAME?,FALSE,H17,0,FAM,JG074D.185,UNKNOWN,,14.017348,366,50,0.6285573687959563,1.4314459562301636,31622,1000000,10000,4.499989334334184,6,4,0.13271267676969806
368,JG074D,186,FAM,#NAME?,FALSE,H18,0,FAM,JG074D.186,UNKNOWN,,14.050503,368,50,0.8164165408746074,1.9000452756881714,31622,1000000,100000,4.499989334334184,6,5,0.39864764028877947
370,JG074D,187,FAM,#NAME?,FALSE,H19,0,FAM,JG074D.187,UNKNOWN,,13.993688,370,50,0.8673213754362835,2.0329480171203613,31622,1000000,1000000,4.499989334334184,6,6,0.675460672
372,JG074D,188,FAM,#NAME?,FALSE,H20,0,FAM,JG074D.188,UNKNOWN,,11.86367,372,50,0.864391914,1.9856584072113037,31622,1000000,100000000,4.499989334334184,6,8,0.7388535554931157
374,JG074D,190,FAM,#NAME?,FALSE,H22,0,FAM,JG074D.190,UNKNOWN,,7.445575,374,50,0.6810195896068147,1.7150821685791016,31622,100000000,10000,4.499989334334184,8,4,0.18382256073830472
376,JG074D,191,FAM,#NAME?,FALSE,H23,0,FAM,JG074D.191,UNKNOWN,,7.506981,376,50,0.9143071898685534,2.2879154682159424,31622,100000000,100000,4.499989334334184,8,5,0.5302178891146702
378,JG074D,192,FAM,#NAME?,FALSE,H24,0,FAM,JG074D.192,UNKNOWN,,7.5025215,378,50,0.9908028608173708,2.476086139678955,31622,100000000,1000000,4.499989334334184,8,6,0.848638288
380,JG074D,193,FAM,#NAME?,FALSE,I1,0,FAM,JG074D.193,UNKNOWN,,18.029274,380,50,0.40487305261134715,0.9234742522239685,10000,100,100,4,2,2,-0.108550074
382,JG074D,194,FAM,#NAME?,FALSE,I2,0,FAM,JG074D.194,UNKNOWN,,16.280163,382,50,0.6498037010811354,1.508541226387024,10000,100,10000,4,2,4,0.1748447263988787
384,JG074D,195,FAM,#NAME?,FALSE,I3,0,FAM,JG074D.195,UNKNOWN,,16.525942,384,50,0.7947120511709731,1.8750954866409302,10000,100,100000,4,2,5,0.4903982141976359
386,JG074D,196,FAM,#NAME?,FALSE,I4,0,FAM,JG074D.196,UNKNOWN,,16.1293,386,50,0.8499667957413565,1.999235987663269,10000,100,1000000,4,2,6,0.6783026631442325
388,JG074D,197,FAM,#NAME?,FALSE,I5,0,FAM,JG074D.197,UNKNOWN,,12.155275,388,50,0.7923230542462322,1.8283616304397583,10000,100,100000000,4,2,8,0.6247011784889264
390,JG074D,198,FAM,#NAME?,FALSE,I6,0,FAM,JG074D.198,UNKNOWN,,17.868206,390,50,0.4360860395931369,0.9888054728507996,10000,10000,100,4,4,2,-0.049622985
392,JG074D,199,FAM,#NAME?,FALSE,I7,0,FAM,JG074D.199,UNKNOWN,,16.072197,392,50,0.6879281261928554,1.6071560382843018,10000,10000,10000,4,4,4,0.23399359689371751
394,JG074D,200,FAM,#NAME?,FALSE,I8,0,FAM,JG074D.200,UNKNOWN,,16.392113,394,50,0.8141549132372509,1.906200885772705,10000,10000,100000,4,4,5,0.5465322825196182
396,JG074D,201,FAM,#NAME?,FALSE,I9,0,FAM,JG074D.201,UNKNOWN,,16.205708,396,50,0.8512299951529209,1.9912298917770386,10000,10000,1000000,4,4,6,0.6862756785163749
398,JG074D,202,FAM,#NAME?,FALSE,I10,0,FAM,JG074D.202,UNKNOWN,,12.228161,398,50,0.7885529603290323,1.8212175369262695,10000,10000,100000000,4,4,8,0.6192491105133651
400,JG074D,203,FAM,#NAME?,FALSE,I11,0,FAM,JG074D.203,UNKNOWN,,17.032738,400,50,0.4357694711494663,0.9735497236251831,10000,100000,100,4,5,2,-0.060419896
402,JG074D,204,FAM,#NAME?,FALSE,I12,0,FAM,JG074D.204,UNKNOWN,,15.921747,402,50,0.6860169865626637,1.5782718658447266,10000,100000,10000,4,5,4,0.20193006355949727
404,JG074D,205,FAM,#NAME?,FALSE,I13,0,FAM,JG074D.205,UNKNOWN,,15.695348,404,50,0.8300149855949337,1.9577003717422485,10000,100000,100000,4,5,5,0.5480550152192467
406,JG074D,206,FAM,#NAME?,FALSE,I14,0,FAM,JG074D.206,UNKNOWN,,15.706923,406,50,0.8829302065346379,2.0645344257354736,10000,100000,1000000,4,5,6,0.7566009098511292
408,JG074D,207,FAM,#NAME?,FALSE,I15,0,FAM,JG074D.207,UNKNOWN,,12.259835,408,50,0.8146931738840876,1.8485850095748901,10000,100000,100000000,4,5,8,0.690083423
410,JG074D,208,FAM,#NAME?,FALSE,I16,0,FAM,JG074D.208,UNKNOWN,,13.884613,410,50,0.5155821707004375,1.137869954109192,10000,1000000,100,4,6,2,0.058587179
412,JG074D,209,FAM,#NAME?,FALSE,I17,0,FAM,JG074D.209,UNKNOWN,,14.067532,412,50,0.7564918644991919,1.7383257150650024,10000,1000000,10000,4,6,4,0.3129773444689245
414,JG074D,210,FAM,#NAME?,FALSE,I18,0,FAM,JG074D.210,UNKNOWN,,13.845741,414,50,0.8724699846692214,2.065326690673828,10000,1000000,100000,4,6,5,0.6071657079295358
416,JG074D,211,FAM,#NAME?,FALSE,I19,0,FAM,JG074D.211,UNKNOWN,,14.06408,416,50,0.8779768390671522,2.0473599433898926,10000,1000000,1000000,4,6,6,0.7712149066576465
418,JG074D,212,FAM,#NAME?,FALSE,I20,0,FAM,JG074D.212,UNKNOWN,,11.820258,418,50,0.8653449055898332,1.996281385421753,10000,1000000,100000000,4,6,8,0.7704398429834765
420,JG074D,213,FAM,#NAME?,FALSE,I21,0,FAM,JG074D.213,UNKNOWN,,7.6160283,420,50,0.5984210304483241,1.509662151,10000,100000000,100,4,8,2,0.10115384190539772
422,JG074D,214,FAM,#NAME?,FALSE,I22,0,FAM,JG074D.214,UNKNOWN,,7.5137877,422,50,0.8096465613470613,2.0303640365600586,10000,100000000,10000,4,8,4,0.36710672715535264
424,JG074D,215,FAM,#NAME?,FALSE,I23,0,FAM,JG074D.215,UNKNOWN,,7.5207896,424,50,0.9551133403908967,2.3877179622650146,10000,100000000,100000,4,8,5,0.7013353230247092
426,JG074D,216,FAM,#NAME?,FALSE,I24,0,FAM,JG074D.216,UNKNOWN,,7.5843515,426,50,0.9743561429767374,2.434173107147217,10000,100000000,1000000,4,8,6,0.8837010712721777
428,JG074D,217,FAM,#NAME?,FALSE,J1,0,FAM,JG074D.217,UNKNOWN,,17.9247,428,50,0.45228014574827885,1.0432565212249756,3162,100,100,3.499961866,2,2,0.020461272236503014
430,JG074D,218,FAM,#NAME?,FALSE,J2,0,FAM,JG074D.218,UNKNOWN,,16.229431,430,50,0.7531459326390456,1.7741683721542358,3162,100,10000,3.499961866,2,4,0.38489559588748495
432,JG074D,219,FAM,#NAME?,FALSE,J3,0,FAM,JG074D.219,UNKNOWN,,16.573322,432,50,0.8235296181133617,1.9529577493667603,3162,100,100000,3.499961866,2,5,0.6778056747258806
434,JG074D,220,FAM,#NAME?,FALSE,J4,0,FAM,JG074D.220,UNKNOWN,,16.07366,434,50,0.8571360331655502,2.0249123573303223,3162,100,1000000,3.499961866,2,6,0.7585206102497608
436,JG074D,221,FAM,#NAME?,FALSE,J5,0,FAM,JG074D.221,UNKNOWN,,12.182421,436,50,0.8559216839892501,1.9878557920455933,3162,100,100000000,3.499961866,2,8,0.6885285882766947
438,JG074D,222,FAM,#NAME?,FALSE,J6,0,FAM,JG074D.222,UNKNOWN,,17.950495,438,50,0.4821178509530539,1.087753176689148,3162,10000,100,3.499961866,4,2,0.041756163
440,JG074D,223,FAM,#NAME?,FALSE,J7,0,FAM,JG074D.223,UNKNOWN,,15.930369,440,50,0.8026992162325087,1.8925833702087402,3162,10000,10000,3.499961866,4,4,0.46218937745343236
442,JG074D,224,FAM,#NAME?,FALSE,J8,0,FAM,JG074D.224,UNKNOWN,,16.414629,442,50,0.8507690498874372,2.0015554428100586,3162,10000,100000,3.499961866,4,5,0.7240820002901122
444,JG074D,225,FAM,#NAME?,FALSE,J9,0,FAM,JG074D.225,UNKNOWN,,16.076307,444,50,0.868899286,2.049393653869629,3162,10000,1000000,3.499961866,4,6,0.7814485652319724
446,JG074D,226,FAM,#NAME?,FALSE,J10,0,FAM,JG074D.226,UNKNOWN,,12.205799,446,50,0.815399248,1.8771785497665405,3162,10000,100000000,3.499961866,4,8,0.6807633511402447
448,JG074D,227,FAM,#NAME?,FALSE,J11,0,FAM,JG074D.227,UNKNOWN,,17.080078,448,50,0.478166245,1.072428822517395,3162,100000,100,3.499961866,5,2,0.025911908717049237
450,JG074D,228,FAM,#NAME?,FALSE,J12,0,FAM,JG074D.228,UNKNOWN,,15.815674,450,50,0.7858173926329731,1.8345423936843872,3162,100000,10000,3.499961866,5,4,0.42305694386927517
452,JG074D,229,FAM,#NAME?,FALSE,J13,0,FAM,JG074D.229,UNKNOWN,,15.766526,452,50,0.8701396704842732,2.050790786743164,3162,100000,100000,3.499961866,5,5,0.7190325797112622
454,JG074D,230,FAM,#NAME?,FALSE,J14,0,FAM,JG074D.230,UNKNOWN,,15.553241,454,50,0.8831188038555406,2.080549716949463,3162,100000,1000000,3.499961866,5,6,0.8132328635035913
456,JG074D,231,FAM,#NAME?,FALSE,J15,0,FAM,JG074D.231,UNKNOWN,,12.150827,456,50,0.8572284975166461,1.9758344888687134,3162,100000,100000000,3.499961866,5,8,0.7678575014181709
458,JG074D,232,FAM,#NAME?,FALSE,J16,0,FAM,JG074D.232,UNKNOWN,,13.677641,458,50,0.5445642782239257,1.251333475112915,3162,1000000,100,3.499961866,6,2,0.11429167
460,JG074D,233,FAM,#NAME?,FALSE,J17,0,FAM,JG074D.233,UNKNOWN,,14.050787,460,50,0.8400733299880281,1.9548934698104858,3162,1000000,10000,3.499961866,6,4,0.5104795860027684
462,JG074D,234,FAM,#NAME?,FALSE,J18,0,FAM,JG074D.234,UNKNOWN,,14.130483,462,50,0.8918551978791612,2.0754005908966064,3162,1000000,100000,3.499961866,6,5,0.775361264
464,JG074D,235,FAM,#NAME?,FALSE,J19,0,FAM,JG074D.235,UNKNOWN,,14.051205,464,50,0.8712790449185963,2.0309033393859863,3162,1000000,1000000,3.499961866,6,6,0.8074344725496149
466,JG074D,236,FAM,#NAME?,FALSE,J20,0,FAM,JG074D.236,UNKNOWN,,11.776307,466,50,0.8804107219966083,2.038996934890747,3162,1000000,100000000,3.499961866,6,8,0.8088468540047289
468,JG074D,237,FAM,#NAME?,FALSE,J21,0,FAM,JG074D.237,UNKNOWN,,7.582932,468,50,0.649573756,1.6353520154953003,3162,100000000,100,3.499961866,8,2,0.17298483675437126
470,JG074D,238,FAM,#NAME?,FALSE,J22,0,FAM,JG074D.238,UNKNOWN,,7.604378,470,50,0.880978007,2.2039148807525635,3162,100000000,10000,3.499961866,8,4,0.532161756
472,JG074D,239,FAM,#NAME?,FALSE,J23,0,FAM,JG074D.239,UNKNOWN,,7.5029163,472,50,0.9814690489122213,2.4535086154937744,3162,100000000,100000,3.499961866,8,5,0.8618703915038752
474,JG074D,240,FAM,#NAME?,FALSE,J24,0,FAM,JG074D.240,UNKNOWN,,7.513224,474,50,0.9923138269121953,2.479384660720825,3162,100000000,1000000,3.499961866,8,6,0.9314648883636681
476,JG074D,241,FAM,#NAME?,FALSE,K1,0,FAM,JG074D.241,UNKNOWN,,17.955606,476,50,0.504750466,1.169734239578247,1000,100,100,3,2,2,0.066549141
478,JG074D,242,FAM,#NAME?,FALSE,K2,0,FAM,JG074D.242,UNKNOWN,,16.032896,478,50,0.8382949079455564,1.9944722652435303,1000,100,10000,3,2,4,0.6110859580941618
480,JG074D,243,FAM,#NAME?,FALSE,K3,0,FAM,JG074D.243,UNKNOWN,,16.551071,480,50,0.841128026,1.9955683946609497,1000,100,100000,3,2,5,0.7533074301283388
482,JG074D,244,FAM,#NAME?,FALSE,K4,0,FAM,JG074D.244,UNKNOWN,,16.099098,482,50,0.8660820796527493,2.0365569591522217,1000,100,1000000,3,2,6,0.7982019938348176
484,JG074D,245,FAM,#NAME?,FALSE,K5,0,FAM,JG074D.245,UNKNOWN,,12.19365,484,50,0.8552704632371971,1.972112774848938,1000,100,100000000,3,2,8,0.7616763058338966
486,JG074D,246,FAM,#NAME?,FALSE,K6,0,FAM,JG074D.246,UNKNOWN,,17.793777,486,50,0.5701771520946208,1.3290481567382812,1000,10000,100,3,4,2,0.17141540757867385
488,JG074D,247,FAM,#NAME?,FALSE,K7,0,FAM,JG074D.247,UNKNOWN,,16.11728,488,50,0.8472204420030955,1.980409026145935,1000,10000,10000,3,4,4,0.6081935681661781
490,JG074D,248,FAM,#NAME?,FALSE,K8,0,FAM,JG074D.248,UNKNOWN,,16.34481,490,50,0.8918936168064299,2.095226764678955,1000,10000,100000,3,4,5,0.8178032423119973
492,JG074D,249,FAM,#NAME?,FALSE,K9,0,FAM,JG074D.249,UNKNOWN,,16.20353,492,50,0.8691173780453626,2.0307934284210205,1000,10000,1000000,3,4,6,0.8168169495283071
494,JG074D,250,FAM,#NAME?,FALSE,K10,0,FAM,JG074D.250,UNKNOWN,,12.190783,494,50,0.8368649167550469,1.9198050498962402,1000,10000,100000000,3,4,8,0.7490719931319838
496,JG074D,251,FAM,#NAME?,FALSE,K11,0,FAM,JG074D.251,UNKNOWN,,16.94952,496,50,0.508475291,1.1618276834487915,1000,100000,100,3,5,2,0.075570712
498,JG074D,252,FAM,#NAME?,FALSE,K12,0,FAM,JG074D.252,UNKNOWN,,15.901929,498,50,0.8322131188413452,1.946798324584961,1000,100000,10000,3,5,4,0.6010842817557237
500,JG074D,253,FAM,#NAME?,FALSE,K13,0,FAM,JG074D.253,UNKNOWN,,15.966334,500,50,0.8573024520187915,2.0023725032806396,1000,100000,100000,3,5,5,0.7828452220886253
502,JG074D,254,FAM,#NAME?,FALSE,K14,0,FAM,JG074D.254,UNKNOWN,,15.56268,502,50,0.9026127719028024,2.134321451187134,1000,100000,1000000,3,5,6,0.8481504061309046
504,JG074D,255,FAM,#NAME?,FALSE,K15,0,FAM,JG074D.255,UNKNOWN,,12.045077,504,50,0.8847476068929337,2.0536766052246094,1000,100000,100000000,3,5,8,0.8237987402368618
506,JG074D,256,FAM,#NAME?,FALSE,K16,0,FAM,JG074D.256,UNKNOWN,,13.543931,506,50,0.6236730971847613,1.4381904602050781,1000,1000000,100,3,6,2,0.1819840090313916
508,JG074D,257,FAM,#NAME?,FALSE,K17,0,FAM,JG074D.257,UNKNOWN,,13.868527,508,50,0.8871747028777748,2.094606637954712,1000,1000000,10000,3,6,4,0.6910713873191022
510,JG074D,258,FAM,#NAME?,FALSE,K18,0,FAM,JG074D.258,UNKNOWN,,14.066859,510,50,0.9177390992948932,2.1350021362304688,1000,1000000,100000,3,6,5,0.8404306665763499
512,JG074D,259,FAM,#NAME?,FALSE,K19,0,FAM,JG074D.259,UNKNOWN,,14.04364,512,50,0.8870962581076037,2.0644447803497314,1000,1000000,1000000,3,6,6,0.837936845
514,JG074D,260,FAM,#NAME?,FALSE,K20,0,FAM,JG074D.260,UNKNOWN,,11.855009,514,50,0.8928772553445593,2.063605308532715,1000,1000000,100000000,3,6,8,0.8350285249120853
516,JG074D,261,FAM,#NAME?,FALSE,K21,0,FAM,JG074D.261,UNKNOWN,,7.577499,516,50,0.7606560893425931,1.908516764640808,1000,100000000,100,3,8,2,0.3367216909377972
518,JG074D,262,FAM,#NAME?,FALSE,K22,0,FAM,JG074D.262,UNKNOWN,,7.550929,518,50,0.894103612,2.2363367080688477,1000,100000000,10000,3,8,4,0.6807256528553538
520,JG074D,263,FAM,#NAME?,FALSE,K23,0,FAM,JG074D.263,UNKNOWN,,7.636566,520,50,0.936675671,2.3399293422698975,1000,100000000,100000,3,8,5,0.8429280949715587
522,JG074D,264,FAM,#NAME?,FALSE,K24,0,FAM,JG074D.264,UNKNOWN,,7.6145287,522,50,0.9711694276526857,2.4253573417663574,1000,100000000,1000000,3,8,6,0.9095893984229944
524,JG074D,265,FAM,#NAME?,FALSE,L1,0,FAM,JG074D.265,UNKNOWN,,17.827524,524,50,0.6367952763665905,1.4948253631591797,316,100,100,2.499687082618404,2,2,0.24250067414308396
