,Experiment,Well,Target,lg10_Copies,Outlier,WellPosition,Copies,Reporter,Sample,Task,Comments,CT,Reaction,L2_500,S037.01.01b,S036.1b,lg10 L2_500,lg10 S037.01.01b,lg10 S036.1b,Cycle,Fluorescence,Corr_Fluorescence,FAM-HEX
64,JG074C,34,FAM,#NAME?,FALSE,B10,0,FAM,JG074C.034,UNKNOWN,,14.839334,66,31622776,10000,100000000,7.499999991736717,4,8,50,0.17640902950127765,0.309040904,-0.786818673
66,JG074C,35,FAM,#NAME?,FALSE,B11,0,FAM,JG074C.035,UNKNOWN,,11.874481,68,31622776,100000,100,7.499999991736717,5,2,50,0.5720176393036026,1.214069128036499,0.13437946884990037
68,JG074C,36,FAM,#NAME?,FALSE,B12,0,FAM,JG074C.036,UNKNOWN,,11.912149,70,31622776,100000,10000,7.499999991736717,5,4,50,0.6265550168847528,1.330765724182129,0.20653348735889193
70,JG074C,37,FAM,#NAME?,FALSE,B13,0,FAM,JG074C.037,UNKNOWN,,11.983538,72,31622776,100000,100000,7.499999991736717,5,5,50,0.609596382,1.2816239595413208,0.18234590634446401
72,JG074C,38,FAM,#NAME?,FALSE,B14,0,FAM,JG074C.038,UNKNOWN,,11.927616,74,31622776,100000,1000000,7.499999991736717,5,6,50,0.6125195050759679,1.2939670085906982,0.1070549862717588
74,JG074C,39,FAM,#NAME?,FALSE,B15,0,FAM,JG074C.039,UNKNOWN,,14.515905,76,31622776,100000,100000000,7.499999991736717,5,8,50,0.20489871544264054,0.3650989532470703,-0.795101285
76,JG074C,40,FAM,#NAME?,FALSE,B16,0,FAM,JG074C.040,UNKNOWN,,11.772091,78,31622776,1000000,100,7.499999991736717,6,2,50,0.6404856726380114,1.3976017236709595,0.20685073298837037
78,JG074C,41,FAM,#NAME?,FALSE,B17,0,FAM,JG074C.041,UNKNOWN,,11.884796,80,31622776,1000000,10000,7.499999991736717,6,4,50,0.68953575,1.4626797437667847,0.298145013
80,JG074C,42,FAM,#NAME?,FALSE,B18,0,FAM,JG074C.042,UNKNOWN,,11.4968405,82,31622776,1000000,100000,7.499999991736717,6,5,50,0.6499819220857549,1.4024630784988403,0.2356395996131641
82,JG074C,43,FAM,#NAME?,FALSE,B19,0,FAM,JG074C.043,UNKNOWN,,11.88262,84,31622776,1000000,1000000,7.499999991736717,6,6,50,0.659644446,1.4064538478851318,0.17273608975444044
84,JG074C,44,FAM,#NAME?,FALSE,B20,0,FAM,JG074C.044,UNKNOWN,,14.462471,86,31622776,1000000,100000000,7.499999991736717,6,8,50,0.275665755,0.49565544724464417,-0.647239246
86,JG074C,46,FAM,#NAME?,FALSE,B22,0,FAM,JG074C.046,UNKNOWN,,8.937183,90,31622776,100000000,10000,7.499999991736717,8,4,50,0.8528498287246206,1.790501356124878,0.5627467
88,JG074C,47,FAM,#NAME?,FALSE,B23,0,FAM,JG074C.047,UNKNOWN,,7.9451003,92,31622776,100000000,100000,7.499999991736717,8,5,50,0.8481038970539613,2.0107204914093018,0.5686509752191784
90,JG074C,48,FAM,#NAME?,FALSE,B24,0,FAM,JG074C.048,UNKNOWN,,7.988505,94,31622776,100000000,1000000,7.499999991736717,8,6,50,0.8424547788594142,1.9972587823867798,0.46899208468542547
92,JG074C,49,FAM,#NAME?,FALSE,C1,0,FAM,JG074C.049,UNKNOWN,,13.536825,96,10000000,100,100,7,2,2,50,0.5959116648388562,1.2917308807373047,0.20347252620473627
94,JG074C,50,FAM,#NAME?,FALSE,C2,0,FAM,JG074C.050,UNKNOWN,,12.999003,98,10000000,100,10000,7,2,4,50,0.6786104524142593,1.5032981634140015,0.3140440194252089
96,JG074C,51,FAM,#NAME?,FALSE,C3,0,FAM,JG074C.051,UNKNOWN,,13.129547,100,10000000,100,100000,7,2,5,50,0.6289670128379067,1.3726160526275635,0.24156061514302818
98,JG074C,52,FAM,#NAME?,FALSE,C4,0,FAM,JG074C.052,UNKNOWN,,13.228184,102,10000000,100,1000000,7,2,6,50,0.6172924593790001,1.3328596353530884,0.075684375
100,JG074C,53,FAM,#NAME?,FALSE,C5,0,FAM,JG074C.053,UNKNOWN,,24.174774,104,10000000,100,100000000,7,2,8,50,0.12554641046864254,0.18414275348186493,-0.748538338
102,JG074C,54,FAM,#NAME?,FALSE,C6,0,FAM,JG074C.054,UNKNOWN,,13.382275,106,10000000,10000,100,7,4,2,50,0.5992081560495525,1.278137207,0.17537800006756316
104,JG074C,55,FAM,#NAME?,FALSE,C7,0,FAM,JG074C.055,UNKNOWN,,13.033225,108,10000000,10000,10000,7,4,4,50,0.6655540214654068,1.4400291442871094,0.2690974481173059
106,JG074C,56,FAM,#NAME?,FALSE,C8,0,FAM,JG074C.056,UNKNOWN,,13.278956,110,10000000,10000,100000,7,4,5,50,0.6686047661291636,1.4461342096328735,0.2579358898998234
108,JG074C,57,FAM,#NAME?,FALSE,C9,0,FAM,JG074C.057,UNKNOWN,,13.214473,112,10000000,10000,1000000,7,4,6,50,0.6490757183167701,1.4083939790725708,0.06522122
110,JG074C,58,FAM,#NAME?,FALSE,C10,0,FAM,JG074C.058,UNKNOWN,,24.577412,114,10000000,10000,100000000,7,4,8,50,0.11179127883593439,0.17701052129268646,-0.774602314
112,JG074C,59,FAM,#NAME?,FALSE,C11,0,FAM,JG074C.059,UNKNOWN,,13.396061,116,10000000,100000,100,7,5,2,50,0.582022136,1.2536118030548096,0.17029422918553777
114,JG074C,60,FAM,#NAME?,FALSE,C12,0,FAM,JG074C.060,UNKNOWN,,13.259228,118,10000000,100000,10000,7,5,4,50,0.6422272779401847,1.3666561841964722,0.2502080767962632
116,JG074C,61,FAM,#NAME?,FALSE,C13,0,FAM,JG074C.061,UNKNOWN,,13.306007,120,10000000,100000,100000,7,5,5,50,0.6336464772665197,1.3552021980285645,0.229187956
118,JG074C,62,FAM,#NAME?,FALSE,C14,0,FAM,JG074C.062,UNKNOWN,,13.28832,122,10000000,100000,1000000,7,5,6,50,0.6200588610370953,1.3345608711242676,0.062472295588044346
120,JG074C,63,FAM,#NAME?,FALSE,C15,0,FAM,JG074C.063,UNKNOWN,,21.000938,124,10000000,100000,100000000,7,5,8,50,0.1510566986514879,0.23994673788547516,-0.741131378
122,JG074C,64,FAM,#NAME?,FALSE,C16,0,FAM,JG074C.064,UNKNOWN,,13.142442,126,10000000,1000000,100,7,6,2,50,0.6836778221144738,1.4666283130645752,0.291325662
124,JG074C,65,FAM,#NAME?,FALSE,C17,0,FAM,JG074C.065,UNKNOWN,,12.854555,128,10000000,1000000,10000,7,6,4,50,0.7241078106875964,1.562652826309204,0.35650568871311555
126,JG074C,66,FAM,#NAME?,FALSE,C18,0,FAM,JG074C.066,UNKNOWN,,12.692376,130,10000000,1000000,100000,7,6,5,50,0.6845793474764235,1.4911997318267822,0.29517895841186637
128,JG074C,67,FAM,#NAME?,FALSE,C19,0,FAM,JG074C.067,UNKNOWN,,12.998582,132,10000000,1000000,1000000,7,6,6,50,0.6630783327300973,1.4232077598571777,0.12429407812345528
130,JG074C,68,FAM,#NAME?,FALSE,C20,0,FAM,JG074C.068,UNKNOWN,,16.11523,134,10000000,1000000,100000000,7,6,8,50,0.24472682511382954,0.4850473403930664,-0.581220695
132,JG074C,70,FAM,#NAME?,FALSE,C22,0,FAM,JG074C.070,UNKNOWN,,9.012117,138,10000000,100000000,10000,7,8,4,50,0.8847514294777659,1.9173389673233032,0.6367570526749946
134,JG074C,71,FAM,#NAME?,FALSE,C23,0,FAM,JG074C.071,UNKNOWN,,8.173166,140,10000000,100000000,100000,7,8,5,50,0.8737356577035267,2.0669047832489014,0.6184405733476142
136,JG074C,72,FAM,#NAME?,FALSE,C24,0,FAM,JG074C.072,UNKNOWN,,8.883077,142,10000000,100000000,1000000,7,8,6,50,0.8914685789622147,1.8735876083374023,0.46707694576920517
138,JG074C,73,FAM,#NAME?,FALSE,D1,0,FAM,JG074C.073,UNKNOWN,,14.366708,144,3162277,100,100,6.4999999093351235,2,2,50,0.6298987793334844,1.388305425643921,0.2601427268235985
140,JG074C,74,FAM,#NAME?,FALSE,D2,0,FAM,JG074C.074,UNKNOWN,,13.74541,146,3162277,100,10000,6.4999999093351235,2,4,50,0.6777401968285224,1.525183916091919,0.3488031321931867
142,JG074C,75,FAM,#NAME?,FALSE,D3,0,FAM,JG074C.075,UNKNOWN,,14.112657,148,3162277,100,100000,6.4999999093351235,2,5,50,0.6606383637682692,1.4375089406967163,0.26695532278292217
144,JG074C,76,FAM,#NAME?,FALSE,D4,0,FAM,JG074C.076,UNKNOWN,,14.125993,150,3162277,100,1000000,6.4999999093351235,2,6,50,0.6326793407998303,1.388266682624817,0.034089471457774856
146,JG074C,77,FAM,#NAME?,FALSE,D5,0,FAM,JG074C.077,UNKNOWN,,22.695717,152,3162277,100,100000000,6.4999999093351235,2,8,50,0.11569992099897168,0.24351517856121063,-0.720903168
