WT_lg10_Copies,SNV_lg10_Copies,Blocker μM,Well,WellName,Sample,Blocker
1,-2,0.0,1,A1,JG075F_001,L-MMMMx
1,1,0.0,2,A2,JG075F_002,L-MMMMx
1,2,0.0,3,A3,JG075F_003,L-MMMMx
1,3,0.0,4,A4,JG075F_004,L-MMMMx
1,4,0.0,5,A5,JG075F_005,L-MMMMx
1,5,0.0,6,A6,JG075F_006,L-MMMMx
1,6,0.0,7,A7,JG075F_007,L-MMMMx
1,7,0.0,8,A8,JG075F_008,L-MMMMx
1,-2,0.1,9,A9,JG075F_009,L-MMMMx
1,1,0.1,10,A10,JG075F_010,L-MMMMx
1,2,0.1,11,A11,JG075F_011,L-MMMMx
1,3,0.1,12,A12,JG075F_012,L-MMMMx
1,4,0.1,13,A13,JG075F_013,L-MMMMx
1,5,0.1,14,A14,JG075F_014,L-MMMMx
1,6,0.1,15,A15,JG075F_015,L-MMMMx
1,7,0.1,16,A16,JG075F_016,L-MMMMx
1,-2,0.31622776601683794,17,A17,JG075F_017,L-MMMMx
1,1,0.31622776601683794,18,A18,JG075F_018,L-MMMMx
1,2,0.31622776601683794,19,A19,JG075F_019,L-MMMMx
1,3,0.31622776601683794,20,A20,JG075F_020,L-MMMMx
1,4,0.31622776601683794,21,A21,JG075F_021,L-MMMMx
1,5,0.31622776601683794,22,A22,JG075F_022,L-MMMMx
1,6,0.31622776601683794,23,A23,JG075F_023,L-MMMMx
1,7,0.31622776601683794,24,A24,JG075F_024,L-MMMMx
2,-2,0.0,25,B1,JG075F_025,L-MMMMx
2,1,0.0,26,B2,JG075F_026,L-MMMMx
2,2,0.0,27,B3,JG075F_027,L-MMMMx
2,3,0.0,28,B4,JG075F_028,L-MMMMx
2,4,0.0,29,B5,JG075F_029,L-MMMMx
2,5,0.0,30,B6,JG075F_030,L-MMMMx
2,6,0.0,31,B7,JG075F_031,L-MMMMx
2,7,0.0,32,B8,JG075F_032,L-MMMMx
2,-2,0.1,33,B9,JG075F_033,L-MMMMx
2,1,0.1,34,B10,JG075F_034,L-MMMMx
2,2,0.1,35,B11,JG075F_035,L-MMMMx
2,3,0.1,36,B12,JG075F_036,L-MMMMx
2,4,0.1,37,B13,JG075F_037,L-MMMMx
2,5,0.1,38,B14,JG075F_038,L-MMMMx
2,6,0.1,39,B15,JG075F_039,L-MMMMx
2,7,0.1,40,B16,JG075F_040,L-MMMMx
2,-2,0.31622776601683794,41,B17,JG075F_041,L-MMMMx
2,1,0.31622776601683794,42,B18,JG075F_042,L-MMMMx
2,2,0.31622776601683794,43,B19,JG075F_043,L-MMMMx
2,3,0.31622776601683794,44,B20,JG075F_044,L-MMMMx
2,4,0.31622776601683794,45,B21,JG075F_045,L-MMMMx
2,5,0.31622776601683794,46,B22,JG075F_046,L-MMMMx
2,6,0.31622776601683794,47,B23,JG075F_047,L-MMMMx
2,7,0.31622776601683794,48,B24,JG075F_048,L-MMMMx
3,-2,0.0,49,C1,JG075F_049,L-MMMMx
3,1,0.0,50,C2,JG075F_050,L-MMMMx
3,2,0.0,51,C3,JG075F_051,L-MMMMx
3,3,0.0,52,C4,JG075F_052,L-MMMMx
3,4,0.0,53,C5,JG075F_053,L-MMMMx
3,5,0.0,54,C6,JG075F_054,L-MMMMx
3,6,0.0,55,C7,JG075F_055,L-MMMMx
3,7,0.0,56,C8,JG075F_056,L-MMMMx
3,-2,0.1,57,C9,JG075F_057,L-MMMMx
3,1,0.1,58,C10,JG075F_058,L-MMMMx
3,2,0.1,59,C11,JG075F_059,L-MMMMx
3,3,0.1,60,C12,JG075F_060,L-MMMMx
3,4,0.1,61,C13,JG075F_061,L-MMMMx
3,5,0.1,62,C14,JG075F_062,L-MMMMx
3,6,0.1,63,C15,JG075F_063,L-MMMMx
3,7,0.1,64,C16,JG075F_064,L-MMMMx
3,-2,0.31622776601683794,65,C17,JG075F_065,L-MMMMx
3,1,0.31622776601683794,66,C18,JG075F_066,L-MMMMx
3,2,0.31622776601683794,67,C19,JG075F_067,L-MMMMx
3,3,0.31622776601683794,68,C20,JG075F_068,L-MMMMx
3,4,0.31622776601683794,69,C21,JG075F_069,L-MMMMx
3,5,0.31622776601683794,70,C22,JG075F_070,L-MMMMx
3,6,0.31622776601683794,71,C23,JG075F_071,L-MMMMx
3,7,0.31622776601683794,72,C24,JG075F_072,L-MMMMx
4,-2,0.0,73,D1,JG075F_073,L-MMMMx
4,1,0.0,74,D2,JG075F_074,L-MMMMx
4,2,0.0,75,D3,JG075F_075,L-MMMMx
4,3,0.0,76,D4,JG075F_076,L-MMMMx
4,4,0.0,77,D5,JG075F_077,L-MMMMx
4,5,0.0,78,D6,JG075F_078,L-MMMMx
4,6,0.0,79,D7,JG075F_079,L-MMMMx
4,7,0.0,80,D8,JG075F_080,L-MMMMx
4,-2,0.1,81,D9,JG075F_081,L-MMMMx
4,1,0.1,82,D10,JG075F_082,L-MMMMx
4,2,0.1,83,D11,JG075F_083,L-MMMMx
4,3,0.1,84,D12,JG075F_084,L-MMMMx
4,4,0.1,85,D13,JG075F_085,L-MMMMx
4,5,0.1,86,D14,JG075F_086,L-MMMMx
4,6,0.1,87,D15,JG075F_087,L-MMMMx
4,7,0.1,88,D16,JG075F_088,L-MMMMx
4,-2,0.31622776601683794,89,D17,JG075F_089,L-MMMMx
4,1,0.31622776601683794,90,D18,JG075F_090,L-MMMMx
4,2,0.31622776601683794,91,D19,JG075F_091,L-MMMMx
4,3,0.31622776601683794,92,D20,JG075F_092,L-MMMMx
4,4,0.31622776601683794,93,D21,JG075F_093,L-MMMMx
4,5,0.31622776601683794,94,D22,JG075F_094,L-MMMMx
4,6,0.31622776601683794,95,D23,JG075F_095,L-MMMMx
4,7,0.31622776601683794,96,D24,JG075F_096,L-MMMMx
5,-2,0.0,97,E1,JG075F_097,L-MMMMx
5,1,0.0,98,E2,JG075F_098,L-MMMMx
5,2,0.0,99,E3,JG075F_099,L-MMMMx
5,3,0.0,100,E4,JG075F_100,L-MMMMx
5,4,0.0,101,E5,JG075F_101,L-MMMMx
5,5,0.0,102,E6,JG075F_102,L-MMMMx
5,6,0.0,103,E7,JG075F_103,L-MMMMx
5,7,0.0,104,E8,JG075F_104,L-MMMMx
5,-2,0.1,105,E9,JG075F_105,L-MMMMx
5,1,0.1,106,E10,JG075F_106,L-MMMMx
5,2,0.1,107,E11,JG075F_107,L-MMMMx
5,3,0.1,108,E12,JG075F_108,L-MMMMx
5,4,0.1,109,E13,JG075F_109,L-MMMMx
5,5,0.1,110,E14,JG075F_110,L-MMMMx
5,6,0.1,111,E15,JG075F_111,L-MMMMx
5,7,0.1,112,E16,JG075F_112,L-MMMMx
5,-2,0.31622776601683794,113,E17,JG075F_113,L-MMMMx
5,1,0.31622776601683794,114,E18,JG075F_114,L-MMMMx
5,2,0.31622776601683794,115,E19,JG075F_115,L-MMMMx
5,3,0.31622776601683794,116,E20,JG075F_116,L-MMMMx
5,4,0.31622776601683794,117,E21,JG075F_117,L-MMMMx
5,5,0.31622776601683794,118,E22,JG075F_118,L-MMMMx
5,6,0.31622776601683794,119,E23,JG075F_119,L-MMMMx
5,7,0.31622776601683794,120,E24,JG075F_120,L-MMMMx
6,-2,0.0,121,F1,JG075F_121,L-MMMMx
6,1,0.0,122,F2,JG075F_122,L-MMMMx
6,2,0.0,123,F3,JG075F_123,L-MMMMx
6,3,0.0,124,F4,JG075F_124,L-MMMMx
6,4,0.0,125,F5,JG075F_125,L-MMMMx
6,5,0.0,126,F6,JG075F_126,L-MMMMx
6,6,0.0,127,F7,JG075F_127,L-MMMMx
6,7,0.0,128,F8,JG075F_128,L-MMMMx
6,-2,0.1,129,F9,JG075F_129,L-MMMMx
6,1,0.1,130,F10,JG075F_130,L-MMMMx
6,2,0.1,131,F11,JG075F_131,L-MMMMx
6,3,0.1,132,F12,JG075F_132,L-MMMMx
6,4,0.1,133,F13,JG075F_133,L-MMMMx
6,5,0.1,134,F14,JG075F_134,L-MMMMx
6,6,0.1,135,F15,JG075F_135,L-MMMMx
6,7,0.1,136,F16,JG075F_136,L-MMMMx
6,-2,0.31622776601683794,137,F17,JG075F_137,L-MMMMx
6,1,0.31622776601683794,138,F18,JG075F_138,L-MMMMx
6,2,0.31622776601683794,139,F19,JG075F_139,L-MMMMx
6,3,0.31622776601683794,140,F20,JG075F_140,L-MMMMx
6,4,0.31622776601683794,141,F21,JG075F_141,L-MMMMx
6,5,0.31622776601683794,142,F22,JG075F_142,L-MMMMx
6,6,0.31622776601683794,143,F23,JG075F_143,L-MMMMx
6,7,0.31622776601683794,144,F24,JG075F_144,L-MMMMx
7,-2,0.0,145,G1,JG075F_145,L-MMMMx
7,1,0.0,146,G2,JG075F_146,L-MMMMx
7,2,0.0,147,G3,JG075F_147,L-MMMMx
7,3,0.0,148,G4,JG075F_148,L-MMMMx
7,4,0.0,149,G5,JG075F_149,L-MMMMx
7,5,0.0,150,G6,JG075F_150,L-MMMMx
7,6,0.0,151,G7,JG075F_151,L-MMMMx
7,7,0.0,152,G8,JG075F_152,L-MMMMx
7,-2,0.1,153,G9,JG075F_153,L-MMMMx
7,1,0.1,154,G10,JG075F_154,L-MMMMx
7,2,0.1,155,G11,JG075F_155,L-MMMMx
7,3,0.1,156,G12,JG075F_156,L-MMMMx
7,4,0.1,157,G13,JG075F_157,L-MMMMx
7,5,0.1,158,G14,JG075F_158,L-MMMMx
7,6,0.1,159,G15,JG075F_159,L-MMMMx
7,7,0.1,160,G16,JG075F_160,L-MMMMx
7,-2,0.31622776601683794,161,G17,JG075F_161,L-MMMMx
7,1,0.31622776601683794,162,G18,JG075F_162,L-MMMMx
7,2,0.31622776601683794,163,G19,JG075F_163,L-MMMMx
7,3,0.31622776601683794,164,G20,JG075F_164,L-MMMMx
7,4,0.31622776601683794,165,G21,JG075F_165,L-MMMMx
7,5,0.31622776601683794,166,G22,JG075F_166,L-MMMMx
7,6,0.31622776601683794,167,G23,JG075F_167,L-MMMMx
7,7,0.31622776601683794,168,G24,JG075F_168,L-MMMMx
8,-2,0.0,169,H1,JG075F_169,L-MMMMx
8,1,0.0,170,H2,JG075F_170,L-MMMMx
8,2,0.0,171,H3,JG075F_171,L-MMMMx
8,3,0.0,172,H4,JG075F_172,L-MMMMx
8,4,0.0,173,H5,JG075F_173,L-MMMMx
8,5,0.0,174,H6,JG075F_174,L-MMMMx
8,6,0.0,175,H7,JG075F_175,L-MMMMx
8,7,0.0,176,H8,JG075F_176,L-MMMMx
8,-2,0.1,177,H9,JG075F_177,L-MMMMx
8,1,0.1,178,H10,JG075F_178,L-MMMMx
8,2,0.1,179,H11,JG075F_179,L-MMMMx
8,3,0.1,180,H12,JG075F_180,L-MMMMx
8,4,0.1,181,H13,JG075F_181,L-MMMMx
8,5,0.1,182,H14,JG075F_182,L-MMMMx
8,6,0.1,183,H15,JG075F_183,L-MMMMx
8,7,0.1,184,H16,JG075F_184,L-MMMMx
8,-2,0.31622776601683794,185,H17,JG075F_185,L-MMMMx
8,1,0.31622776601683794,186,H18,JG075F_186,L-MMMMx
8,2,0.31622776601683794,187,H19,JG075F_187,L-MMMMx
8,3,0.31622776601683794,188,H20,JG075F_188,L-MMMMx
8,4,0.31622776601683794,189,H21,JG075F_189,L-MMMMx
8,5,0.31622776601683794,190,H22,JG075F_190,L-MMMMx
8,6,0.31622776601683794,191,H23,JG075F_191,L-MMMMx
8,7,0.31622776601683794,192,H24,JG075F_192,L-MMMMx
1,-2,1.0,193,I1,JG075F_193,L-MMMMx
1,1,1.0,194,I2,JG075F_194,L-MMMMx
1,2,1.0,195,I3,JG075F_195,L-MMMMx
1,3,1.0,196,I4,JG075F_196,L-MMMMx
1,4,1.0,197,I5,JG075F_197,L-MMMMx
1,5,1.0,198,I6,JG075F_198,L-MMMMx
1,6,1.0,199,I7,JG075F_199,L-MMMMx
1,7,1.0,200,I8,JG075F_200,L-MMMMx
1,-2,3.1622776601683795,201,I9,JG075F_201,L-MMMMx
1,1,3.1622776601683795,202,I10,JG075F_202,L-MMMMx
1,2,3.1622776601683795,203,I11,JG075F_203,L-MMMMx
1,3,3.1622776601683795,204,I12,JG075F_204,L-MMMMx
1,4,3.1622776601683795,205,I13,JG075F_205,L-MMMMx
1,5,3.1622776601683795,206,I14,JG075F_206,L-MMMMx
1,6,3.1622776601683795,207,I15,JG075F_207,L-MMMMx
1,7,3.1622776601683795,208,I16,JG075F_208,L-MMMMx
1,-2,10.0,209,I17,JG075F_209,L-MMMMx
