* Instrument Type = QuantStudio 6
* Passive Reference = ROX
[Sample Setup]
Well	Target Name	Sample Name	Reporter	Quantity	Quencher	Task
99	HEX	JG075E_099	HEX		None	UNKNOWN
100	FAM	JG075E_100	FAM		None	UNKNOWN
100	HEX	JG075E_100	HEX		None	UNKNOWN
101	FAM	JG075E_101	FAM		None	UNKNOWN
101	HEX	JG075E_101	HEX		None	UNKNOWN
102	FAM	JG075E_102	FAM		None	UNKNOWN
102	HEX	JG075E_102	HEX		None	UNKNOWN
103	FAM	JG075E_103	FAM		None	UNKNOWN
103	HEX	JG075E_103	HEX		None	UNKNOWN
104	FAM	JG075E_104	FAM		None	UNKNOWN
104	HEX	JG075E_104	HEX		None	UNKNOWN
105	FAM	JG075E_105	FAM		None	UNKNOWN
105	HEX	JG075E_105	HEX		None	UNKNOWN
106	FAM	JG075E_106	FAM		None	UNKNOWN
106	HEX	JG075E_106	HEX		None	UNKNOWN
107	FAM	JG075E_107	FAM		None	UNKNOWN
107	HEX	JG075E_107	HEX		None	UNKNOWN
108	FAM	JG075E_108	FAM		None	UNKNOWN
108	HEX	JG075E_108	HEX		None	UNKNOWN
109	FAM	JG075E_109	FAM		None	UNKNOWN
109	HEX	JG075E_109	HEX		None	UNKNOWN
110	FAM	JG075E_110	FAM		None	UNKNOWN
110	HEX	JG075E_110	HEX		None	UNKNOWN
111	FAM	JG075E_111	FAM		None	UNKNOWN
111	HEX	JG075E_111	HEX		None	UNKNOWN
112	FAM	JG075E_112	FAM		None	UNKNOWN
112	HEX	JG075E_112	HEX		None	UNKNOWN
113	FAM	JG075E_113	FAM		None	UNKNOWN
113	HEX	JG075E_113	HEX		None	UNKNOWN
114	FAM	JG075E_114	FAM		None	UNKNOWN
114	HEX	JG075E_114	HEX		None	UNKNOWN
115	FAM	JG075E_115	FAM		None	UNKNOWN
115	HEX	JG075E_115	HEX		None	UNKNOWN
116	FAM	JG075E_116	FAM		None	UNKNOWN
116	HEX	JG075E_116	HEX		None	UNKNOWN
117	FAM	JG075E_117	FAM		None	UNKNOWN
117	HEX	JG075E_117	HEX		None	UNKNOWN
118	FAM	JG075E_118	FAM		None	UNKNOWN
118	HEX	JG075E_118	HEX		None	UNKNOWN
119	FAM	JG075E_119	FAM		None	UNKNOWN
119	HEX	JG075E_119	HEX		None	UNKNOWN
120	FAM	JG075E_120	FAM		None	UNKNOWN
120	HEX	JG075E_120	HEX		None	UNKNOWN
121	FAM	JG075E_121	FAM		None	UNKNOWN
