* Instrument Type = QuantStudio 6
* Passive Reference = ROX
[Sample Setup]
Well	Target Name	Sample Name	Reporter	Quantity	Quencher	Task
51	HEX	JG075D_051	HEX		None	UNKNOWN
52	FAM	JG075D_052	FAM		None	UNKNOWN
52	HEX	JG075D_052	HEX		None	UNKNOWN
53	FAM	JG075D_053	FAM		None	UNKNOWN
53	HEX	JG075D_053	HEX		None	UNKNOWN
54	FAM	JG075D_054	FAM		None	UNKNOWN
54	HEX	JG075D_054	HEX		None	UNKNOWN
55	FAM	JG075D_055	FAM		None	UNKNOWN
55	HEX	JG075D_055	HEX		None	UNKNOWN
56	FAM	JG075D_056	FAM		None	UNKNOWN
56	HEX	JG075D_056	HEX		None	UNKNOWN
57	FAM	JG075D_057	FAM		None	UNKNOWN
57	HEX	JG075D_057	HEX		None	UNKNOWN
58	FAM	JG075D_058	FAM		None	UNKNOWN
58	HEX	JG075D_058	HEX		None	UNKNOWN
59	FAM	JG075D_059	FAM		None	UNKNOWN
59	HEX	JG075D_059	HEX		None	UNKNOWN
60	FAM	JG075D_060	FAM		None	UNKNOWN
60	HEX	JG075D_060	HEX		None	UNKNOWN
61	FAM	JG075D_061	FAM		None	UNKNOWN
61	HEX	JG075D_061	HEX		None	UNKNOWN
62	FAM	JG075D_062	FAM		None	UNKNOWN
62	HEX	JG075D_062	HEX		None	UNKNOWN
63	FAM	JG075D_063	FAM		None	UNKNOWN
63	HEX	JG075D_063	HEX		None	UNKNOWN
64	FAM	JG075D_064	FAM		None	UNKNOWN
64	HEX	JG075D_064	HEX		None	UNKNOWN
65	FAM	JG075D_065	FAM		None	UNKNOWN
65	HEX	JG075D_065	HEX		None	UNKNOWN
66	FAM	JG075D_066	FAM		None	UNKNOWN
66	HEX	JG075D_066	HEX		None	UNKNOWN
67	FAM	JG075D_067	FAM		None	UNKNOWN
67	HEX	JG075D_067	HEX		None	UNKNOWN
68	FAM	JG075D_068	FAM		None	UNKNOWN
68	HEX	JG075D_068	HEX		None	UNKNOWN
69	FAM	JG075D_069	FAM		None	UNKNOWN
69	HEX	JG075D_069	HEX		None	UNKNOWN
70	FAM	JG075D_070	FAM		None	UNKNOWN
70	HEX	JG075D_070	HEX		None	UNKNOWN
71	FAM	JG075D_071	FAM		None	UNKNOWN
71	HEX	JG075D_071	HEX		None	UNKNOWN
72	FAM	JG075D_072	FAM		None	UNKNOWN
72	HEX	JG075D_072	HEX		None	UNKNOWN
73	FAM	JG075D_073	FAM		None	UNKNOWN
73	HEX	JG075D_073	HEX		None	UNKNOWN
74	FAM	JG075D_074	FAM		None	UNKNOWN
74	HEX	JG075D_074	HEX		None	UNKNOWN
75	FAM	JG075D_075	FAM		None	UNKNOWN
75	HEX	JG075D_075	HEX		None	UNKNOWN
76	FAM	JG075D_076	FAM		None	UNKNOWN
76	HEX	JG075D_076	HEX		None	UNKNOWN
77	FAM	JG075D_077	FAM		None	UNKNOWN
77	HEX	JG075D_077	HEX		None	UNKNOWN
78	FAM	JG075D_078	FAM		None	UNKNOWN
78	HEX	JG075D_078	HEX		None	UNKNOWN
79	FAM	JG075D_079	FAM		None	UNKNOWN
79	HEX	JG075D_079	HEX		None	UNKNOWN
80	FAM	JG075D_080	FAM		None	UNKNOWN
80	HEX	JG075D_080	HEX		None	UNKNOWN
81	FAM	JG075D_081	FAM		None	UNKNOWN
81	HEX	JG075D_081	HEX		None	UNKNOWN
82	FAM	JG075D_082	FAM		None	UNKNOWN
82	HEX	JG075D_082	HEX		None	UNKNOWN
83	FAM	JG075D_083	FAM		None	UNKNOWN
83	HEX	JG075D_083	HEX		None	UNKNOWN
84	FAM	JG075D_084	FAM		None	UNKNOWN
84	HEX	JG075D_084	HEX		None	UNKNOWN
85	FAM	JG075D_085	FAM		None	UNKNOWN
85	HEX	JG075D_085	HEX		None	UNKNOWN
86	FAM	JG075D_086	FAM		None	UNKNOWN
86	HEX	JG075D_086	HEX		None	UNKNOWN
87	FAM	JG075D_087	FAM		None	UNKNOWN
87	HEX	JG075D_087	HEX		None	UNKNOWN
88	FAM	JG075D_088	FAM		None	UNKNOWN
88	HEX	JG075D_088	HEX		None	UNKNOWN
89	FAM	JG075D_089	FAM		None	UNKNOWN
89	HEX	JG075D_089	HEX		None	UNKNOWN
90	FAM	JG075D_090	FAM		None	UNKNOWN
90	HEX	JG075D_090	HEX		None	UNKNOWN
91	FAM	JG075D_091	FAM		None	UNKNOWN
91	HEX	JG075D_091	HEX		None	UNKNOWN
92	FAM	JG075D_092	FAM		None	UNKNOWN
92	HEX	JG075D_092	HEX		None	UNKNOWN
93	FAM	JG075D_093	FAM		None	UNKNOWN
93	HEX	JG075D_093	HEX		None	UNKNOWN
94	FAM	JG075D_094	FAM		None	UNKNOWN
94	HEX	JG075D_094	HEX		None	UNKNOWN
95	FAM	JG075D_095	FAM		None	UNKNOWN
95	HEX	JG075D_095	HEX		None	UNKNOWN
96	FAM	JG075D_096	FAM		None	UNKNOWN
96	HEX	JG075D_096	HEX		None	UNKNOWN
97	FAM	JG075D_097	FAM		None	UNKNOWN
97	HEX	JG075D_097	HEX		None	UNKNOWN
98	FAM	JG075D_098	FAM		None	UNKNOWN
98	HEX	JG075D_098	HEX		None	UNKNOWN
99	FAM	JG075D_099	FAM		None	UNKNOWN
99	HEX	JG075D_099	HEX		None	UNKNOWN
100	FAM	JG075D_100	FAM		None	UNKNOWN
100	HEX	JG075D_100	HEX		None	UNKNOWN
101	FAM	JG075D_101	FAM		None	UNKNOWN
101	HEX	JG075D_101	HEX		None	UNKNOWN
102	FAM	JG075D_102	FAM		None	UNKNOWN
102	HEX	JG075D_102	HEX		None	UNKNOWN
103	FAM	JG075D_103	FAM		None	UNKNOWN
103	HEX	JG075D_103	HEX		None	UNKNOWN
104	FAM	JG075D_104	FAM		None	UNKNOWN
104	HEX	JG075D_104	HEX		None	UNKNOWN
105	FAM	JG075D_105	FAM		None	UNKNOWN
