alias,science_submission,nature_submission,nature_revision,nature_final
sluggish_uakari,,,,
potent_viper,,,,
pungent_wombat,,,,
meager_xantus,,,,
plentiful_yabby,,,,
gigantic_zorilla,,,,
microscopic_anteater,,,,
vertical_bobcat,,,,
horizontal_catfish,,,,
lush_dragon,,,,
barren_eagle,,,,
curly_falcon,,,,
