,Target,PrimerPair,Reporter,Well,Copies,lg10_Copies,BP,GC,F0_lg,K,m,r,ρ,τ,,
366,S_PRDM1_WTa,FP003-RP003,HEX,191,25252525,5,97,0.5257731958762887,-4.581233634,0.5475642032849948,0.021581301,0.6340751447465682,0.26507500618135865,23.981281902062275,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Target,PrimerPair,Reporter,Well,Copies,,lg10_Copies,BP,GC,F0_lg,K,m,r,,_,_
94,S056.1.2,FP001-RP001x,EVAGREEN,327.5,2.53E+07,94,5,232,0.413793,-4.104233,2.016354,0.000368,0.697784,94,0.25166,19.45471
96,S056.1.3,FP001-RP001x,EVAGREEN,329.5,2.53E+07,96,5,272,0.672794,-4.078579,2.574892,0.006378,0.471963,96,0.340395,28.478773
98,S056.1.4,FP001-RP001x,EVAGREEN,331.5,2.53E+07,98,5,152,0.203947,-7.342124,1.329842,0.002739,0.793546,98,0.176256,30.707436
100,S056.1.5,FP001-RP001x,EVAGREEN,333.5,2.53E+07,100,5,49,0.755102,-6.200514,0.547536,0.002492,0.670672,100,0.226041,30.701569
102,S056.1.6,FP001-RP001x,EVAGREEN,335.5,2.53E+07,102,5,152,0.592105,-3.787128,1.699887,0.001366,0.580558,102,0.305601,21.4963
104,S056.1.7,FP001-RP001x,EVAGREEN,337.5,2.53E+07,104,5,84,0.797619,-6.26524,1.214778,0.004111,0.822078,104,0.177424,25.183434
106,S056.1.8,FP001-RP001x,EVAGREEN,339.5,2.53E+07,106,5,36,0.444444,-6.159535,0.688205,0.001154,0.939171,106,0.142213,21.803504
108,S056.1.9,FP001-RP001x,EVAGREEN,341.5,2.53E+07,108,5,80,0.425,-5.194314,0.929065,0.001102,0.865888,108,0.174752,19.921358
217,S067_0d89c8___Avg_0,FP001-RP001x,EVAGREEN,86,1.59E+07,217,5,45,0.466667,-7.216147,0.309301,0.000682,0.825678,217,0.166301,29.076713
218,S067_0d89c8___Avg_2,FP001-RP001x,EVAGREEN,90,1.39E+07,218,4.5,47,0.510638,-4.441605,0.27911,0.000396,0.595997,218,0.285673,26.543627
219,S067_0d89c8___Avg_3,FP001-RP001x,EVAGREEN,54,2.22E+07,219,6,74,0.256757,-6.019878,0.303179,0.000301,0.987548,219,0.127533,20.292553
220,S067_0d89c8___LVM_0,FP001-RP001x,EVAGREEN,278,1.59E+07,220,5,98,0.234694,-8.097614,0.441086,0.001136,0.910793,220,0.136572,29.506156
221,S067_0d89c8___LVM_1,FP001-RP001x,EVAGREEN,278,1.39E+07,221,4.5,182,0.21978,-6.14356,0.533283,0.000878,0.766318,221,0.199198,26.370319
222,S067_0d89c8___LVM_2,FP001-RP001x,EVAGREEN,282,1.39E+07,222,4.5,198,0.222222,-5.960405,0.554553,0.000459,0.832885,222,0.175668,23.775414
223,S067_0d89c8___LVM_3,FP001-RP001x,EVAGREEN,246,2.22E+07,223,6,137,0.218978,-5.830346,0.428211,0.000172,0.915996,223,0.151422,21.124083
296,S067_8a718d___Avg_0,FP001-RP001x,EVAGREEN,69,1.85E+07,296,5.166667,45,0.466667,-6.605132,0.340707,0.000537,0.800262,296,0.179667,27.366314
