,Target,PrimerPair,Reporter,Well,Copies,lg10_Copies,BP,GC,F0_lg,K,m,r,ρ,τ,,
366,S_PRDM1_WTa,FP003-RP003,HEX,191,25252525,5,97,0.5257731958762887,-4.581233634,0.5475642032849948,0.021581301,0.6340751447465682,0.26507500618135865,23.981281902062275,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Target,PrimerPair,Reporter,Well,Copies,,lg10_Copies,BP,GC,F0_lg,K,m,r,,_,_
,outputs:,"['F0_lg',","'r',","'K',",'m'],,,,,,,,,,,
,inputs:,"['Target',","'PrimerPair',","'Reporter',","'Well',","'Copies',","'lg10_Copies',","'BP',","'GC',","'_',",'_'],,,,,
,,,,,,,,,,,,,,,,
,Target,PrimerPair,Reporter,Well,Copies,\,,,,,,,,,,
190,S067_0d89c8_b_Avg_0,FP001-FP005,EVAGREEN,89,1.59E+07,,,,,,,,,,,
191,S067_0d89c8_b_Avg_1,FP001-FP005,EVAGREEN,93,1.39E+07,,,,,,,,,,,
192,S067_0d89c8_b_Avg_2,FP001-FP005,EVAGREEN,86,1.39E+07,,,,,,,,,,,
193,S067_0d89c8_b_Avg_3,FP001-FP005,EVAGREEN,50,2.22E+07,,,,,,,,,,,
194,S067_0d89c8_b_LVM_0,FP001-FP005,EVAGREEN,266.6,2.22E+07,,,,,,,,,,,
195,S067_0d89c8_b_LVM_2,FP001-FP005,EVAGREEN,278,1.39E+07,,,,,,,,,,,
196,S067_0d89c8_b_LVM_3,FP001-FP005,EVAGREEN,242,2.22E+07,,,,,,,,,,,
249,S067_76f36b___Avg_0,FP001-FP005,EVAGREEN,98,1.84E+07,,,,,,,,,,,
250,S067_76f36b___Avg_1,FP001-FP005,EVAGREEN,92,1.39E+07,,,,,,,,,,,
251,S067_76f36b___Avg_2,FP001-FP005,EVAGREEN,95,1.39E+07,,,,,,,,,,,
252,S067_76f36b___Avg_3,FP001-FP005,EVAGREEN,59,2.22E+07,,,,,,,,,,,
253,S067_76f36b___LVM_0,FP001-FP005,EVAGREEN,286,1.59E+07,,,,,,,,,,,
254,S067_76f36b___LVM_2,FP001-FP005,EVAGREEN,287,1.39E+07,,,,,,,,,,,
255,S067_76f36b___LVM_3,FP001-FP005,EVAGREEN,251,2.22E+07,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,lg10_Copies,BP,GC,F0_lg,K,m,r,\,,,,,,,,
190,5,45,0.466667,-6.632823,0.350148,0.001147,0.734399,,,,,,,,,
191,4.5,51,0.27451,-6.481436,0.348863,0.000948,0.849461,,,,,,,,,
192,4.5,60,0.233333,-5.957557,0.397111,0.000601,0.89163,,,,,,,,,
193,6,65,0.246154,-5.552937,0.460595,0.001092,0.911057,,,,,,,,,
194,5.6,45,0.222222,-6.908701,0.329491,0.001112,0.902697,,,,,,,,,
195,4.5,28,0.392857,-6.340242,0.312778,0.000206,0.868255,,,,,,,,,
196,6,40,0.45,-5.109296,0.400386,0.000698,0.76678,,,,,,,,,
249,4.833333,45,0.444444,-5.882753,0.281513,0.000843,0.773164,,,,,,,,,
250,4.5,53,0.283019,-6.51406,0.336668,0.000741,0.878593,,,,,,,,,
251,4.5,47,0.510638,-4.949393,0.328389,0.000486,0.669345,,,,,,,,,
252,6,71,0.253521,-5.455763,0.406791,0.00102,0.885453,,,,,,,,,
253,5,51,0.215686,-6.710114,0.279354,0.000938,0.914798,,,,,,,,,
254,4.5,32,0.375,-5.892422,0.280561,0.000376,0.830557,,,,,,,,,
255,6,45,0.422222,-5.46643,0.348662,0.00025,0.824611,,,,,,,,,
,,,,,,,,,,,,,,,,
,_,_,,,,,,,,,,,,,,
190,0.199917,29.928567,,,,,,,,,,,,,,
191,0.168286,25.143455,,,,,,,,,,,,,,
192,0.15765,22.181301,,,,,,,,,,,,,,
193,0.155267,20.25051,,,,,,,,,,,,,,
194,0.146045,25.407523,,,,,,,,,,,,,,
195,0.16154,24.237333,,,,,,,,,,,,,,
196,0.20714,22.17696,,,,,,,,,,,,,,
249,0.196243,25.355548,,,,,,,,,,,,,,
250,0.158113,24.556527,,,,,,,,,,,,,,
251,0.242728,24.526114,,,,,,,,,,,,,,
252,0.163823,20.491767,,,,,,,,,,,,,,
253,0.144779,24.360206,,,,,,,,,,,,,,
254,0.176762,23.53627,,,,,,,,,,,,,,
255,0.183142,22.01424,,,,,,,,,,,,,,
WideData:,,,,,,,,,,,,,,,,
,outputs:,"['F0_lg',","'r',","'K',",'m'],,,,,,,,,,,
,inputs:,"['Target',","'PrimerPair',","'Reporter',","'Well',","'Copies',","'lg10_Copies',","'BP',","'GC',","'_',",'_'],,,,,
,,,,,,,,,,,,,,,,
,Target,PrimerPair,Reporter,Well,Copies,\,,,,,,,,,,
197,S067_0d89c8_c_Avg_1,FP002-RP001x,FAM,104,1.39E+07,,,,,,,,,,,
198,S067_0d89c8_c_Avg_3,FP002-RP001x,FAM,51,2.22E+07,,,,,,,,,,,
199,S067_0d89c8_c_LVM_0,FP002-RP001x,FAM,282,1.59E+07,,,,,,,,,,,
200,S067_0d89c8_c_LVM_1,FP002-RP001x,FAM,285.8,2.22E+07,,,,,,,,,,,
201,S067_0d89c8_c_LVM_2,FP002-RP001x,FAM,279,1.39E+07,,,,,,,,,,,
202,S067_0d89c8_c_LVM_3,FP002-RP001x,FAM,243,2.22E+07,,,,,,,,,,,
264,S067_8a718d_b_Avg_0,FP002-RP001x,FAM,76,1.59E+07,,,,,,,,,,,
265,S067_8a718d_b_Avg_1,FP002-RP001x,FAM,106,1.39E+07,,,,,,,,,,,
266,S067_8a718d_b_Avg_2,FP002-RP001x,FAM,97,1.39E+07,,,,,,,,,,,
267,S067_8a718d_b_Avg_3,FP002-RP001x,FAM,61,2.22E+07,,,,,,,,,,,
268,S067_8a718d_b_LVM_0,FP002-RP001x,FAM,268,1.59E+07,,,,,,,,,,,
269,S067_8a718d_b_LVM_1,FP002-RP001x,FAM,295,1.39E+07,,,,,,,,,,,
270,S067_8a718d_b_LVM_2,FP002-RP001x,FAM,289,1.39E+07,,,,,,,,,,,
271,S067_8a718d_b_LVM_3,FP002-RP001x,FAM,253,2.22E+07,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,lg10_Copies,BP,GC,F0_lg,K,m,r,\,,,,,,,,
197,4.5,194,0.541237,-4.696785,0.632198,0.016439,0.551684,,,,,,,,,
198,6,235,0.595745,-4.136033,0.456562,0.054209,0.615236,,,,,,,,,
199,5,375,0.346667,-5.215099,0.628254,0.01945,0.694461,,,,,,,,,
200,4.8,575,0.344348,-5.704137,0.67267,0.016362,0.558249,,,,,,,,,
201,4.5,70,0.371429,-5.815063,0.690586,0.022744,0.895446,,,,,,,,,
202,6,70,0.542857,-4.983426,0.628694,0.045243,0.808602,,,,,,,,,
264,5,92,0.413043,-6.585023,0.690407,0.021488,0.805044,,,,,,,,,
265,4.5,71,0.464789,-6.572802,0.668464,0.030899,0.813804,,,,,,,,,
266,4.5,70,0.385714,-5.585879,0.660833,0.022207,0.88792,,,,,,,,,
267,6,70,0.371429,-5.321088,0.587571,0.030759,0.884936,,,,,,,,,
268,5,70,0.414286,-5.365245,0.716409,0.019108,0.841598,,,,,,,,,
269,4.5,86,0.395349,-7.349824,0.597312,0.016472,0.845749,,,,,,,,,
270,4.5,127,0.385827,-5.216957,0.688911,0.025685,0.852384,,,,,,,,,
271,6,70,0.485714,-5.207153,0.553904,0.021229,0.861386,,,,,,,,,
,,,,,,,,,,,,,,,,
,_,_,,,,,,,,,,,,,,
197,0.297765,29.164971,,,,,,,,,,,,,,
198,0.27708,22.430105,,,,,,,,,,,,,,
199,0.229756,24.965361,,,,,,,,,,,,,,
200,0.278692,35.34722,,,,,,,,,,,,,,
201,0.157479,21.596413,,,,,,,,,,,,,,
202,0.194918,20.478418,,,,,,,,,,,,,,
264,0.177906,27.193911,,,,,,,,,,,,,,
265,0.181322,27.490403,,,,,,,,,,,,,,
266,0.161151,20.952757,,,,,,,,,,,,,,
267,0.167172,19.892168,,,,,,,,,,,,,,
268,0.179454,21.187516,,,,,,,,,,,,,,
269,0.171357,30.29218,,,,,,,,,,,,,,
270,0.176444,20.357972,,,,,,,,,,,,,,
271,0.174959,20.096219,,,,,,,,,,,,,,
WideData:,,,,,,,,,,,,,,,,
,outputs:,"['F0_lg',","'r',","'K',",'m'],,,,,,,,,,,
,inputs:,"['Target',","'PrimerPair',","'Reporter',","'Well',","'Copies',","'lg10_Copies',","'BP',","'GC',","'_',",'_'],,,,,
,,,,,,,,,,,,,,,,
,Target,PrimerPair,Reporter,Well,Copies,lg10_Copies,\,,,,,,,,,
12,S036.6,FP001-RP001,FAM,88.5,1.59E+07,5,,,,,,,,,,
14,S036.7,FP001-RP001,FAM,85.5,1.59E+07,5,,,,,,,,,,
16,S036.8,FP001-RP001,FAM,86.037037,1.65E+07,5.111111,,,,,,,,,,
17,S037.01.01,FP001-RP001,FAM,38.5,2.53E+07,5,,,,,,,,,,
18,S037.01.03,FP001-RP001,FAM,110.5,2.53E+07,5,,,,,,,,,,
156,S057.2.0,FP001-RP001,FAM,51.5,2.53E+07,5,,,,,,,,,,
157,S057.2.1,FP001-RP001,FAM,53.5,2.53E+07,5,,,,,,,,,,
158,S057.2.2,FP001-RP001,FAM,55.5,2.53E+07,5,,,,,,,,,,
159,S057.2.4,FP001-RP001,FAM,57.5,2.53E+07,5,,,,,,,,,,
,,,,,,,,,,,,,,,,
,BP,GC,F0_lg,K,m,r,_,\,,,,,,,,
12,74,0.527027,-5.944,1.065763,0.010039,0.81757,0.181508,,,,,,,,,
14,88,0.431818,-6.275247,1.086561,0.006274,0.851363,0.168239,,,,,,,,,
16,30,0.533333,-7.333192,1.076638,0.014399,0.927398,0.137928,,,,,,,,,
17,161,0.57764,-4.417003,0.5785,0.024719,0.636401,0.264595,,,,,,,,,
18,326,0.496933,-3.815548,0.521788,0.02871,0.573002,0.300941,,,,,,,,,
156,49,0.693878,-4.652828,0.591596,0.032625,0.660248,0.2546,,,,,,,,,
157,461,0.505423,-3.885791,0.510993,0.034298,0.518349,0.32436,,,,,,,,,
158,331,0.516616,-3.860093,0.509495,0.038831,0.587618,0.295934,,,,,,,,,
159,380,0.486842,-4.376616,0.452871,0.063265,0.590198,0.282738,,,,,,,,,
,,,,,,,,,,,,,,,,
,_,,,,,,,,,,,,,,,
12,24.183783,,,,,,,,,,,,,,,
14,24.519242,,,,,,,,,,,,,,,
16,26.31966,,,,,,,,,,,,,,,
17,22.964436,,,,,,,,,,,,,,,
18,22.107215,,,,,,,,,,,,,,,
156,23.398812,,,,,,,,,,,,,,,
157,24.822991,,,,,,,,,,,,,,,
158,21.769928,,,,,,,,,,,,,,,
159,24.567927,,,,,,,,,,,,,,,
WideData:,,,,,,,,,,,,,,,,
,outputs:,"['F0_lg',","'r',","'K',",'m'],,,,,,,,,,,
,inputs:,"['Target',","'PrimerPair',","'Reporter',","'Well',","'Copies',","'lg10_Copies',","'BP',","'GC',","'_',",'_'],,,,,
,,,,,,,,,,,,,,,,
,Target,PrimerPair,Reporter,Well,Copies,lg10_Copies,\,,,,,,,,,
177,S057.8.0,FP057.1.0-RP003x,HEX,339.5,25252525,5,,,,,,,,,,
178,S057.8.2,FP057.1.0-RP003x,HEX,341.5,25252525,5,,,,,,,,,,
179,S057.8.4,FP057.1.0-RP003x,HEX,343.5,25252525,5,,,,,,,,,,
,,,,,,,,,,,,,,,,
,BP,GC,F0_lg,K,m,r,_,\,,,,,,,,
177,85,0.294118,-5.506605,0.662162,0.032278,0.862772,0.172401,,,,,,,,,
178,33,0.393939,-5.437709,0.676732,0.025094,0.892045,0.163232,,,,,,,,,
179,62,0.306452,-5.440276,0.67687,0.024169,0.878433,0.167814,,,,,,,,,
,,,,,,,,,,,,,,,,
,_,,,,,,,,,,,,,,,
177,21.194306,,,,,,,,,,,,,,,
178,20.278126,,,,,,,,,,,,,,,
179,20.600285,,,,,,,,,,,,,,,
WideData:,,,,,,,,,,,,,,,,
,outputs:,"['F0_lg',","'r',","'K',",'m'],,,,,,,,,,,
,inputs:,"['Target',","'PrimerPair',","'Reporter',","'Well',","'Copies',","'lg10_Copies',","'BP',","'GC',","'_',",'_'],,,,,
,,,,,,,,,,,,,,,,
,Target,PrimerPair,Reporter,Well,Copies,lg10_Copies,BP,\,,,,,,,,
25,S037.04.01,FP002-RP006,HEX,260.5,25252525,5,100,,,,,,,,,
26,S037.04.04,FP002-RP006,HEX,193.5,50500000,7,104,,,,,,,,,
,,,,,,,,,,,,,,,,
,GC,F0_lg,K,m,r,_,_,,,,,,,,,
25,0.48,-3.078805,1.269033,0.011734,0.508379,0.353105,20.045178,,,,,,,,,
26,0.432692,-3.312646,1.282057,0.012311,0.521085,0.33447,21.123534,,,,,,,,,
WideData:,,,,,,,,,,,,,,,,
,outputs:,"['F0_lg',","'r',","'K',",'m'],,,,,,,,,,,
,inputs:,"['Target',","'PrimerPair',","'Reporter',","'Well',","'Copies',","'lg10_Copies',","'BP',","'GC',","'_',",'_'],,,,,
,,,,,,,,,,,,,,,,
,Target,PrimerPair,Reporter,Well,Copies,lg10_Copies,BP,\,,,,,,,,
366,S_PRDM1_WTa,FP003-RP003,HEX,191,25252525,5,97,,,,,,,,,
,,,,,,,,,,,,,,,,
,GC,F0_lg,K,m,r,_,_,,,,,,,,,
366,0.525773,-4.581234,0.547564,0.021581,0.634075,0.265075,23.981282,,,,,,,,,
