N_train,Iteration,Train_NLPD,Train_RMSE,Test_NLPD,Test_RMSE,TrainCode
1,0,-1.5789813772967929,0.0513875842843227,-1.173376128527339,0.070449384111809,0000000000000000000000000000001000000
1,1,-1.7918411239788472,0.0412248394493673,-1.2492246922664625,0.0680542619790098,0010000000000000000000000000000000000
1,2,-1.4474106184886677,0.0568610895403801,-1.2780498556823887,0.0674502820955036,0000000000000000000000000000000001000
1,3,-1.875959212027686,0.0226499717246648,-1.1098864438085227,0.0731959550036818,0000000000001000000000000000000000000
1,4,-2.001895803929442,0.0262920252905098,-1.1630275580728706,0.0700636060108684,0000000000000100000000000000000000000
1,5,-2.1122615218581275,0.0081440546052404,-1.1723842049727131,0.0695506412064144,0000000000000000000000000000000000010
1,6,-2.028822690142472,0.0289925871571763,-1.1274947328470346,0.0705864837106809,0000000000000000000000000000000000100
1,7,-2.035307742497709,0.0096561011840022,-1.144694140107766,0.0705016318691874,0000000000000000000000000000000100000
1,8,-2.137761209353145,0.0034862958233865,-1.1563497548196602,0.0700924710574213,0000000000000000000000000000000010000
1,9,-2.145207773678835,0.0255081020881939,-1.2449620569381876,0.0677862963448839,0000000000000000010000000000000000000
6,0,-1.9075032210743423,0.0395621499762595,-1.3318067699322136,0.0699630954500232,0010100000000001001001000000010000000
6,1,-2.0014136665455937,0.0320035938841921,-1.0988502890991712,0.0725516961817996,0000000000000100000000100100010000011
6,2,-1.6263381808915425,0.0449307629984561,-1.440497845372165,0.0652398039579177,0010100000000000000010000100100000100
6,3,-1.818336801206862,0.0377412923957902,-1.3214161595144418,0.0658371788991361,0010000010001100000100000000010000000
6,4,-2.0394337691806963,0.021422044417255,-1.2805926948360722,0.0717819018059482,0000000001001000001001000001100000000
6,5,-1.8723294533798704,0.0354466203771678,-1.3761192392291548,0.0659079881700955,0000100000000000000001000000000101101
6,6,-2.0725889400931625,0.0235633040253554,-1.0337251437662334,0.0679946748965796,0000001011000000000000010000000010001
6,7,-1.8647061324324503,0.0379173178980417,-1.350152809777518,0.0734763783950451,0010001000000000000010000110001000000
6,8,-2.01946459167232,0.0273276769033618,-1.0974890517596547,0.0698111983840176,0100000001001010000000000000100000100
6,9,-1.842279748551828,0.0343615782198549,-1.191720755104569,0.0747285468420811,0000010000000000001000000110100100000
11,0,-2.0072234807979763,0.0309684864519111,-1.673307603048667,0.0491846488723731,0100001100100000110011001000011000000
11,1,-2.051964858391752,0.0292368060026413,-1.5019109800831774,0.0550135897321488,1000010001100000010011000000010100101
11,2,-1.9870925590298056,0.0323595614962407,-1.5690700070907864,0.0522163320582202,0100000001100000001011100100100100100
11,3,-2.005211811216892,0.0308882966129483,-1.0342685917741057,0.0753234378710603,0000101100000010010001101100001000010
11,4,-1.94820110736054,0.0323290594945268,-1.6128734777269302,0.0497410890510083,1010000100101010010010001000010010000
11,5,-1.7814026965508902,0.0454085846096356,-1.4081114240168051,0.0570572412820803,0011000011010100100000100000110000010
11,6,-2.162923915143101,0.0230170418534511,-1.310834999246972,0.0634549560541394,0000010000100010010111100000000101010
11,7,-1.983807259289887,0.0297350739141925,-1.3681739098315189,0.0672861490681737,0000000100011100011001100010000001010
11,8,-1.6564441628653173,0.0473235828069283,-1.6738500489553227,0.0518283192068666,0101000010000100101010000110001000100
11,9,-2.069780108851767,0.0286215852329764,-1.3140483482783094,0.0571427692168649,0100000101101100001000100000000000111
16,0,-2.0385815207410407,0.0307353975903503,-1.1527169587780737,0.0684561680043636,0001010000111011001011000010001100111
16,1,-1.928223315004614,0.0320628858375262,-1.0510141391267782,0.0860042163112079,1001111000011010100010110100010110000
16,2,-1.929027183052915,0.0336396097669525,-1.214932127134365,0.0702838721393177,1000111011000100100010100011101011000
