N_train,Iteration,Train_NLPD,Train_RMSE,Test_NLPD,Test_RMSE,TrainCode
1,0,-7.710021408016779,6.732143198462381e-08,2.0249289874956355,0.13231334233474373,0000000000000000000000000000001000000
1,1,-7.8161703096324695,1.0435728159396973e-07,62.357073349224734,0.14415702043615738,0010000000000000000000000000000000000
1,2,-7.809504036322845,6.798556284604018e-08,37.27807670357622,0.14499908785264637,0000000000000000000000000000000001000
1,3,-7.596559212743554,1.9414142216067631e-07,-0.31684635042691667,0.1330736199965488,0000000000001000000000000000000000000
1,4,-7.778060480811609,1.8264284651348106e-07,11.126180594673698,0.14369764533123153,0000000000000100000000000000000000000
1,5,-7.722750504436332,4.726823047418449e-07,3.314006284427707,0.14451518801971833,0000000000000000000000000000000000010
1,6,-7.893630469530632,9.235636311277773e-08,56.578340921665564,0.15089310504971035,0000000000000000000000000000000000100
1,7,-7.646117341188097,3.879463521538895e-07,0.1467380892253768,0.13425027853108584,0000000000000000000000000000000100000
1,8,-7.741554742929817,4.1270220096922827e-07,5.105987075248205,0.14043222959264887,0000000000000000000000000000000010000
1,9,-7.966744477286593,3.6068568032288084e-07,4.9896012968843575,0.14864309779300425,0000000000000000010000000000000000000
6,0,-3.1501210058895546,0.0014839691073301247,-0.6282589012293534,0.1348064619383292,0010100000000001001001000000010000000
6,1,-2.3030364909016714,0.01619055387366427,-0.6774426290739075,0.11941689309188043,0000000000000100000000100100010000011
6,2,-2.644835220538807,0.0032681555156923686,-0.8536006760981344,0.08783678549837245,0010100000000000000010000100100000100
6,3,-2.724443278800543,0.005917702284252401,-0.647098854772811,0.1023649599852005,0010000010001100000100000000010000000
6,4,-7.903696679345008,4.2852061876118885e-07,-0.9032091028298399,0.11031343241751439,0000000001001000001001000001100000000
6,5,-2.8183723413876876,0.004155815840200336,-0.7152796412899675,0.09831608422801681,0000100000000000000001000000000101101
6,6,-2.982330201620727,0.005416302742153425,-0.08380058240781664,0.12604716400558638,0000001011000000000000010000000010001
6,7,-2.5493485671597615,0.006284441189200519,0.010157569355886588,0.12635796986792677,0010001000000000000010000110001000000
6,8,-1.7052410192568195,0.04101883372498418,1.1559021150167006,0.14814769699538313,0100000001001010000000000000100000100
6,9,-2.3816634578492835,0.013565860798020773,-0.36088680647989935,0.13165988305305212,0000010000000000001000000110100100000
11,0,-2.905807741009558,0.005409439898563131,-0.9430588829497553,0.0708858229919933,0100001100100000110011001000011000000
11,1,-2.2308804689040587,0.02052282738738231,-1.1991950269152511,0.09061022880901749,1000010001100000010011000000010100101
11,2,-3.105879551820678,0.0022542407323775412,-0.7686798490852642,0.08605417289927457,0100000001100000001011100100100100100
11,3,-2.1978766111298658,0.024735292081679478,-0.9768137601179335,0.0840521189526879,0000101100000010010001101100001000010
11,4,-3.8768605376552414,0.00044654291820656045,1.0190817022269247,0.09435673000453154,1010000100101010010010001000010010000
11,5,-1.7855779529660472,0.03479007170107469,-0.4713433897224813,0.11970579859621232,0011000011010100100000100000110000010
11,6,-4.871791835511245,7.588551479564055e-05,1.6026694491601665,0.08762890229716391,0000010000100010010111100000000101010
11,7,-3.5125061140805487,0.003108732290050993,3.5405871356762555,0.13229821006825915,0000000100011100011001100010000001010
11,8,-1.4151356960269565,0.041409654586011466,-1.0435073677423108,0.07948686611003049,0101000010000100101010000110001000100
11,9,-3.6049573675270694,0.001752726648249685,1.3179853142217477,0.07945572712991256,0100000101101100001000100000000000111
16,0,-3.320809895201225,0.002847310394494829,0.4227998560786481,0.11906784286988158,0001010000111011001011000010001100111
16,1,-2.111740110413919,0.022697282101881055,-0.6730723732541675,0.11409858120693894,1001111000011010100010110100010110000
16,2,-2.1240904464298325,0.0225945807898226,-1.0995456770675192,0.08294797935225581,1000111011000100100010100011101011000
16,3,-2.607320972630986,0.010263871115079455,-0.8408888407750219,0.1131119652553638,1110100101111010001010000010010001001
16,4,-2.118352585714745,0.025559299401172707,-0.9366164756384139,0.08979494093913931,0010111110100100110101000000110000011
16,5,-2.4086290266964694,0.01488495575457694,-1.1410005611186105,0.09255387322309613,0111001100100100100010111010001100001
16,6,-1.9825107603647927,0.02897442546863915,-0.7984162196539154,0.0899707259660028,0000101100111110011000010001110000110
16,7,-1.874639990122796,0.029163440309577245,-1.2150211777412552,0.0779842144697512,0111110001110100110110110000100000000
16,8,-2.2479032080706127,0.021645164881647225,-0.48937655497230026,0.08290295168722146,0001110101101001001101010101000101000
16,9,-2.4290695550103916,0.01276510100110835,-1.0455119285363559,0.08927065257460563,0011111010000011100011100011110000000
21,0,-2.090446502704835,0.028210830741213715,-0.5137137934161959,0.10407646960004908,1101101101100011010001100100001111111
21,1,-2.0853356357972563,0.027172406834394605,0.06349586409058094,0.09114978942231247,1010111110101111000110011101011010000
21,2,-2.2180637772832887,0.01844971820935826,-1.1802454717926247,0.07823469790271007,1010011100100111010001011011111001110
21,3,-2.9461730335526832,0.006972872424390256,0.4422359809880343,0.08540426444653171,0101111110101000111101011011100010010
21,4,-2.7000269449336893,0.012379232044140341,0.095999146221348,0.0931692339460437,1100000011100110011011101100111011110
21,5,-2.077059639990008,0.029197354778140207,-0.5115202644534291,0.08154443974297784,0111001111100100101101101001110001110
21,6,-3.120610748868476,0.005033712252697833,-0.13357588669548737,0.09576208420085233,0110001101000001101111111011110011100
