# File Name: \\wsl.localhost\Ubuntu\home\john\projects\CAN_paper\fig_ed1\data\JG075A EGFR Blocker Stoichiometry.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 6 System
# Block Type: 384-Well Block
# Instrument Name: 278860576
# Instrument Serial Number: 278860576
# Heated Cover Serial Number: 278154452
# Block Serial Number: 278033142
# Run Start Date/Time: 2022-04-28 09:18:02 AM EDT
# Run End Date/Time: 2022-04-28 11:14:02 AM EDT
# Run Duration: 115 minutes 59 seconds
# Sample Volume: 10.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2023-10-26 01:34:02 PM EDT
# Software Name and Version: Design & Analysis Software v2.6.0
# Plugin Name and Version: Primary Analysis v1.7.0, Standard Curve v1.6.0
# Exported On: 2023-10-26 01:34:39 PM EDT
"Well","Well Position","Cycle Number","EVAGREEN","ROX"
"2","A2","52","434110.78","142911.27"
"2","A2","53","452412.28","143083.0"
"2","A2","54","475730.78","143089.67"
"2","A2","55","502110.47","143133.36"
"2","A2","56","531227.06","143101.2"
"2","A2","57","560108.06","143170.56"
"2","A2","58","588176.94","143138.12"
"2","A2","59","617345.1","143202.1"
"2","A2","60","643958.2","143352.92"
"2","A2","61","669474.06","143357.38"
"2","A2","62","693588.4","143586.47"
"2","A2","63","715121.25","143651.67"
"2","A2","64","735624.6","143808.75"
"2","A2","65","756534.7","143892.17"
"2","A2","66","775135.25","143897.64"
"2","A2","67","793899.3","143957.67"
"2","A2","68","810545.8","144049.12"
"2","A2","69","827282.2","143961.44"
"2","A2","70","842690.56","143924.34"
"2","A2","71","858718.44","144129.02"
"2","A2","72","872417.94","144257.9"
"2","A2","73","885659.5","144339.83"
"2","A2","74","898423.2","144364.48"
"2","A2","75","910289.7","144366.08"
"2","A2","76","921877.75","144279.6"
"2","A2","77","933557.3","144215.55"
"2","A2","78","944480.4","144062.88"
"2","A2","79","955613.75","143966.67"
"2","A2","80","965570.44","143696.34"
