Target,lg10_Copies,Blocker,Blocker μM,Configuration,Well,WellName,Sample
S075_WT,8,L-MMMMx,3.1622776601683795,2+2,1,A1,JG075B_001
S075_WT,8,L-MMMMx,1.7782794100389228,2+2,2,A2,JG075B_002
S075_WT,8,L-MMMMx,1.0,2+2,3,A3,JG075B_003
S075_WT,8,L-MMMMx,0.5623413251903491,2+2,4,A4,JG075B_004
S075_WT,8,L-MMMMx,0.31622776601683794,2+2,5,A5,JG075B_005
S075_WT,8,L-MMMMx,0.1778279410038923,2+2,6,A6,JG075B_006
S075_WT,8,L-MMMMx,0.1,2+2,7,A7,JG075B_007
S075_WT,8,L-MMMMx,0.0,2+2,8,A8,JG075B_008
S075_WT,8,L-MMMMx,3.1622776601683795,7+2,9,A9,JG075B_009
S075_WT,8,L-MMMMx,1.7782794100389228,7+2,10,A10,JG075B_010
S075_WT,8,L-MMMMx,1.0,7+2,11,A11,JG075B_011
S075_WT,8,L-MMMMx,0.5623413251903491,7+2,12,A12,JG075B_012
S075_WT,8,L-MMMMx,0.31622776601683794,7+2,13,A13,JG075B_013
S075_WT,8,L-MMMMx,0.1778279410038923,7+2,14,A14,JG075B_014
S075_WT,8,L-MMMMx,0.1,7+2,15,A15,JG075B_015
S075_WT,8,L-MMMMx,0.0,7+2,16,A16,JG075B_016
S075_WT,7,L-MMMMx,3.1622776601683795,2+2,25,B1,JG075B_025
S075_WT,7,L-MMMMx,1.7782794100389228,2+2,26,B2,JG075B_026
S075_WT,7,L-MMMMx,1.0,2+2,27,B3,JG075B_027
S075_WT,7,L-MMMMx,0.5623413251903491,2+2,28,B4,JG075B_028
S075_WT,7,L-MMMMx,0.31622776601683794,2+2,29,B5,JG075B_029
S075_WT,7,L-MMMMx,0.1778279410038923,2+2,30,B6,JG075B_030
S075_WT,7,L-MMMMx,0.1,2+2,31,B7,JG075B_031
S075_WT,7,L-MMMMx,0.0,2+2,32,B8,JG075B_032
S075_WT,7,L-MMMMx,3.1622776601683795,7+2,33,B9,JG075B_033
S075_WT,7,L-MMMMx,1.7782794100389228,7+2,34,B10,JG075B_034
S075_WT,7,L-MMMMx,1.0,7+2,35,B11,JG075B_035
S075_WT,7,L-MMMMx,0.5623413251903491,7+2,36,B12,JG075B_036
S075_WT,7,L-MMMMx,0.31622776601683794,7+2,37,B13,JG075B_037
S075_WT,7,L-MMMMx,0.1778279410038923,7+2,38,B14,JG075B_038
S075_WT,7,L-MMMMx,0.1,7+2,39,B15,JG075B_039
S075_WT,7,L-MMMMx,0.0,7+2,40,B16,JG075B_040
S075_WT,6,L-MMMMx,3.1622776601683795,2+2,49,C1,JG075B_049
S075_WT,6,L-MMMMx,1.7782794100389228,2+2,50,C2,JG075B_050
S075_WT,6,L-MMMMx,1.0,2+2,51,C3,JG075B_051
S075_WT,6,L-MMMMx,0.5623413251903491,2+2,52,C4,JG075B_052
S075_WT,6,L-MMMMx,0.31622776601683794,2+2,53,C5,JG075B_053
S075_WT,6,L-MMMMx,0.1778279410038923,2+2,54,C6,JG075B_054
S075_WT,6,L-MMMMx,0.1,2+2,55,C7,JG075B_055
S075_WT,6,L-MMMMx,0.0,2+2,56,C8,JG075B_056
S075_WT,6,L-MMMMx,3.1622776601683795,7+2,57,C9,JG075B_057
S075_WT,6,L-MMMMx,1.7782794100389228,7+2,58,C10,JG075B_058
S075_WT,6,L-MMMMx,1.0,7+2,59,C11,JG075B_059
S075_WT,6,L-MMMMx,0.5623413251903491,7+2,60,C12,JG075B_060
S075_WT,6,L-MMMMx,0.31622776601683794,7+2,61,C13,JG075B_061
S075_WT,6,L-MMMMx,0.1778279410038923,7+2,62,C14,JG075B_062
S075_WT,6,L-MMMMx,0.1,7+2,63,C15,JG075B_063
S075_WT,6,L-MMMMx,0.0,7+2,64,C16,JG075B_064
S075_WT,5,L-MMMMx,3.1622776601683795,2+2,73,D1,JG075B_073
S075_WT,5,L-MMMMx,1.7782794100389228,2+2,74,D2,JG075B_074
S075_WT,5,L-MMMMx,1.0,2+2,75,D3,JG075B_075
S075_WT,5,L-MMMMx,0.5623413251903491,2+2,76,D4,JG075B_076
S075_WT,5,L-MMMMx,0.31622776601683794,2+2,77,D5,JG075B_077
S075_WT,5,L-MMMMx,0.1778279410038923,2+2,78,D6,JG075B_078
S075_WT,5,L-MMMMx,0.1,2+2,79,D7,JG075B_079
S075_WT,5,L-MMMMx,0.0,2+2,80,D8,JG075B_080
S075_WT,5,L-MMMMx,3.1622776601683795,7+2,81,D9,JG075B_081
S075_WT,5,L-MMMMx,1.7782794100389228,7+2,82,D10,JG075B_082
S075_WT,5,L-MMMMx,1.0,7+2,83,D11,JG075B_083
S075_WT,5,L-MMMMx,0.5623413251903491,7+2,84,D12,JG075B_084
S075_WT,5,L-MMMMx,0.31622776601683794,7+2,85,D13,JG075B_085
S075_WT,5,L-MMMMx,0.1778279410038923,7+2,86,D14,JG075B_086
S075_WT,5,L-MMMMx,0.1,7+2,87,D15,JG075B_087
S075_WT,5,L-MMMMx,0.0,7+2,88,D16,JG075B_088
S075_WT,4,L-MMMMx,3.1622776601683795,2+2,97,E1,JG075B_097
S075_WT,4,L-MMMMx,1.7782794100389228,2+2,98,E2,JG075B_098
S075_WT,4,L-MMMMx,1.0,2+2,99,E3,JG075B_099
S075_WT,4,L-MMMMx,0.5623413251903491,2+2,100,E4,JG075B_100
S075_WT,4,L-MMMMx,0.31622776601683794,2+2,101,E5,JG075B_101
S075_WT,4,L-MMMMx,0.1778279410038923,2+2,102,E6,JG075B_102
S075_WT,4,L-MMMMx,0.1,2+2,103,E7,JG075B_103
S075_WT,4,L-MMMMx,0.0,2+2,104,E8,JG075B_104
S075_WT,4,L-MMMMx,3.1622776601683795,7+2,105,E9,JG075B_105
S075_WT,4,L-MMMMx,1.7782794100389228,7+2,106,E10,JG075B_106
S075_WT,4,L-MMMMx,1.0,7+2,107,E11,JG075B_107
S075_WT,4,L-MMMMx,0.5623413251903491,7+2,108,E12,JG075B_108
S075_WT,4,L-MMMMx,0.31622776601683794,7+2,109,E13,JG075B_109
S075_WT,4,L-MMMMx,0.1778279410038923,7+2,110,E14,JG075B_110
S075_WT,4,L-MMMMx,0.1,7+2,111,E15,JG075B_111
S075_WT,4,L-MMMMx,0.0,7+2,112,E16,JG075B_112
S075_WT,3,L-MMMMx,3.1622776601683795,2+2,121,F1,JG075B_121
S075_WT,3,L-MMMMx,1.7782794100389228,2+2,122,F2,JG075B_122
S075_WT,3,L-MMMMx,1.0,2+2,123,F3,JG075B_123
S075_WT,3,L-MMMMx,0.5623413251903491,2+2,124,F4,JG075B_124
S075_WT,3,L-MMMMx,0.31622776601683794,2+2,125,F5,JG075B_125
S075_WT,3,L-MMMMx,0.1778279410038923,2+2,126,F6,JG075B_126
S075_WT,3,L-MMMMx,0.1,2+2,127,F7,JG075B_127
S075_WT,3,L-MMMMx,0.0,2+2,128,F8,JG075B_128
S075_WT,3,L-MMMMx,3.1622776601683795,7+2,129,F9,JG075B_129
S075_WT,3,L-MMMMx,1.7782794100389228,7+2,130,F10,JG075B_130
S075_WT,3,L-MMMMx,1.0,7+2,131,F11,JG075B_131
S075_WT,3,L-MMMMx,0.5623413251903491,7+2,132,F12,JG075B_132
S075_WT,3,L-MMMMx,0.31622776601683794,7+2,133,F13,JG075B_133
S075_WT,3,L-MMMMx,0.1778279410038923,7+2,134,F14,JG075B_134
S075_WT,3,L-MMMMx,0.1,7+2,135,F15,JG075B_135
S075_WT,3,L-MMMMx,0.0,7+2,136,F16,JG075B_136
S075_WT,2,L-MMMMx,3.1622776601683795,2+2,145,G1,JG075B_145
S075_WT,2,L-MMMMx,1.7782794100389228,2+2,146,G2,JG075B_146
S075_WT,2,L-MMMMx,1.0,2+2,147,G3,JG075B_147
S075_WT,2,L-MMMMx,0.5623413251903491,2+2,148,G4,JG075B_148
S075_WT,2,L-MMMMx,0.31622776601683794,2+2,149,G5,JG075B_149
S075_WT,2,L-MMMMx,0.1778279410038923,2+2,150,G6,JG075B_150
S075_WT,2,L-MMMMx,0.1,2+2,151,G7,JG075B_151
S075_WT,2,L-MMMMx,0.0,2+2,152,G8,JG075B_152
S075_WT,2,L-MMMMx,3.1622776601683795,7+2,153,G9,JG075B_153
S075_WT,2,L-MMMMx,1.7782794100389228,7+2,154,G10,JG075B_154
S075_WT,2,L-MMMMx,1.0,7+2,155,G11,JG075B_155
S075_WT,2,L-MMMMx,0.5623413251903491,7+2,156,G12,JG075B_156
S075_WT,2,L-MMMMx,0.31622776601683794,7+2,157,G13,JG075B_157
S075_WT,2,L-MMMMx,0.1778279410038923,7+2,158,G14,JG075B_158
S075_WT,2,L-MMMMx,0.1,7+2,159,G15,JG075B_159
S075_WT,2,L-MMMMx,0.0,7+2,160,G16,JG075B_160
S075_WT,1,L-MMMMx,3.1622776601683795,2+2,169,H1,JG075B_169
S075_WT,1,L-MMMMx,1.7782794100389228,2+2,170,H2,JG075B_170
