# File Name: \\wsl.localhost\Ubuntu\home\john\projects\CAN_paper\fig_s3\data\JG076F_FP004-RP004x_Set_II.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 6 System
# Block Type: 384-Well Block
# Instrument Name: 278860576
# Instrument Serial Number: 278860576
# Heated Cover Serial Number: 278154452
# Block Serial Number: 278033142
# Run Start Date/Time: 2022-07-20 01:29:11 PM EDT
# Run End Date/Time: 2022-07-20 03:24:46 PM EDT
# Run Duration: 115 minutes 35 seconds
# Sample Volume: 10.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2023-10-26 01:12:51 PM EDT
# Software Name and Version: Design & Analysis Software v2.6.0
# Plugin Name and Version: Primary Analysis v1.7.0, Standard Curve v1.6.0
# Exported On: 2023-10-26 01:13:20 PM EDT
"Well","Well Position","Cycle Number","TAMRA","FAM","ROX","CY3","CY5"
"2","A2","33",,"209616.36","156277.0",,
"2","A2","34",,"210162.47","156404.72",,
"2","A2","35",,"210735.88","156485.06",,
"2","A2","36",,"211511.64","156440.89",,
"2","A2","37",,"212303.48","156405.8",,
"2","A2","38",,"212797.6","156424.52",,
"2","A2","39",,"213733.02","156361.61",,
"2","A2","40",,"214098.0","156240.64",,
"2","A2","41",,"214740.05","156163.84",,
"2","A2","42",,"215567.39","156188.69",,
"2","A2","43",,"216108.52","156178.84",,
"2","A2","44",,"216606.39","156175.44",,
"2","A2","45",,"217110.16","156121.56",,
"2","A2","46",,"217683.75","156111.95",,
"2","A2","47",,"218449.25","156076.0",,
"2","A2","48",,"218984.42","156123.2",,
"2","A2","49",,"219551.72","156100.11",,
"2","A2","50",,"220381.55","156158.89",,
"2","A2","51",,"221035.02","156143.94",,
"2","A2","52",,"221527.06","156113.58",,
"2","A2","53",,"222182.05","156227.03",,
"2","A2","54",,"222830.58","156197.52",,
"2","A2","55",,"223893.81","156189.16",,
"2","A2","56",,"224656.17","156171.69",,
"2","A2","57",,"225470.89","156099.8",,
"2","A2","58",,"226454.36","156062.55",,
"2","A2","59",,"227968.2","156173.97",,
"2","A2","60",,"229787.97","156127.5",,
"2","A2","61",,"232198.03","156031.66",,
"2","A2","62",,"234922.31","156059.5",,
"2","A2","63",,"239064.22","156425.25",,
"2","A2","64",,"244223.08","156427.77",,
"2","A2","65",,"251057.81","156313.94",,
"2","A2","66",,"259099.78","156167.73",,
"2","A2","67",,"267606.2","156143.86",,
"2","A2","68",,"277010.03","156376.66",,
"2","A2","69",,"285967.0","156368.44",,
"2","A2","70",,"295139.1","156340.42",,
"2","A2","71",,"304453.62","156284.36",,
"2","A2","72",,"312503.6","156304.16",,
"2","A2","73",,"319706.3","156296.83",,
"2","A2","74",,"327419.5","156514.16",,
"2","A2","75",,"334251.38","156649.42",,
"2","A2","76",,"342001.06","156457.12",,
"2","A2","77",,"348908.22","156370.47",,
"2","A2","78",,"355914.6","156497.5",,
"2","A2","79",,"361897.88","156502.9",,
"2","A2","80",,"367579.75","156558.92",,
"2","A2","81",,"372658.44","156564.39",,
"2","A2","82",,"378626.97","156839.25",,
"2","A2","83",,"384505.34","156970.47",,
"2","A2","84",,"389403.78","156745.75",,
"2","A2","85",,"393338.28","156607.12",,
"2","A2","86",,"399039.6","156588.39",,
"2","A2","87",,"404189.06","156463.27",,
"2","A2","88",,"408820.6","156143.05",,
"2","A2","89",,"412311.3","155648.7",,
"2","A2","90",,"416611.75","155535.44",,
"3","A3","1",,"58378.168","159457.53",,
"3","A3","2",,"58487.797","159372.78",,
"3","A3","3",,"58657.285","159157.34",,
"3","A3","4",,"58872.043","159188.64",,
"3","A3","5",,"59166.566","159208.75",,
"3","A3","6",,"59584.426","159182.95",,
"3","A3","7",,"60714.26","159216.81",,
"3","A3","8",,"62446.27","159144.25",,
"3","A3","9",,"64992.74","158950.89",,
"3","A3","10",,"69035.25","158723.45",,
"3","A3","11",,"74948.08","158677.11",,
"3","A3","12",,"82251.05","158703.4",,
"3","A3","13",,"91172.18","158769.22",,
"3","A3","14",,"101238.97","158623.6",,
"3","A3","15",,"111796.71","158653.75",,
"3","A3","16",,"122518.11","158659.84",,
"3","A3","17",,"132953.67","158647.11",,
"3","A3","18",,"142929.2","158747.75",,
"3","A3","19",,"152352.73","158831.27",,
"3","A3","20",,"160818.12","158820.56",,
"3","A3","21",,"168619.61","158822.69",,
"3","A3","22",,"175834.78","158787.88",,
"3","A3","23",,"182066.64","158620.39",,
"3","A3","24",,"187549.58","158707.72",,
"3","A3","25",,"192434.33","158879.84",,
"3","A3","26",,"196561.77","158859.47",,
"3","A3","27",,"200484.16","158917.9",,
"3","A3","28",,"203730.66","158878.53",,
"3","A3","29",,"206334.05","158860.69",,
"3","A3","30",,"208928.44","158865.12",,
"3","A3","31",,"211273.25","158990.5",,
