,Experiment,Well,Target,lg10_Copies,Outlier,WellPosition,Copies,Reporter,Sample,Task,Comments,CT,Reaction,Cycle,Fluorescence,Corr_Fluorescence,S036.5,S057.3.2,S057.4.2,lg10 S036.5,lg10 S057.3.2,lg10 S057.4.2
5786,JG071B,17,FAM,-inf,False,A17,0.0,FAM,JG071B.128,UNKNOWN,,22.250334,32,14,0.0023443690270048504,-0.0016593962209299207,100000000,1000000,10000,8.0,6.0,4.0
5787,JG071B,17,HEX,-inf,False,A17,0.0,HEX,JG071B.128,UNKNOWN,,30.018217,33,14,-0.004998958850267229,-0.0002426095597911626,100000000,1000000,10000,8.0,6.0,4.0
5788,JG071B,17,FAM,-inf,False,A17,0.0,FAM,JG071B.128,UNKNOWN,,22.250334,32,15,0.0023897408283095356,-0.002308758907020092,100000000,1000000,10000,8.0,6.0,4.0
5789,JG071B,17,HEX,-inf,False,A17,0.0,HEX,JG071B.128,UNKNOWN,,30.018217,33,15,-0.004898141241958138,-0.001052929786965251,100000000,1000000,10000,8.0,6.0,4.0
5790,JG071B,17,FAM,-inf,False,A17,0.0,FAM,JG071B.128,UNKNOWN,,22.250334,32,16,0.003411586373048139,-0.0014585434691980481,100000000,1000000,10000,8.0,6.0,4.0
5791,JG071B,17,HEX,-inf,False,A17,0.0,HEX,JG071B.128,UNKNOWN,,30.018217,33,16,-0.005624599094684273,-0.0011206803610548377,100000000,1000000,10000,8.0,6.0,4.0
5792,JG071B,17,FAM,-inf,False,A17,0.0,FAM,JG071B.128,UNKNOWN,,22.250334,32,17,0.005645643024928387,0.0012532741529867053,100000000,1000000,10000,8.0,6.0,4.0
5793,JG071B,17,HEX,-inf,False,A17,0.0,HEX,JG071B.128,UNKNOWN,,30.018217,33,17,-0.005811741676352045,-0.001672525075264275,100000000,1000000,10000,8.0,6.0,4.0
5794,JG071B,17,FAM,-inf,False,A17,0.0,FAM,JG071B.128,UNKNOWN,,22.250334,32,18,0.008135338144980842,0.004357677884399891,100000000,1000000,10000,8.0,6.0,4.0
5795,JG071B,17,HEX,-inf,False,A17,0.0,HEX,JG071B.128,UNKNOWN,,30.018217,33,18,-0.0060986726070311695,-0.0021347987931221724,100000000,1000000,10000,8.0,6.0,4.0
5796,JG071B,17,FAM,-inf,False,A17,0.0,FAM,JG071B.128,UNKNOWN,,22.250334,32,19,0.011050097957025244,0.008114856667816639,100000000,1000000,10000,8.0,6.0,4.0
5797,JG071B,17,HEX,-inf,False,A17,0.0,HEX,JG071B.128,UNKNOWN,,30.018217,33,19,-0.006973775423498387,-0.002069124486297369,100000000,1000000,10000,8.0,6.0,4.0
5798,JG071B,17,FAM,-inf,False,A17,0.0,FAM,JG071B.128,UNKNOWN,,22.250334,32,20,0.01584989310081954,0.014766898937523365,100000000,1000000,10000,8.0,6.0,4.0
5799,JG071B,17,HEX,-inf,False,A17,0.0,HEX,JG071B.128,UNKNOWN,,30.018217,33,20,-0.00821575937674,-0.0016741344006732106,100000000,1000000,10000,8.0,6.0,4.0
5800,JG071B,17,FAM,-inf,False,A17,0.0,FAM,JG071B.128,UNKNOWN,,22.250334,32,21,0.02227398126570088,0.02391337975859642,100000000,1000000,10000,8.0,6.0,4.0
5801,JG071B,17,HEX,-inf,False,A17,0.0,HEX,JG071B.128,UNKNOWN,,30.018217,33,21,-0.00928935982906294,-0.0014302869094535708,100000000,1000000,10000,8.0,6.0,4.0
5802,JG071B,17,FAM,-inf,False,A17,0.0,FAM,JG071B.128,UNKNOWN,,22.250334,32,22,0.03115678248015438,0.03683572635054588,100000000,1000000,10000,8.0,6.0,4.0
5803,JG071B,17,HEX,-inf,False,A17,0.0,HEX,JG071B.128,UNKNOWN,,30.018217,33,22,-0.010309521802685573,-0.0012344061397016048,100000000,1000000,10000,8.0,6.0,4.0
5804,JG071B,17,FAM,-inf,False,A17,0.0,FAM,JG071B.128,UNKNOWN,,22.250334,32,23,0.0408244304697,0.05096336826682091,100000000,1000000,10000,8.0,6.0,4.0
5805,JG071B,17,HEX,-inf,False,A17,0.0,HEX,JG071B.128,UNKNOWN,,30.018217,33,23,-0.010874651560969463,-0.001446966198273003,100000000,1000000,10000,8.0,6.0,4.0
5806,JG071B,17,FAM,-inf,False,A17,0.0,FAM,JG071B.128,UNKNOWN,,22.250334,32,24,0.051430098727792785,0.06653153896331787,100000000,1000000,10000,8.0,6.0,4.0
5807,JG071B,17,HEX,-inf,False,A17,0.0,HEX,JG071B.128,UNKNOWN,,30.018217,33,24,-0.012539793893232766,-0.0006721456302329898,100000000,1000000,10000,8.0,6.0,4.0
5808,JG071B,17,FAM,-inf,False,A17,0.0,FAM,JG071B.128,UNKNOWN,,22.250334,32,25,0.06283132600833449,0.0833214521408081,100000000,1000000,10000,8.0,6.0,4.0
5809,JG071B,17,HEX,-inf,False,A17,0.0,HEX,JG071B.128,UNKNOWN,,30.018217,33,25,-0.015043782553152642,0.0008556306711398065,100000000,1000000,10000,8.0,6.0,4.0
5810,JG071B,17,FAM,-inf,False,A17,0.0,FAM,JG071B.128,UNKNOWN,,22.250334,32,26,0.07352203243294445,0.09902021288871765,100000000,1000000,10000,8.0,6.0,4.0
5811,JG071B,17,HEX,-inf,False,A17,0.0,HEX,JG071B.128,UNKNOWN,,30.018217,33,26,-0.01865759495229327,0.0033795943018049,100000000,1000000,10000,8.0,6.0,4.0
5812,JG071B,17,FAM,-inf,False,A17,0.0,FAM,JG071B.128,UNKNOWN,,22.250334,32,27,0.08482042602010996,0.11565220355987549,100000000,1000000,10000,8.0,6.0,4.0
5813,JG071B,17,HEX,-inf,False,A17,0.0,HEX,JG071B.128,UNKNOWN,,30.018217,33,27,-0.02206520687180156,0.005718470551073551,100000000,1000000,10000,8.0,6.0,4.0
5814,JG071B,17,FAM,-inf,False,A17,0.0,FAM,JG071B.128,UNKNOWN,,22.250334,32,28,0.09537948047720451,0.1311487853527069,100000000,1000000,10000,8.0,6.0,4.0
5815,JG071B,17,HEX,-inf,False,A17,0.0,HEX,JG071B.128,UNKNOWN,,30.018217,33,28,-0.02914539857616004,0.011353885754942894,100000000,1000000,10000,8.0,6.0,4.0
5816,JG071B,17,FAM,-inf,False,A17,0.0,FAM,JG071B.128,UNKNOWN,,22.250334,32,29,0.10456503852320395,0.1445360779762268,100000000,1000000,10000,8.0,6.0,4.0
5817,JG071B,17,HEX,-inf,False,A17,0.0,HEX,JG071B.128,UNKNOWN,,30.018217,33,29,-0.043498402882161766,0.023517441004514694,100000000,1000000,10000,8.0,6.0,4.0
5818,JG071B,17,FAM,-inf,False,A17,0.0,FAM,JG071B.128,UNKNOWN,,22.250334,32,30,0.11400815625565154,0.1583189070224762,100000000,1000000,10000,8.0,6.0,4.0
5819,JG071B,17,HEX,-inf,False,A17,0.0,HEX,JG071B.128,UNKNOWN,,30.018217,33,30,-0.06229603105205577,0.03967052698135376,100000000,1000000,10000,8.0,6.0,4.0
5820,JG071B,17,FAM,-inf,False,A17,0.0,FAM,JG071B.128,UNKNOWN,,22.250334,32,31,0.12274725422431325,0.17102056741714478,100000000,1000000,10000,8.0,6.0,4.0
5821,JG071B,17,HEX,-inf,False,A17,0.0,HEX,JG071B.128,UNKNOWN,,30.018217,33,31,-0.08740109300614032,0.06148522347211838,100000000,1000000,10000,8.0,6.0,4.0
5822,JG071B,17,FAM,-inf,False,A17,0.0,FAM,JG071B.128,UNKNOWN,,22.250334,32,32,0.13065256286745922,0.18244177103042603,100000000,1000000,10000,8.0,6.0,4.0
